# IsPeriodic    : True
# Period        : 0.580371 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.451 -0.639 -0.614 -0.546 -0.536 -0.536
0.00116074 0.451 -0.639 -0.614 -0.546 -0.536 -0.536
0.00232148 0.451 -0.639 -0.614 -0.546 -0.536 -0.536
0.00348223 0.452 -0.638 -0.613 -0.546 -0.535 -0.535
0.00464297 0.453 -0.636 -0.612 -0.545 -0.534 -0.534
0.00580371 0.455 -0.634 -0.611 -0.544 -0.533 -0.533
0.00696445 0.456 -0.633 -0.611 -0.543 -0.532 -0.532
0.00812519 0.458 -0.630 -0.610 -0.541 -0.531 -0.531
0.00928594 0.460 -0.628 -0.609 -0.540 -0.529 -0.529
0.0104467 0.462 -0.625 -0.607 -0.539 -0.528 -0.528
0.0116074 0.465 -0.622 -0.606 -0.536 -0.527 -0.527
0.0127682 0.467 -0.619 -0.604 -0.535 -0.525 -0.525
0.0139289 0.470 -0.616 -0.602 -0.532 -0.523 -0.523
0.0150896 0.473 -0.613 -0.601 -0.530 -0.521 -0.521
0.0162504 0.476 -0.609 -0.598 -0.528 -0.520 -0.520
0.0174111 0.479 -0.606 -0.595 -0.526 -0.518 -0.518
0.0185719 0.483 -0.603 -0.593 -0.523 -0.517 -0.517
0.0197326 0.487 -0.600 -0.590 -0.521 -0.515 -0.515
0.0208934 0.490 -0.596 -0.588 -0.519 -0.514 -0.514
0.0220541 0.494 -0.592 -0.584 -0.517 -0.512 -0.512
0.0232148 0.498 -0.588 -0.581 -0.514 -0.510 -0.510
0.0243756 0.502 -0.584 -0.577 -0.512 -0.509 -0.509
0.0255363 0.507 -0.579 -0.574 -0.509 -0.507 -0.507
0.0266971 0.512 -0.575 -0.570 -0.507 -0.504 -0.504
0.0278578 0.516 -0.570 -0.566 -0.505 -0.503 -0.503
0.0290186 0.521 -0.565 -0.562 -0.503 -0.501 -0.501
0.0301793 0.527 -0.560 -0.558 -0.500 -0.499 -0.499
0.03134 0.532 -0.555 -0.554 -0.499 -0.497 -0.497
0.0325008 0.538 -0.549 -0.549 -0.497 -0.494 -0.494
0.0336615 0.543 -0.544 -0.545 -0.494 -0.492 -0.492
0.0348223 0.549 -0.539 -0.541 -0.492 -0.490 -0.490
0.035983 0.555 -0.533 -0.536 -0.490 -0.488 -0.488
0.0371437 0.562 -0.527 -0.532 -0.488 -0.486 -0.486
0.0383045 0.567 -0.521 -0.528 -0.486 -0.483 -0.483
0.0394652 0.575 -0.514 -0.523 -0.484 -0.480 -0.480
0.040626 0.581 -0.508 -0.519 -0.482 -0.478 -0.478
0.0417867 0.588 -0.501 -0.515 -0.480 -0.476 -0.476
0.0429475 0.595 -0.495 -0.511 -0.477 -0.473 -0.473
0.0441082 0.602 -0.488 -0.507 -0.475 -0.471 -0.471
