# IsPeriodic    : True
# Period        : 0.499554 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.123 -1.004 -0.838 -0.604 -0.573 -0.573
0.000999108 0.123 -1.003 -0.838 -0.604 -0.573 -0.573
0.00199822 0.126 -1.001 -0.836 -0.604 -0.573 -0.573
0.00299732 0.129 -0.998 -0.833 -0.603 -0.573 -0.573
0.00399643 0.134 -0.995 -0.830 -0.603 -0.572 -0.572
0.00499554 0.140 -0.991 -0.826 -0.602 -0.570 -0.570
0.00599465 0.146 -0.986 -0.821 -0.600 -0.568 -0.568
0.00699376 0.155 -0.982 -0.816 -0.599 -0.566 -0.566
0.00799286 0.162 -0.977 -0.810 -0.597 -0.565 -0.565
0.00899197 0.173 -0.971 -0.805 -0.595 -0.563 -0.563
0.00999108 0.182 -0.965 -0.800 -0.594 -0.560 -0.560
0.0109902 0.193 -0.959 -0.793 -0.591 -0.557 -0.557
0.0119893 0.202 -0.952 -0.786 -0.590 -0.555 -0.555
0.0129884 0.212 -0.946 -0.781 -0.587 -0.552 -0.552
0.0139875 0.223 -0.940 -0.776 -0.586 -0.550 -0.550
0.0149866 0.232 -0.933 -0.770 -0.584 -0.547 -0.547
0.0159857 0.243 -0.926 -0.765 -0.582 -0.544 -0.544
0.0169848 0.252 -0.920 -0.759 -0.580 -0.542 -0.542
0.0179839 0.261 -0.914 -0.754 -0.578 -0.539 -0.539
0.0189831 0.270 -0.906 -0.748 -0.576 -0.536 -0.536
0.0199822 0.279 -0.900 -0.743 -0.574 -0.533 -0.533
0.0209813 0.290 -0.893 -0.738 -0.572 -0.530 -0.530
0.0219804 0.299 -0.885 -0.733 -0.570 -0.527 -0.527
0.0229795 0.308 -0.878 -0.728 -0.569 -0.525 -0.525
0.0239786 0.317 -0.870 -0.722 -0.566 -0.522 -0.522
0.0249777 0.326 -0.863 -0.717 -0.565 -0.519 -0.519
0.0259768 0.335 -0.854 -0.711 -0.562 -0.517 -0.517
0.0269759 0.344 -0.846 -0.705 -0.561 -0.514 -0.514
0.027975 0.355 -0.837 -0.699 -0.558 -0.511 -0.511
0.0289741 0.364 -0.828 -0.694 -0.557 -0.509 -0.509
0.0299732 0.373 -0.819 -0.687 -0.554 -0.506 -0.506
0.0309723 0.382 -0.810 -0.682 -0.552 -0.504 -0.504
0.0319715 0.391 -0.801 -0.676 -0.550 -0.502 -0.502
0.0329706 0.400 -0.792 -0.670 -0.548 -0.499 -0.499
0.0339697 0.410 -0.781 -0.664 -0.546 -0.496 -0.496
0.0349688 0.419 -0.772 -0.659 -0.544 -0.494 -0.494
