# IsPeriodic    : True
# Period        : 0.636775 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.446 -0.709 -0.635 -0.541 -0.509 -0.509
0.00127355 0.446 -0.709 -0.635 -0.541 -0.509 -0.509
0.0025471 0.447 -0.709 -0.635 -0.541 -0.509 -0.509
0.00382065 0.448 -0.708 -0.635 -0.541 -0.508 -0.508
0.0050942 0.449 -0.707 -0.633 -0.540 -0.508 -0.508
0.00636775 0.451 -0.704 -0.632 -0.539 -0.507 -0.507
0.0076413 0.453 -0.702 -0.631 -0.538 -0.507 -0.507
0.00891485 0.455 -0.700 -0.629 -0.537 -0.506 -0.506
0.0101884 0.458 -0.698 -0.627 -0.536 -0.506 -0.506
0.0114619 0.460 -0.696 -0.624 -0.534 -0.505 -0.505
0.0127355 0.463 -0.693 -0.623 -0.533 -0.504 -0.504
0.014009 0.466 -0.689 -0.620 -0.531 -0.503 -0.503
0.0152826 0.470 -0.686 -0.618 -0.529 -0.502 -0.502
0.0165561 0.473 -0.683 -0.615 -0.528 -0.500 -0.500
0.0178297 0.476 -0.680 -0.612 -0.526 -0.499 -0.499
0.0191032 0.480 -0.676 -0.610 -0.524 -0.498 -0.498
0.0203768 0.484 -0.672 -0.607 -0.522 -0.496 -0.496
0.0216504 0.488 -0.668 -0.604 -0.520 -0.495 -0.495
0.0229239 0.493 -0.664 -0.601 -0.518 -0.493 -0.493
0.0241974 0.498 -0.659 -0.599 -0.517 -0.491 -0.491
0.025471 0.502 -0.655 -0.596 -0.515 -0.490 -0.490
0.0267446 0.507 -0.650 -0.593 -0.512 -0.487 -0.487
0.0280181 0.512 -0.645 -0.589 -0.511 -0.486 -0.486
0.0292916 0.517 -0.640 -0.586 -0.508 -0.483 -0.483
0.0305652 0.522 -0.634 -0.582 -0.506 -0.481 -0.481
0.0318387 0.528 -0.629 -0.579 -0.503 -0.478 -0.478
0.0331123 0.534 -0.623 -0.575 -0.501 -0.476 -0.476
0.0343858 0.540 -0.616 -0.571 -0.498 -0.473 -0.473
0.0356594 0.546 -0.610 -0.567 -0.496 -0.471 -0.471
0.0369329 0.553 -0.603 -0.563 -0.493 -0.468 -0.468
0.0382065 0.560 -0.597 -0.559 -0.490 -0.466 -0.466
0.03948 0.566 -0.590 -0.555 -0.487 -0.462 -0.462
0.0407536 0.573 -0.583 -0.551 -0.484 -0.459 -0.459
0.0420271 0.580 -0.575 -0.546 -0.481 -0.456 -0.456
0.0433007 0.588 -0.568 -0.541 -0.478 -0.453 -0.453
0.0445743 0.595 -0.560 -0.536 -0.475 -0.450 -0.450
0.0458478 0.603 -0.553 -0.532 -0.471 -0.446 -0.446
0.0471213 0.611 -0.545 -0.527 -0.468 -0.443 -0.443
0.0483949 0.619 -0.537 -0.522 -0.465 -0.440 -0.440
0.0496684 0.626 -0.529 -0.517 -0.462 -0.437 -0.437
0.050942 0.634 -0.521 -0.513 -0.458 -0.434 -0.434
0.0522155 0.642 -0.514 -0.507 -0.455 -0.430 -0.430
0.0534891 0.649 -0.506 -0.502 -0.452 -0.427 -0.427
0.0547626 0.656 -0.499 -0.498 -0.449 -0.424 -0.424
0.0560362 0.663 -0.491 -0.494 -0.446 -0.421 -0.421
0.0573097 0.671 -0.484 -0.489 -0.442 -0.418 -0.418
0.0585833 0.678 -0.476 -0.484 -0.440 -0.415 -0.415
0.0598568 0.685 -0.470 -0.479 -0.437 -0.412 -0.412
0.0611304 0.691 -0.462 -0.475 -0.434 -0.410 -0.410
0.0624039 0.698 -0.455 -0.471 -0.431 -0.407 -0.407
0.0636775 0.704 -0.449 -0.467 -0.428 -0.405 -0.405
0.064951 0.710 -0.443 -0.463 -0.425 -0.402 -0.402
0.0662246 0.716 -0.436 -0.459 -0.423 -0.400 -0.400
0.0674981 0.722 -0.430 -0.455 -0.420 -0.397 -0.397
0.0687717 0.729 -0.423 -0.450 -0.417 -0.395 -0.395
0.0700453 0.734 -0.418 -0.446 -0.415 -0.393 -0.393
0.0713188 0.740 -0.411 -0.443 -0.412 -0.391 -0.391
0.0725923 0.745 -0.405 -0.439 -0.410 -0.388 -0.388
0.0738659 0.751 -0.399 -0.435 -0.408 -0.386 -0.386
0.0751394 0.756 -0.394 -0.431 -0.405 -0.384 -0.384
0.076413 0.761 -0.388 -0.428 -0.403 -0.382 -0.382
0.0776865 0.766 -0.382 -0.424 -0.401 -0.380 -0.380
0.0789601 0.771 -0.377 -0.421 -0.398 -0.378 -0.378
0.0802337 0.776 -0.371 -0.417 -0.397 -0.376 -0.376
0.0815072 0.780 -0.366 -0.414 -0.394 -0.374 -0.374
0.0827808 0.786 -0.362 -0.410 -0.392 -0.373 -0.373
0.0840543 0.790 -0.356 -0.407 -0.390 -0.371 -0.371
0.0853278 0.794 -0.352 -0.404 -0.389 -0.369 -0.369
0.0866014 0.798 -0.348 -0.401 -0.387 -0.368 -0.368
0.087875 0.802 -0.342 -0.398 -0.385 -0.366 -0.366
0.0891485 0.806 -0.338 -0.394 -0.383 -0.365 -0.365
0.090422 0.810 -0.334 -0.391 -0.381 -0.364 -0.364
0.0916956 0.813 -0.329 -0.389 -0.379 -0.363 -0.363
0.0929691 0.817 -0.325 -0.386 -0.378 -0.361 -0.361
0.0942427 0.821 -0.321 -0.383 -0.376 -0.360 -0.360
0.0955162 0.824 -0.316 -0.380 -0.374 -0.358 -0.358
0.0967898 0.828 -0.312 -0.377 -0.373 -0.357 -0.357
0.0980633 0.831 -0.308 -0.375 -0.371 -0.356 -0.356
0.0993369 0.835 -0.304 -0.372 -0.370 -0.354 -0.354
0.10061 0.838 -0.299 -0.369 -0.368 -0.353 -0.353
0.101884 0.842 -0.295 -0.367 -0.367 -0.351 -0.351
0.103158 0.846 -0.291 -0.364 -0.365 -0.350 -0.350
0.104431 0.850 -0.286 -0.361 -0.363 -0.349 -0.349
0.105705 0.853 -0.282 -0.359 -0.362 -0.347 -0.347
0.106978 0.857 -0.278 -0.356 -0.360 -0.346 -0.346
0.108252 0.861 -0.273 -0.353 -0.359 -0.345 -0.345
0.109525 0.864 -0.269 -0.350 -0.357 -0.344 -0.344
0.110799 0.868 -0.265 -0.348 -0.355 -0.342 -0.342
