# IsPeriodic    : True
# Period        : 0.498292 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.143 -1.028 -0.816 -0.674 -0.603 -0.603
0.000996584 0.143 -1.027 -0.816 -0.674 -0.603 -0.603
0.00199317 0.143 -1.025 -0.815 -0.673 -0.602 -0.602
0.00298975 0.144 -1.022 -0.813 -0.672 -0.601 -0.601
0.00398634 0.146 -1.019 -0.810 -0.670 -0.600 -0.600
0.00498292 0.149 -1.014 -0.807 -0.667 -0.599 -0.599
0.0059795 0.150 -1.008 -0.803 -0.664 -0.597 -0.597
0.00697609 0.153 -1.001 -0.799 -0.660 -0.595 -0.595
0.00797267 0.156 -0.993 -0.795 -0.656 -0.593 -0.593
0.00896926 0.161 -0.986 -0.790 -0.652 -0.591 -0.591
0.00996584 0.166 -0.978 -0.786 -0.648 -0.589 -0.589
0.0109624 0.169 -0.971 -0.780 -0.643 -0.586 -0.586
0.011959 0.173 -0.961 -0.775 -0.639 -0.584 -0.584
0.0129556 0.179 -0.954 -0.770 -0.634 -0.582 -0.582
0.0139522 0.184 -0.945 -0.765 -0.630 -0.578 -0.578
0.0149488 0.188 -0.937 -0.760 -0.625 -0.576 -0.576
0.0159453 0.195 -0.930 -0.755 -0.622 -0.573 -0.573
0.0169419 0.201 -0.922 -0.750 -0.617 -0.571 -0.571
0.0179385 0.207 -0.915 -0.745 -0.614 -0.569 -0.569
0.0189351 0.213 -0.907 -0.740 -0.609 -0.565 -0.565
0.0199317 0.219 -0.899 -0.736 -0.606 -0.563 -0.563
0.0209283 0.226 -0.892 -0.730 -0.601 -0.560 -0.560
0.0219248 0.234 -0.884 -0.726 -0.597 -0.556 -0.556
0.0229214 0.242 -0.877 -0.720 -0.593 -0.554 -0.554
0.023918 0.249 -0.869 -0.715 -0.589 -0.551 -0.551
0.0249146 0.257 -0.860 -0.709 -0.584 -0.547 -0.547
0.0259112 0.266 -0.852 -0.704 -0.580 -0.543 -0.543
0.0269078 0.275 -0.843 -0.698 -0.575 -0.540 -0.540
0.0279044 0.284 -0.834 -0.691 -0.571 -0.536 -0.536
0.0289009 0.293 -0.827 -0.686 -0.567 -0.533 -0.533
0.0298975 0.303 -0.818 -0.680 -0.562 -0.529 -0.529
0.0308941 0.313 -0.809 -0.674 -0.557 -0.525 -0.525
0.0318907 0.324 -0.799 -0.668 -0.552 -0.521 -0.521
0.0328873 0.333 -0.790 -0.661 -0.548 -0.517 -0.517
0.0338839 0.345 -0.781 -0.655 -0.543 -0.512 -0.512
0.0348804 0.356 -0.772 -0.648 -0.538 -0.508 -0.508
0.035877 0.367 -0.763 -0.643 -0.534 -0.504 -0.504
0.0368736 0.379 -0.754 -0.636 -0.529 -0.499 -0.499
0.0378702 0.389 -0.745 -0.629 -0.524 -0.495 -0.495
0.0388668 0.402 -0.736 -0.623 -0.519 -0.491 -0.491
0.0398634 0.412 -0.727 -0.617 -0.515 -0.486 -0.486
0.0408599 0.424 -0.718 -0.610 -0.511 -0.482 -0.482
0.0418565 0.435 -0.709 -0.604 -0.505 -0.477 -0.477
0.0428531 0.446 -0.699 -0.597 -0.501 -0.473 -0.473
0.0438497 0.456 -0.690 -0.591 -0.496 -0.469 -0.469
0.0448463 0.467 -0.681 -0.585 -0.492 -0.465 -0.465
0.0458429 0.478 -0.672 -0.578 -0.487 -0.461 -0.461
0.0468394 0.488 -0.665 -0.573 -0.482 -0.457 -0.457
0.047836 0.498 -0.656 -0.566 -0.478 -0.453 -0.453
0.0488326 0.508 -0.646 -0.560 -0.473 -0.449 -0.449
0.0498292 0.517 -0.637 -0.554 -0.469 -0.446 -0.446
0.0508258 0.526 -0.630 -0.548 -0.464 -0.442 -0.442
0.0518224 0.536 -0.621 -0.542 -0.460 -0.438 -0.438
0.052819 0.545 -0.612 -0.536 -0.455 -0.434 -0.434
0.0538155 0.554 -0.604 -0.530 -0.452 -0.431 -0.431
0.0548121 0.563 -0.597 -0.525 -0.447 -0.427 -0.427
0.0558087 0.572 -0.587 -0.519 -0.443 -0.424 -0.424
0.0568053 0.580 -0.580 -0.514 -0.439 -0.421 -0.421
0.0578019 0.589 -0.572 -0.508 -0.435 -0.417 -0.417
0.0587985 0.596 -0.565 -0.503 -0.431 -0.414 -0.414
0.059795 0.606 -0.557 -0.497 -0.427 -0.411 -0.411
0.0607916 0.613 -0.550 -0.493 -0.423 -0.408 -0.408
0.0617882 0.621 -0.542 -0.487 -0.420 -0.404 -0.404
0.0627848 0.628 -0.534 -0.482 -0.415 -0.401 -0.401
0.0637814 0.636 -0.527 -0.477 -0.412 -0.399 -0.399
0.064778 0.644 -0.519 -0.472 -0.408 -0.395 -0.395
0.0657745 0.650 -0.512 -0.467 -0.405 -0.392 -0.392
0.0667711 0.657 -0.506 -0.463 -0.401 -0.390 -0.390
0.0677677 0.663 -0.498 -0.457 -0.398 -0.387 -0.387
0.0687643 0.671 -0.491 -0.453 -0.394 -0.384 -0.384
0.0697609 0.677 -0.484 -0.448 -0.391 -0.381 -0.381
0.0707575 0.683 -0.477 -0.444 -0.387 -0.379 -0.379
0.071754 0.689 -0.471 -0.439 -0.383 -0.377 -0.377
0.0727506 0.695 -0.463 -0.435 -0.380 -0.374 -0.374
0.0737472 0.702 -0.457 -0.431 -0.377 -0.372 -0.372
0.0747438 0.708 -0.451 -0.426 -0.374 -0.369 -0.369
0.0757404 0.714 -0.445 -0.422 -0.370 -0.367 -0.367
0.076737 0.720 -0.438 -0.417 -0.367 -0.364 -0.364
0.0777336 0.726 -0.431 -0.413 -0.364 -0.362 -0.362
0.0787301 0.732 -0.425 -0.408 -0.361 -0.360 -0.360
0.0797267 0.738 -0.419 -0.405 -0.358 -0.357 -0.357
0.0807233 0.743 -0.413 -0.401 -0.355 -0.355 -0.355
0.0817199 0.749 -0.407 -0.396 -0.352 -0.352 -0.352
0.0827165 0.755 -0.401 -0.392 -0.349 -0.350 -0.350
0.0837131 0.761 -0.395 -0.388 -0.346 -0.347 -0.347
0.0847096 0.767 -0.389 -0.384 -0.343 -0.345 -0.345
0.0857062 0.773 -0.383 -0.379 -0.340 -0.342 -0.342
0.0867028 0.779 -0.375 -0.376 -0.337 -0.340 -0.340
0.0876994 0.784 -0.369 -0.372 -0.334 -0.338 -0.338
0.088696 0.790 -0.363 -0.368 -0.331 -0.335 -0.335
0.0896926 0.796 -0.357 -0.364 -0.328 -0.333 -0.333
0.0906891 0.802 -0.351 -0.359 -0.326 -0.330 -0.330
0.0916857 0.808 -0.345 -0.356 -0.323 -0.328 -0.328
0.0926823 0.814 -0.339 -0.352 -0.320 -0.325 -0.325
0.0936789 0.820 -0.333 -0.348 -0.317 -0.323 -0.323
0.0946755 0.825 -0.327 -0.344 -0.314 -0.320 -0.320
0.0956721 0.831 -0.321 -0.341 -0.311 -0.319 -0.319
0.0966686 0.837 -0.315 -0.336 -0.309 -0.316 -0.316
0.0976652 0.843 -0.309 -0.333 -0.306 -0.314 -0.314
0.0986618 0.849 -0.303 -0.328 -0.303 -0.312 -0.312
0.0996584 0.855 -0.297 -0.325 -0.301 -0.309 -0.309
0.100655 0.860 -0.291 -0.321 -0.298 -0.307 -0.307
0.101652 0.866 -0.285 -0.317 -0.295 -0.304 -0.304
0.102648 0.872 -0.278 -0.314 -0.293 -0.302 -0.302
0.103645 0.878 -0.272 -0.310 -0.290 -0.299 -0.299
0.104641 0.883 -0.266 -0.306 -0.287 -0.297 -0.297
0.105638 0.889 -0.260 -0.303 -0.286 -0.294 -0.294
0.106634 0.895 -0.256 -0.298 -0.283 -0.292 -0.292
0.107631 0.901 -0.250 -0.295 -0.280 -0.290 -0.290
0.108628 0.907 -0.244 -0.292 -0.278 -0.287 -0.287
0.109624 0.912 -0.238 -0.287 -0.275 -0.285 -0.285
0.110621 0.918 -0.232 -0.284 -0.273 -0.282 -0.282
0.111617 0.924 -0.225 -0.281 -0.270 -0.280 -0.280
0.112614 0.928 -0.219 -0.277 -0.268 -0.277 -0.277
0.113611 0.935 -0.213 -0.273 -0.266 -0.276 -0.276
0.114607 0.941 -0.209 -0.270 -0.263 -0.273 -0.273
0.115604 0.945 -0.203 -0.266 -0.261 -0.271 -0.271
0.1166 0.951 -0.197 -0.263 -0.259 -0.268 -0.268
0.117597 0.956 -0.191 -0.260 -0.256 -0.266 -0.266
0.118593 0.962 -0.186 -0.256 -0.254 -0.264 -0.264
0.11959 0.967 -0.180 -0.253 -0.252 -0.262 -0.262
0.120587 0.973 -0.174 -0.250 -0.249 -0.259 -0.259
0.121583 0.977 -0.169 -0.246 -0.246 -0.257 -0.257
0.12258 0.982 -0.163 -0.243 -0.245 -0.255 -0.255
0.123576 0.988 -0.159 -0.240 -0.242 -0.253 -0.253
0.124573 0.992 -0.153 -0.236 -0.239 -0.251 -0.251
