# IsPeriodic    : True
# Period        : 0.716773 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.738 -0.413 -0.375 -0.309 -0.322 -0.322
0.00143355 0.738 -0.413 -0.375 -0.309 -0.322 -0.322
0.00286709 0.738 -0.413 -0.375 -0.309 -0.321 -0.321
0.00430064 0.739 -0.413 -0.375 -0.309 -0.321 -0.321
0.00573418 0.739 -0.412 -0.375 -0.308 -0.320 -0.320
0.00716773 0.740 -0.411 -0.374 -0.308 -0.319 -0.319
0.00860128 0.742 -0.411 -0.374 -0.307 -0.318 -0.318
0.0100348 0.743 -0.410 -0.373 -0.307 -0.316 -0.316
0.0114684 0.744 -0.409 -0.373 -0.306 -0.315 -0.315
0.0129019 0.746 -0.408 -0.372 -0.305 -0.313 -0.313
0.0143355 0.748 -0.407 -0.372 -0.304 -0.311 -0.311
0.015769 0.750 -0.406 -0.371 -0.303 -0.309 -0.309
0.0172026 0.752 -0.405 -0.370 -0.303 -0.308 -0.308
0.0186361 0.754 -0.403 -0.369 -0.302 -0.306 -0.306
0.0200696 0.756 -0.402 -0.368 -0.301 -0.305 -0.305
0.0215032 0.758 -0.400 -0.367 -0.300 -0.303 -0.303
0.0229367 0.760 -0.399 -0.366 -0.299 -0.301 -0.301
0.0243703 0.762 -0.398 -0.365 -0.298 -0.300 -0.300
0.0258038 0.765 -0.395 -0.364 -0.297 -0.298 -0.298
0.0272374 0.767 -0.394 -0.363 -0.297 -0.297 -0.297
0.0286709 0.769 -0.392 -0.361 -0.295 -0.295 -0.295
0.0301045 0.771 -0.390 -0.360 -0.295 -0.294 -0.294
0.031538 0.774 -0.388 -0.358 -0.294 -0.293 -0.293
0.0329716 0.776 -0.386 -0.357 -0.293 -0.291 -0.291
0.0344051 0.779 -0.384 -0.355 -0.292 -0.290 -0.290
0.0358386 0.782 -0.382 -0.354 -0.291 -0.288 -0.288
0.0372722 0.785 -0.379 -0.352 -0.290 -0.287 -0.287
0.0387057 0.787 -0.377 -0.350 -0.289 -0.285 -0.285
0.0401393 0.791 -0.374 -0.348 -0.288 -0.284 -0.284
0.0415728 0.794 -0.372 -0.346 -0.288 -0.282 -0.282
0.0430064 0.796 -0.369 -0.344 -0.286 -0.281 -0.281
0.0444399 0.800 -0.366 -0.342 -0.285 -0.279 -0.279
0.0458735 0.803 -0.363 -0.340 -0.285 -0.278 -0.278
0.047307 0.807 -0.361 -0.338 -0.284 -0.276 -0.276
0.0487406 0.810 -0.357 -0.335 -0.283 -0.275 -0.275
0.0501741 0.813 -0.354 -0.333 -0.282 -0.273 -0.273
0.0516077 0.817 -0.351 -0.331 -0.281 -0.272 -0.272
0.0530412 0.821 -0.348 -0.328 -0.280 -0.270 -0.270
0.0544747 0.824 -0.344 -0.326 -0.279 -0.269 -0.269
0.0559083 0.828 -0.341 -0.324 -0.278 -0.268 -0.268
0.0573418 0.832 -0.338 -0.321 -0.277 -0.266 -0.266
0.0587754 0.836 -0.334 -0.319 -0.276 -0.265 -0.265
0.0602089 0.839 -0.331 -0.316 -0.275 -0.264 -0.264
0.0616425 0.843 -0.328 -0.314 -0.274 -0.262 -0.262
0.063076 0.847 -0.324 -0.312 -0.273 -0.261 -0.261
0.0645096 0.850 -0.322 -0.310 -0.272 -0.260 -0.260
0.0659431 0.854 -0.318 -0.308 -0.271 -0.259 -0.259
0.0673767 0.858 -0.315 -0.305 -0.270 -0.257 -0.257
0.0688102 0.861 -0.312 -0.303 -0.269 -0.256 -0.256
0.0702438 0.865 -0.309 -0.301 -0.269 -0.255 -0.255
0.0716773 0.868 -0.305 -0.299 -0.267 -0.253 -0.253
0.0731108 0.872 -0.302 -0.297 -0.266 -0.252 -0.252
0.0745444 0.875 -0.299 -0.296 -0.265 -0.251 -0.251
0.0759779 0.878 -0.296 -0.294 -0.264 -0.249 -0.249
0.0774115 0.881 -0.293 -0.292 -0.263 -0.248 -0.248
0.078845 0.885 -0.290 -0.290 -0.262 -0.247 -0.247
0.0802786 0.888 -0.287 -0.289 -0.261 -0.246 -0.246
0.0817121 0.891 -0.284 -0.287 -0.260 -0.244 -0.244
0.0831457 0.894 -0.280 -0.285 -0.258 -0.243 -0.243
0.0845792 0.897 -0.277 -0.283 -0.257 -0.242 -0.242
0.0860128 0.900 -0.275 -0.282 -0.256 -0.241 -0.241
0.0874463 0.903 -0.272 -0.280 -0.255 -0.240 -0.240
0.0888799 0.906 -0.269 -0.279 -0.253 -0.239 -0.239
0.0903134 0.909 -0.265 -0.277 -0.252 -0.238 -0.238
0.0917469 0.912 -0.262 -0.276 -0.251 -0.237 -0.237
0.0931805 0.914 -0.260 -0.274 -0.250 -0.236 -0.236
0.094614 0.917 -0.257 -0.273 -0.248 -0.235 -0.235
0.0960476 0.920 -0.254 -0.271 -0.247 -0.234 -0.234
0.0974811 0.922 -0.251 -0.270 -0.246 -0.233 -0.233
0.0989147 0.925 -0.248 -0.269 -0.244 -0.232 -0.232
0.100348 0.928 -0.245 -0.268 -0.243 -0.231 -0.231
0.101782 0.930 -0.243 -0.266 -0.242 -0.230 -0.230
0.103215 0.932 -0.240 -0.265 -0.241 -0.229 -0.229
0.104649 0.935 -0.237 -0.264 -0.239 -0.228 -0.228
0.106082 0.937 -0.235 -0.263 -0.238 -0.227 -0.227
0.107516 0.939 -0.232 -0.262 -0.236 -0.226 -0.226
0.108949 0.942 -0.229 -0.260 -0.235 -0.225 -0.225
0.110383 0.944 -0.226 -0.259 -0.233 -0.224 -0.224
0.111817 0.946 -0.223 -0.258 -0.232 -0.223 -0.223
0.11325 0.948 -0.221 -0.257 -0.230 -0.222 -0.222
0.114684 0.951 -0.218 -0.255 -0.229 -0.221 -0.221
0.116117 0.953 -0.215 -0.254 -0.227 -0.220 -0.220
0.117551 0.955 -0.212 -0.253 -0.226 -0.219 -0.219
0.118984 0.957 -0.209 -0.251 -0.224 -0.219 -0.219
0.120418 0.959 -0.206 -0.250 -0.223 -0.218 -0.218
0.121851 0.962 -0.203 -0.248 -0.221 -0.217 -0.217
0.123285 0.964 -0.200 -0.247 -0.220 -0.216 -0.216
0.124719 0.966 -0.197 -0.245 -0.219 -0.215 -0.215
0.126152 0.968 -0.194 -0.244 -0.218 -0.214 -0.214
0.127586 0.971 -0.191 -0.242 -0.216 -0.213 -0.213
0.129019 0.973 -0.189 -0.241 -0.215 -0.212 -0.212
0.130453 0.975 -0.185 -0.239 -0.213 -0.211 -0.211
0.131886 0.978 -0.182 -0.238 -0.212 -0.210 -0.210
0.13332 0.980 -0.179 -0.236 -0.211 -0.209 -0.209
0.134753 0.982 -0.176 -0.235 -0.210 -0.208 -0.208
0.136187 0.984 -0.173 -0.233 -0.208 -0.207 -0.207
0.13762 0.987 -0.170 -0.231 -0.207 -0.206 -0.206
0.139054 0.989 -0.167 -0.229 -0.206 -0.206 -0.206
0.140488 0.991 -0.164 -0.228 -0.205 -0.204 -0.204
0.141921 0.994 -0.161 -0.226 -0.203 -0.203 -0.203
0.143355 0.996 -0.157 -0.224 -0.202 -0.203 -0.203
0.144788 0.998 -0.154 -0.222 -0.201 -0.201 -0.201
0.146222 1.001 -0.152 -0.221 -0.200 -0.201 -0.201
0.147655 1.003 -0.148 -0.219 -0.199 -0.200 -0.200
0.149089 1.005 -0.145 -0.217 -0.198 -0.198 -0.198
0.150522 1.008 -0.142 -0.215 -0.197 -0.198 -0.198
0.151956 1.010 -0.139 -0.213 -0.196 -0.197 -0.197
0.153389 1.013 -0.135 -0.211 -0.195 -0.196 -0.196
0.154823 1.015 -0.132 -0.209 -0.194 -0.194 -0.194
0.156257 1.018 -0.129 -0.207 -0.193 -0.194 -0.194
0.15769 1.020 -0.125 -0.205 -0.192 -0.193 -0.193
0.159124 1.022 -0.122 -0.203 -0.191 -0.191 -0.191
0.160557 1.025 -0.119 -0.202 -0.190 -0.191 -0.191
0.161991 1.027 -0.116 -0.200 -0.189 -0.190 -0.190
0.163424 1.029 -0.112 -0.198 -0.188 -0.188 -0.188
0.164858 1.032 -0.109 -0.196 -0.187 -0.188 -0.188
0.166291 1.034 -0.106 -0.194 -0.187 -0.187 -0.187
0.167725 1.036 -0.103 -0.192 -0.186 -0.186 -0.186
0.169158 1.039 -0.100 -0.190 -0.185 -0.184 -0.184
0.170592 1.042 -0.096 -0.188 -0.184 -0.184 -0.184
0.172026 1.043 -0.093 -0.186 -0.183 -0.183 -0.183
0.173459 1.046 -0.090 -0.184 -0.182 -0.182 -0.182
0.174893 1.048 -0.087 -0.182 -0.181 -0.181 -0.181
0.176326 1.051 -0.083 -0.180 -0.180 -0.180 -0.180
0.17776 1.052 -0.080 -0.178 -0.179 -0.179 -0.179
0.179193 1.055 -0.077 -0.176 -0.178 -0.178 -0.178
0.180627 1.057 -0.074 -0.174 -0.177 -0.177 -0.177
0.18206 1.060 -0.071 -0.172 -0.176 -0.176 -0.176
0.183494 1.061 -0.068 -0.170 -0.175 -0.175 -0.175
0.184927 1.064 -0.064 -0.168 -0.174 -0.174 -0.174
0.186361 1.066 -0.061 -0.166 -0.173 -0.173 -0.173
0.187795 1.069 -0.058 -0.164 -0.172 -0.172 -0.172
0.189228 1.070 -0.055 -0.162 -0.171 -0.171 -0.171
0.190662 1.072 -0.051 -0.160 -0.170 -0.170 -0.170
0.192095 1.075 -0.048 -0.158 -0.169 -0.170 -0.170
0.193529 1.077 -0.045 -0.156 -0.168 -0.169 -0.169
0.194962 1.079 -0.042 -0.154 -0.166 -0.168 -0.168
0.196396 1.081 -0.039 -0.152 -0.165 -0.167 -0.167
0.197829 1.083 -0.036 -0.150 -0.164 -0.166 -0.166
0.199263 1.085 -0.033 -0.148 -0.163 -0.165 -0.165
0.200696 1.087 -0.029 -0.146 -0.161 -0.164 -0.164
0.20213 1.089 -0.026 -0.144 -0.160 -0.164 -0.164
0.203564 1.092 -0.023 -0.142 -0.159 -0.163 -0.163
0.204997 1.094 -0.020 -0.140 -0.158 -0.162 -0.162
0.206431 1.096 -0.017 -0.138 -0.156 -0.161 -0.161
0.207864 1.097 -0.014 -0.136 -0.155 -0.160 -0.160
0.209298 1.099 -0.011 -0.134 -0.154 -0.160 -0.160
0.210731 1.101 -0.008 -0.132 -0.152 -0.158 -0.158
0.212165 1.103 -0.005 -0.130 -0.151 -0.158 -0.158
0.213598 1.105 -0.002 -0.129 -0.150 -0.157 -0.157
0.215032 1.107 0.001 -0.127 -0.149 -0.156 -0.156
0.216465 1.109 0.004 -0.125 -0.147 -0.155 -0.155
0.217899 1.111 0.007 -0.123 -0.146 -0.155 -0.155
0.219333 1.113 0.010 -0.121 -0.144 -0.154 -0.154
0.220766 1.115 0.013 -0.119 -0.143 -0.153 -0.153
0.2222 1.117 0.016 -0.117 -0.141 -0.152 -0.152
0.223633 1.119 0.018 -0.115 -0.140 -0.151 -0.151
0.225067 1.121 0.020 -0.114 -0.138 -0.151 -0.151
0.2265 1.123 0.023 -0.112 -0.137 -0.150 -0.150
0.227934 1.124 0.026 -0.110 -0.136 -0.149 -0.149
