# IsPeriodic    : True
# Period        : 0.686836 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.575 -0.592 -0.572 -0.533 -0.535 -0.535
0.00137367 0.575 -0.591 -0.572 -0.533 -0.535 -0.535
0.00274734 0.577 -0.590 -0.572 -0.533 -0.534 -0.534
0.00412102 0.579 -0.589 -0.572 -0.532 -0.533 -0.533
0.00549469 0.581 -0.587 -0.571 -0.532 -0.532 -0.532
0.00686836 0.585 -0.585 -0.570 -0.531 -0.530 -0.530
0.00824203 0.588 -0.583 -0.570 -0.531 -0.529 -0.529
0.0096157 0.594 -0.580 -0.569 -0.529 -0.527 -0.527
0.0109894 0.598 -0.577 -0.568 -0.528 -0.525 -0.525
0.012363 0.604 -0.574 -0.566 -0.527 -0.523 -0.523
0.0137367 0.609 -0.571 -0.565 -0.526 -0.520 -0.520
0.0151104 0.615 -0.567 -0.564 -0.524 -0.517 -0.517
0.0164841 0.621 -0.563 -0.562 -0.523 -0.515 -0.515
0.0178577 0.627 -0.560 -0.560 -0.521 -0.513 -0.513
0.0192314 0.633 -0.556 -0.558 -0.519 -0.511 -0.511
0.0206051 0.638 -0.552 -0.556 -0.517 -0.508 -0.508
0.0219788 0.644 -0.549 -0.554 -0.515 -0.506 -0.506
0.0233524 0.649 -0.545 -0.551 -0.512 -0.504 -0.504
0.0247261 0.655 -0.541 -0.548 -0.510 -0.502 -0.502
0.0260998 0.660 -0.538 -0.545 -0.507 -0.500 -0.500
0.0274734 0.665 -0.535 -0.542 -0.505 -0.498 -0.498
0.0288471 0.671 -0.531 -0.539 -0.502 -0.496 -0.496
0.0302208 0.677 -0.528 -0.536 -0.499 -0.494 -0.494
0.0315945 0.682 -0.524 -0.532 -0.496 -0.492 -0.492
0.0329681 0.687 -0.519 -0.528 -0.494 -0.490 -0.490
0.0343418 0.692 -0.515 -0.525 -0.491 -0.488 -0.488
0.0357155 0.698 -0.511 -0.521 -0.488 -0.486 -0.486
0.0370891 0.703 -0.507 -0.517 -0.485 -0.484 -0.484
0.0384628 0.709 -0.502 -0.513 -0.483 -0.482 -0.482
0.0398365 0.714 -0.499 -0.509 -0.480 -0.480 -0.480
0.0412102 0.719 -0.494 -0.505 -0.477 -0.478 -0.478
0.0425838 0.725 -0.489 -0.501 -0.475 -0.475 -0.475
0.0439575 0.730 -0.484 -0.497 -0.472 -0.473 -0.473
0.0453312 0.735 -0.479 -0.493 -0.469 -0.471 -0.471
0.0467048 0.740 -0.475 -0.489 -0.467 -0.469 -0.469
0.0480785 0.746 -0.470 -0.485 -0.465 -0.467 -0.467
0.0494522 0.751 -0.465 -0.481 -0.462 -0.465 -0.465
0.0508259 0.756 -0.461 -0.477 -0.460 -0.463 -0.463
0.0521995 0.761 -0.455 -0.474 -0.458 -0.461 -0.461
0.0535732 0.767 -0.450 -0.471 -0.455 -0.459 -0.459
0.0549469 0.772 -0.445 -0.467 -0.453 -0.457 -0.457
