# IsPeriodic    : True
# Period        : 0.515992 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.388 -0.879 -0.735 -0.638 -0.574 -0.574
0.00103198 0.388 -0.878 -0.735 -0.638 -0.574 -0.574
0.00206397 0.389 -0.876 -0.735 -0.637 -0.573 -0.573
0.00309595 0.390 -0.874 -0.734 -0.636 -0.572 -0.572
0.00412794 0.391 -0.871 -0.731 -0.634 -0.572 -0.572
0.00515992 0.394 -0.867 -0.728 -0.631 -0.570 -0.570
0.0061919 0.396 -0.862 -0.725 -0.628 -0.569 -0.569
0.00722389 0.399 -0.856 -0.722 -0.623 -0.567 -0.567
0.00825587 0.402 -0.849 -0.718 -0.619 -0.565 -0.565
0.00928786 0.405 -0.843 -0.714 -0.614 -0.564 -0.564
0.0103198 0.409 -0.836 -0.711 -0.610 -0.562 -0.562
0.0113518 0.412 -0.830 -0.706 -0.604 -0.560 -0.560
0.0123838 0.417 -0.822 -0.701 -0.599 -0.558 -0.558
0.0134158 0.421 -0.815 -0.698 -0.595 -0.556 -0.556
0.0144478 0.425 -0.808 -0.693 -0.589 -0.553 -0.553
0.0154798 0.430 -0.801 -0.689 -0.585 -0.551 -0.551
0.0165117 0.435 -0.795 -0.685 -0.580 -0.549 -0.549
0.0175437 0.440 -0.788 -0.681 -0.576 -0.547 -0.547
0.0185757 0.445 -0.782 -0.677 -0.571 -0.545 -0.545
0.0196077 0.451 -0.775 -0.673 -0.567 -0.543 -0.543
0.0206397 0.456 -0.769 -0.669 -0.562 -0.541 -0.541
0.0216717 0.462 -0.762 -0.665 -0.558 -0.538 -0.538
0.0227036 0.469 -0.756 -0.661 -0.554 -0.535 -0.535
0.0237356 0.475 -0.749 -0.656 -0.550 -0.533 -0.533
0.0247676 0.481 -0.743 -0.652 -0.546 -0.530 -0.530
0.0257996 0.489 -0.735 -0.647 -0.542 -0.528 -0.528
0.0268316 0.496 -0.729 -0.642 -0.538 -0.524 -0.524
0.0278636 0.503 -0.721 -0.638 -0.534 -0.522 -0.522
0.0288956 0.511 -0.713 -0.632 -0.530 -0.518 -0.518
0.0299275 0.518 -0.707 -0.628 -0.526 -0.516 -0.516
0.0309595 0.527 -0.699 -0.623 -0.522 -0.512 -0.512
0.0319915 0.535 -0.691 -0.618 -0.518 -0.509 -0.509
0.0330235 0.543 -0.683 -0.613 -0.515 -0.506 -0.506
0.0340555 0.552 -0.676 -0.607 -0.511 -0.502 -0.502
0.0350875 0.562 -0.668 -0.602 -0.508 -0.499 -0.499
0.0361194 0.571 -0.660 -0.596 -0.504 -0.495 -0.495
0.0371514 0.581 -0.652 -0.592 -0.501 -0.491 -0.491
0.0381834 0.590 -0.645 -0.586 -0.497 -0.488 -0.488
0.0392154 0.600 -0.637 -0.581 -0.494 -0.485 -0.485
0.0402474 0.608 -0.629 -0.575 -0.491 -0.481 -0.481
0.0412794 0.618 -0.621 -0.571 -0.488 -0.477 -0.477
0.0423113 0.628 -0.613 -0.565 -0.485 -0.474 -0.474
0.0433433 0.637 -0.606 -0.559 -0.482 -0.470 -0.470
0.0443753 0.646 -0.598 -0.554 -0.479 -0.466 -0.466
0.0454073 0.654 -0.590 -0.549 -0.476 -0.463 -0.463
0.0464393 0.663 -0.582 -0.544 -0.473 -0.460 -0.460
0.0474713 0.672 -0.575 -0.538 -0.470 -0.456 -0.456
0.0485032 0.681 -0.568 -0.534 -0.468 -0.453 -0.453
0.0495352 0.688 -0.560 -0.528 -0.465 -0.450 -0.450
0.0505672 0.697 -0.553 -0.524 -0.462 -0.446 -0.446
0.0515992 0.704 -0.545 -0.518 -0.459 -0.444 -0.444
0.0526312 0.712 -0.538 -0.513 -0.457 -0.440 -0.440
0.0536632 0.719 -0.531 -0.508 -0.454 -0.438 -0.438
0.0546952 0.727 -0.523 -0.503 -0.451 -0.434 -0.434
0.0557271 0.734 -0.516 -0.499 -0.448 -0.431 -0.431
0.0567591 0.740 -0.510 -0.494 -0.445 -0.428 -0.428
0.0577911 0.748 -0.502 -0.489 -0.442 -0.425 -0.425
0.0588231 0.754 -0.496 -0.485 -0.440 -0.423 -0.423
0.0598551 0.762 -0.489 -0.480 -0.437 -0.420 -0.420
0.0608871 0.768 -0.483 -0.476 -0.434 -0.417 -0.417
0.061919 0.774 -0.476 -0.471 -0.432 -0.415 -0.415
0.062951 0.780 -0.470 -0.467 -0.429 -0.412 -0.412
0.063983 0.787 -0.463 -0.463 -0.427 -0.409 -0.409
0.065015 0.793 -0.457 -0.458 -0.424 -0.407 -0.407
0.066047 0.798 -0.450 -0.454 -0.421 -0.405 -0.405
0.067079 0.804 -0.444 -0.450 -0.418 -0.402 -0.402
0.0681109 0.809 -0.437 -0.446 -0.415 -0.399 -0.399
0.0691429 0.814 -0.432 -0.442 -0.413 -0.397 -0.397
0.0701749 0.819 -0.426 -0.438 -0.410 -0.395 -0.395
0.0712069 0.824 -0.419 -0.434 -0.408 -0.392 -0.392
0.0722389 0.829 -0.414 -0.430 -0.405 -0.390 -0.390
0.0732709 0.834 -0.408 -0.427 -0.403 -0.388 -0.388
0.0743028 0.838 -0.402 -0.423 -0.400 -0.386 -0.386
0.0753348 0.843 -0.396 -0.419 -0.397 -0.384 -0.384
0.0763668 0.848 -0.391 -0.416 -0.395 -0.382 -0.382
0.0773988 0.851 -0.386 -0.412 -0.392 -0.380 -0.380
0.0784308 0.856 -0.380 -0.408 -0.390 -0.378 -0.378
0.0794628 0.860 -0.374 -0.405 -0.387 -0.376 -0.376
0.0804948 0.865 -0.369 -0.401 -0.385 -0.374 -0.374
0.0815267 0.869 -0.364 -0.397 -0.382 -0.372 -0.372
0.0825587 0.874 -0.358 -0.395 -0.379 -0.370 -0.370
0.0835907 0.878 -0.353 -0.391 -0.377 -0.368 -0.368
0.0846227 0.883 -0.348 -0.387 -0.375 -0.366 -0.366
0.0856547 0.886 -0.343 -0.383 -0.372 -0.364 -0.364
0.0866867 0.891 -0.338 -0.381 -0.369 -0.362 -0.362
0.0877186 0.896 -0.333 -0.377 -0.367 -0.360 -0.360
0.0887506 0.900 -0.327 -0.373 -0.365 -0.358 -0.358
0.0897826 0.905 -0.321 -0.371 -0.362 -0.356 -0.356
0.0908146 0.910 -0.316 -0.367 -0.360 -0.354 -0.354
0.0918466 0.914 -0.311 -0.364 -0.357 -0.352 -0.352
0.0928786 0.919 -0.305 -0.360 -0.355 -0.350 -0.350
0.0939105 0.924 -0.300 -0.357 -0.353 -0.348 -0.348
0.0949425 0.928 -0.295 -0.354 -0.351 -0.346 -0.346
0.0959745 0.932 -0.290 -0.350 -0.348 -0.344 -0.344
0.0970065 0.937 -0.285 -0.348 -0.346 -0.342 -0.342
0.0980385 0.942 -0.279 -0.344 -0.344 -0.340 -0.340
0.0990705 0.946 -0.274 -0.341 -0.342 -0.339 -0.339
0.100102 0.951 -0.269 -0.337 -0.339 -0.337 -0.337
0.101134 0.956 -0.264 -0.335 -0.337 -0.335 -0.335
0.102166 0.961 -0.259 -0.331 -0.335 -0.333 -0.333
0.103198 0.965 -0.254 -0.328 -0.333 -0.331 -0.331
0.10423 0.970 -0.248 -0.324 -0.330 -0.328 -0.328
0.105262 0.975 -0.243 -0.322 -0.329 -0.326 -0.326
0.106294 0.980 -0.238 -0.319 -0.327 -0.324 -0.324
0.107326 0.985 -0.233 -0.315 -0.324 -0.322 -0.322
0.108358 0.989 -0.228 -0.313 -0.322 -0.320 -0.320
0.10939 0.994 -0.223 -0.310 -0.321 -0.318 -0.318
0.110422 0.999 -0.219 -0.306 -0.318 -0.316 -0.316
0.111454 1.004 -0.213 -0.303 -0.316 -0.314 -0.314
0.112486 1.009 -0.208 -0.301 -0.315 -0.312 -0.312
0.113518 1.014 -0.203 -0.297 -0.312 -0.310 -0.310
0.11455 1.019 -0.198 -0.294 -0.310 -0.308 -0.308
0.115582 1.022 -0.193 -0.291 -0.309 -0.306 -0.306
0.116614 1.027 -0.188 -0.289 -0.306 -0.304 -0.304
0.117646 1.032 -0.182 -0.285 -0.305 -0.303 -0.303
0.118678 1.037 -0.179 -0.282 -0.302 -0.301 -0.301
0.11971 1.041 -0.173 -0.279 -0.301 -0.299 -0.299
0.120742 1.046 -0.168 -0.277 -0.299 -0.297 -0.297
0.121774 1.050 -0.163 -0.274 -0.297 -0.295 -0.295
0.122806 1.055 -0.159 -0.271 -0.295 -0.293 -0.293
0.123838 1.060 -0.154 -0.268 -0.293 -0.291 -0.291
0.12487 1.063 -0.149 -0.266 -0.291 -0.289 -0.289
0.125902 1.068 -0.145 -0.263 -0.290 -0.287 -0.287
0.126934 1.072 -0.140 -0.260 -0.287 -0.285 -0.285
0.127966 1.076 -0.136 -0.257 -0.286 -0.284 -0.284
0.128998 1.081 -0.131 -0.254 -0.284 -0.282 -0.282
