# IsPeriodic    : True
# Period        : 0.793004 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.774 -0.318 -0.429 -0.441 -0.450 -0.450
0.00158601 0.774 -0.318 -0.429 -0.441 -0.450 -0.450
0.00317202 0.774 -0.318 -0.428 -0.441 -0.450 -0.450
0.00475802 0.774 -0.318 -0.428 -0.441 -0.450 -0.450
0.00634403 0.775 -0.317 -0.428 -0.441 -0.449 -0.449
0.00793004 0.775 -0.317 -0.427 -0.441 -0.449 -0.449
0.00951605 0.776 -0.316 -0.427 -0.440 -0.449 -0.449
0.0111021 0.777 -0.315 -0.427 -0.440 -0.449 -0.449
0.0126881 0.778 -0.314 -0.426 -0.440 -0.448 -0.448
0.0142741 0.779 -0.313 -0.425 -0.440 -0.448 -0.448
0.0158601 0.781 -0.312 -0.425 -0.439 -0.447 -0.447
0.0174461 0.781 -0.311 -0.424 -0.439 -0.447 -0.447
0.0190321 0.783 -0.310 -0.423 -0.439 -0.446 -0.446
0.0206181 0.785 -0.308 -0.422 -0.438 -0.446 -0.446
0.0222041 0.786 -0.307 -0.421 -0.438 -0.445 -0.445
0.0237901 0.787 -0.305 -0.420 -0.437 -0.445 -0.445
0.0253761 0.789 -0.304 -0.419 -0.436 -0.445 -0.445
0.0269621 0.791 -0.302 -0.418 -0.436 -0.444 -0.444
0.0285481 0.793 -0.301 -0.417 -0.435 -0.443 -0.443
0.0301342 0.795 -0.299 -0.416 -0.435 -0.443 -0.443
0.0317202 0.797 -0.297 -0.415 -0.434 -0.442 -0.442
0.0333062 0.799 -0.295 -0.414 -0.433 -0.442 -0.442
0.0348922 0.801 -0.293 -0.413 -0.432 -0.441 -0.441
0.0364782 0.804 -0.291 -0.411 -0.431 -0.440 -0.440
0.0380642 0.806 -0.289 -0.410 -0.430 -0.440 -0.440
0.0396502 0.808 -0.287 -0.408 -0.429 -0.439 -0.439
0.0412362 0.811 -0.285 -0.407 -0.428 -0.438 -0.438
0.0428222 0.814 -0.283 -0.406 -0.427 -0.437 -0.437
0.0444082 0.816 -0.280 -0.404 -0.426 -0.437 -0.437
0.0459942 0.819 -0.278 -0.402 -0.425 -0.436 -0.436
0.0475802 0.822 -0.276 -0.400 -0.424 -0.435 -0.435
0.0491662 0.825 -0.273 -0.399 -0.423 -0.434 -0.434
0.0507523 0.828 -0.270 -0.397 -0.422 -0.433 -0.433
0.0523383 0.831 -0.268 -0.395 -0.420 -0.432 -0.432
0.0539243 0.835 -0.264 -0.393 -0.419 -0.431 -0.431
0.0555103 0.838 -0.262 -0.392 -0.418 -0.430 -0.430
