# IsPeriodic    : True
# Period        : 0.545437 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.661 -0.544 -0.494 -0.450 -0.422 -0.422
0.00109087 0.661 -0.544 -0.494 -0.450 -0.421 -0.421
0.00218175 0.662 -0.544 -0.494 -0.450 -0.421 -0.421
0.00327262 0.663 -0.543 -0.493 -0.450 -0.421 -0.421
0.0043635 0.663 -0.543 -0.493 -0.450 -0.420 -0.420
0.00545437 0.665 -0.541 -0.493 -0.450 -0.420 -0.420
0.00654524 0.666 -0.539 -0.492 -0.449 -0.419 -0.419
0.00763612 0.668 -0.538 -0.492 -0.449 -0.418 -0.418
0.00872699 0.670 -0.536 -0.491 -0.449 -0.418 -0.418
0.00981787 0.672 -0.534 -0.490 -0.448 -0.417 -0.417
0.0109087 0.674 -0.532 -0.489 -0.447 -0.416 -0.416
0.0119996 0.677 -0.529 -0.488 -0.447 -0.415 -0.415
0.0130905 0.680 -0.527 -0.487 -0.446 -0.414 -0.414
0.0141814 0.682 -0.524 -0.486 -0.445 -0.413 -0.413
0.0152722 0.684 -0.522 -0.484 -0.445 -0.412 -0.412
0.0163631 0.687 -0.519 -0.483 -0.444 -0.411 -0.411
0.017454 0.690 -0.516 -0.481 -0.443 -0.410 -0.410
0.0185449 0.692 -0.513 -0.479 -0.442 -0.409 -0.409
0.0196357 0.695 -0.509 -0.477 -0.441 -0.408 -0.408
0.0207266 0.698 -0.506 -0.476 -0.440 -0.406 -0.406
0.0218175 0.701 -0.503 -0.474 -0.438 -0.406 -0.406
0.0229084 0.704 -0.499 -0.471 -0.437 -0.404 -0.404
0.0239992 0.707 -0.495 -0.469 -0.436 -0.403 -0.403
0.0250901 0.710 -0.491 -0.467 -0.434 -0.402 -0.402
0.026181 0.713 -0.487 -0.464 -0.433 -0.401 -0.401
0.0272719 0.716 -0.483 -0.461 -0.431 -0.399 -0.399
0.0283627 0.719 -0.478 -0.459 -0.430 -0.398 -0.398
0.0294536 0.723 -0.473 -0.456 -0.428 -0.397 -0.397
0.0305445 0.726 -0.468 -0.453 -0.427 -0.395 -0.395
0.0316353 0.729 -0.463 -0.450 -0.425 -0.394 -0.394
0.0327262 0.732 -0.458 -0.447 -0.423 -0.392 -0.392
0.0338171 0.736 -0.453 -0.444 -0.421 -0.391 -0.391
0.034908 0.740 -0.447 -0.441 -0.420 -0.389 -0.389
0.0359988 0.744 -0.442 -0.438 -0.418 -0.388 -0.388
0.0370897 0.747 -0.436 -0.435 -0.415 -0.386 -0.386
0.0381806 0.751 -0.430 -0.432 -0.413 -0.384 -0.384
0.0392715 0.755 -0.424 -0.429 -0.411 -0.383 -0.383
0.0403623 0.758 -0.418 -0.426 -0.409 -0.381 -0.381
0.0414532 0.763 -0.413 -0.423 -0.407 -0.379 -0.379
0.0425441 0.767 -0.406 -0.420 -0.405 -0.378 -0.378
0.043635 0.770 -0.400 -0.417 -0.403 -0.376 -0.376
0.0447258 0.775 -0.394 -0.414 -0.401 -0.374 -0.374
0.0458167 0.779 -0.389 -0.411 -0.399 -0.372 -0.372
0.0469076 0.783 -0.383 -0.409 -0.396 -0.371 -0.371
0.0479985 0.787 -0.377 -0.406 -0.395 -0.369 -0.369
0.0490893 0.791 -0.371 -0.404 -0.393 -0.368 -0.368
0.0501802 0.795 -0.365 -0.401 -0.391 -0.366 -0.366
0.0512711 0.799 -0.360 -0.399 -0.389 -0.365 -0.365
0.052362 0.803 -0.355 -0.396 -0.388 -0.363 -0.363
0.0534528 0.807 -0.350 -0.394 -0.386 -0.362 -0.362
0.0545437 0.811 -0.345 -0.392 -0.384 -0.360 -0.360
0.0556346 0.816 -0.340 -0.390 -0.382 -0.358 -0.358
0.0567254 0.819 -0.335 -0.387 -0.381 -0.357 -0.357
0.0578163 0.824 -0.330 -0.385 -0.379 -0.356 -0.356
0.0589072 0.828 -0.325 -0.383 -0.378 -0.354 -0.354
0.0599981 0.831 -0.321 -0.381 -0.376 -0.353 -0.353
0.0610889 0.835 -0.316 -0.379 -0.374 -0.352 -0.352
0.0621798 0.839 -0.311 -0.377 -0.373 -0.350 -0.350
0.0632707 0.842 -0.307 -0.375 -0.372 -0.349 -0.349
0.0643616 0.846 -0.303 -0.373 -0.370 -0.348 -0.348
0.0654524 0.850 -0.298 -0.371 -0.369 -0.347 -0.347
0.0665433 0.854 -0.293 -0.369 -0.367 -0.345 -0.345
0.0676342 0.857 -0.289 -0.368 -0.366 -0.344 -0.344
0.0687251 0.860 -0.285 -0.366 -0.365 -0.343 -0.343
0.0698159 0.864 -0.281 -0.364 -0.364 -0.342 -0.342
0.0709068 0.867 -0.278 -0.362 -0.363 -0.341 -0.341
0.0719977 0.871 -0.274 -0.361 -0.362 -0.340 -0.340
0.0730886 0.874 -0.270 -0.359 -0.361 -0.339 -0.339
0.0741794 0.877 -0.267 -0.357 -0.360 -0.338 -0.338
0.0752703 0.881 -0.263 -0.356 -0.358 -0.337 -0.337
0.0763612 0.884 -0.260 -0.354 -0.357 -0.336 -0.336
0.0774521 0.887 -0.256 -0.353 -0.356 -0.335 -0.335
0.0785429 0.891 -0.253 -0.351 -0.355 -0.334 -0.334
0.0796338 0.894 -0.250 -0.350 -0.354 -0.333 -0.333
0.0807247 0.897 -0.246 -0.348 -0.353 -0.332 -0.332
0.0818155 0.900 -0.243 -0.346 -0.353 -0.331 -0.331
0.0829064 0.903 -0.240 -0.345 -0.352 -0.330 -0.330
0.0839973 0.906 -0.236 -0.343 -0.351 -0.329 -0.329
0.0850882 0.909 -0.233 -0.341 -0.349 -0.328 -0.328
0.086179 0.911 -0.230 -0.340 -0.348 -0.328 -0.328
0.0872699 0.914 -0.226 -0.338 -0.347 -0.327 -0.327
0.0883608 0.917 -0.223 -0.336 -0.346 -0.325 -0.325
0.0894517 0.920 -0.220 -0.334 -0.345 -0.324 -0.324
0.0905425 0.923 -0.216 -0.332 -0.344 -0.324 -0.324
0.0916334 0.926 -0.213 -0.331 -0.343 -0.323 -0.323
0.0927243 0.929 -0.210 -0.329 -0.342 -0.322 -0.322
0.0938152 0.932 -0.207 -0.327 -0.341 -0.320 -0.320
0.094906 0.935 -0.203 -0.325 -0.340 -0.320 -0.320
0.0959969 0.938 -0.200 -0.324 -0.339 -0.319 -0.319
0.0970878 0.941 -0.197 -0.322 -0.338 -0.317 -0.317
0.0981787 0.944 -0.193 -0.320 -0.336 -0.316 -0.316
0.0992695 0.948 -0.190 -0.318 -0.335 -0.315 -0.315
0.10036 0.951 -0.187 -0.316 -0.334 -0.314 -0.314
0.101451 0.954 -0.183 -0.314 -0.333 -0.313 -0.313
0.102542 0.957 -0.180 -0.312 -0.332 -0.312 -0.312
0.103633 0.960 -0.177 -0.311 -0.330 -0.311 -0.311
0.104724 0.964 -0.173 -0.308 -0.330 -0.310 -0.310
0.105815 0.966 -0.170 -0.306 -0.328 -0.308 -0.308
0.106906 0.969 -0.167 -0.305 -0.327 -0.307 -0.307
0.107997 0.973 -0.164 -0.302 -0.326 -0.306 -0.306
0.109087 0.976 -0.160 -0.300 -0.325 -0.305 -0.305
0.110178 0.980 -0.157 -0.299 -0.323 -0.303 -0.303
0.111269 0.983 -0.154 -0.296 -0.322 -0.302 -0.302
0.11236 0.986 -0.150 -0.294 -0.321 -0.301 -0.301
0.113451 0.990 -0.146 -0.292 -0.319 -0.300 -0.300
0.114542 0.992 -0.143 -0.290 -0.318 -0.298 -0.298
0.115633 0.996 -0.140 -0.289 -0.317 -0.297 -0.297
0.116724 1.000 -0.136 -0.286 -0.315 -0.296 -0.296
0.117814 1.003 -0.133 -0.284 -0.314 -0.294 -0.294
0.118905 1.007 -0.130 -0.282 -0.313 -0.294 -0.294
0.119996 1.010 -0.126 -0.280 -0.311 -0.292 -0.292
0.121087 1.013 -0.123 -0.278 -0.310 -0.291 -0.291
0.122178 1.017 -0.120 -0.276 -0.308 -0.290 -0.290
0.123269 1.020 -0.116 -0.274 -0.307 -0.288 -0.288
0.12436 1.024 -0.113 -0.272 -0.306 -0.287 -0.287
0.125451 1.027 -0.110 -0.270 -0.304 -0.285 -0.285
0.126541 1.031 -0.106 -0.268 -0.303 -0.284 -0.284
0.127632 1.034 -0.103 -0.266 -0.301 -0.283 -0.283
0.128723 1.038 -0.101 -0.264 -0.300 -0.282 -0.282
0.129814 1.042 -0.097 -0.262 -0.299 -0.281 -0.281
0.130905 1.044 -0.094 -0.260 -0.297 -0.279 -0.279
0.131996 1.048 -0.092 -0.258 -0.297 -0.278 -0.278
0.133087 1.051 -0.088 -0.256 -0.295 -0.277 -0.277
0.134178 1.055 -0.086 -0.254 -0.294 -0.276 -0.276
0.135268 1.058 -0.082 -0.252 -0.292 -0.275 -0.275
0.136359 1.062 -0.080 -0.251 -0.291 -0.273 -0.273
0.13745 1.065 -0.077 -0.249 -0.290 -0.272 -0.272
0.138541 1.068 -0.074 -0.246 -0.288 -0.271 -0.271
0.139632 1.070 -0.072 -0.245 -0.287 -0.270 -0.270
0.140723 1.073 -0.068 -0.243 -0.286 -0.269 -0.269
0.141814 1.076 -0.066 -0.240 -0.284 -0.268 -0.268
0.142904 1.079 -0.063 -0.239 -0.283 -0.267 -0.267
0.143995 1.082 -0.061 -0.237 -0.282 -0.266 -0.266
0.145086 1.085 -0.058 -0.234 -0.280 -0.264 -0.264
0.146177 1.088 -0.056 -0.233 -0.279 -0.264 -0.264
0.147268 1.091 -0.053 -0.231 -0.277 -0.263 -0.263
