# IsPeriodic    : True
# Period        : 0.642761 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.990 -0.155 -0.333 -0.398 -0.403 -0.403
0.00128552 0.990 -0.155 -0.333 -0.398 -0.403 -0.403
0.00257104 0.990 -0.155 -0.333 -0.398 -0.403 -0.403
0.00385657 0.990 -0.155 -0.333 -0.397 -0.402 -0.402
0.00514209 0.991 -0.155 -0.332 -0.397 -0.402 -0.402
0.00642761 0.991 -0.154 -0.332 -0.397 -0.402 -0.402
0.00771313 0.991 -0.154 -0.332 -0.397 -0.401 -0.401
0.00899865 0.992 -0.154 -0.332 -0.397 -0.401 -0.401
0.0102842 0.992 -0.153 -0.332 -0.396 -0.401 -0.401
0.0115697 0.993 -0.153 -0.332 -0.396 -0.400 -0.400
0.0128552 0.993 -0.153 -0.331 -0.396 -0.400 -0.400
0.0141407 0.994 -0.152 -0.331 -0.395 -0.399 -0.399
0.0154263 0.995 -0.152 -0.331 -0.395 -0.399 -0.399
0.0167118 0.996 -0.151 -0.331 -0.394 -0.398 -0.398
0.0179973 0.997 -0.151 -0.330 -0.394 -0.398 -0.398
0.0192828 0.998 -0.150 -0.330 -0.393 -0.397 -0.397
0.0205684 0.999 -0.150 -0.329 -0.393 -0.397 -0.397
0.0218539 1.000 -0.149 -0.329 -0.393 -0.397 -0.397
0.0231394 1.002 -0.148 -0.329 -0.392 -0.396 -0.396
0.0244249 1.003 -0.148 -0.328 -0.392 -0.396 -0.396
0.0257104 1.005 -0.147 -0.328 -0.391 -0.395 -0.395
0.026996 1.006 -0.147 -0.327 -0.391 -0.395 -0.395
0.0282815 1.008 -0.146 -0.327 -0.391 -0.395 -0.395
0.029567 1.009 -0.145 -0.326 -0.390 -0.394 -0.394
0.0308525 1.011 -0.144 -0.326 -0.390 -0.394 -0.394
0.0321381 1.013 -0.143 -0.325 -0.390 -0.393 -0.393
0.0334236 1.014 -0.142 -0.324 -0.389 -0.393 -0.393
0.0347091 1.016 -0.141 -0.324 -0.389 -0.393 -0.393
0.0359946 1.018 -0.140 -0.323 -0.388 -0.392 -0.392
0.0372801 1.020 -0.140 -0.322 -0.388 -0.392 -0.392
0.0385657 1.021 -0.139 -0.322 -0.387 -0.392 -0.392
0.0398512 1.023 -0.137 -0.321 -0.387 -0.391 -0.391
0.0411367 1.025 -0.136 -0.320 -0.387 -0.391 -0.391
0.0424222 1.027 -0.135 -0.319 -0.386 -0.390 -0.390
0.0437077 1.028 -0.134 -0.319 -0.386 -0.390 -0.390
0.0449933 1.030 -0.133 -0.318 -0.385 -0.390 -0.390
0.0462788 1.031 -0.132 -0.317 -0.385 -0.389 -0.389
0.0475643 1.033 -0.130 -0.316 -0.384 -0.389 -0.389
0.0488498 1.035 -0.129 -0.315 -0.384 -0.389 -0.389
0.0501354 1.036 -0.128 -0.314 -0.384 -0.388 -0.388
0.0514209 1.038 -0.127 -0.313 -0.383 -0.388 -0.388
0.0527064 1.039 -0.125 -0.312 -0.383 -0.388 -0.388
0.0539919 1.040 -0.124 -0.311 -0.382 -0.387 -0.387
0.0552774 1.042 -0.123 -0.311 -0.382 -0.387 -0.387
0.056563 1.043 -0.122 -0.310 -0.381 -0.386 -0.386
0.0578485 1.044 -0.121 -0.309 -0.381 -0.386 -0.386
0.059134 1.046 -0.119 -0.308 -0.381 -0.386 -0.386
0.0604195 1.047 -0.118 -0.307 -0.380 -0.385 -0.385
0.0617051 1.049 -0.117 -0.306 -0.380 -0.385 -0.385
0.0629906 1.050 -0.116 -0.306 -0.379 -0.385 -0.385
0.0642761 1.051 -0.114 -0.305 -0.379 -0.384 -0.384
0.0655616 1.053 -0.113 -0.304 -0.378 -0.384 -0.384
0.0668471 1.054 -0.112 -0.303 -0.378 -0.383 -0.383
0.0681327 1.055 -0.111 -0.303 -0.377 -0.383 -0.383
0.0694182 1.057 -0.110 -0.302 -0.377 -0.382 -0.382
0.0707037 1.058 -0.109 -0.301 -0.376 -0.382 -0.382
0.0719892 1.059 -0.108 -0.300 -0.376 -0.382 -0.382
0.0732748 1.060 -0.106 -0.300 -0.375 -0.381 -0.381
0.0745603 1.061 -0.105 -0.299 -0.375 -0.381 -0.381
0.0758458 1.062 -0.104 -0.299 -0.374 -0.380 -0.380
0.0771313 1.063 -0.103 -0.298 -0.374 -0.380 -0.380
0.0784168 1.064 -0.102 -0.297 -0.373 -0.379 -0.379
0.0797024 1.065 -0.101 -0.297 -0.372 -0.379 -0.379
0.0809879 1.066 -0.100 -0.296 -0.372 -0.378 -0.378
0.0822734 1.067 -0.098 -0.295 -0.371 -0.377 -0.377
0.0835589 1.069 -0.097 -0.295 -0.371 -0.377 -0.377
0.0848445 1.070 -0.096 -0.294 -0.370 -0.376 -0.376
