# IsPeriodic    : True
# Period        : 0.616433 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.685 -0.477 -0.502 -0.460 -0.415 -0.415
0.00123287 0.685 -0.477 -0.502 -0.460 -0.415 -0.415
0.00246573 0.685 -0.476 -0.502 -0.459 -0.415 -0.415
0.0036986 0.686 -0.475 -0.501 -0.459 -0.415 -0.415
0.00493146 0.687 -0.474 -0.500 -0.458 -0.415 -0.415
0.00616433 0.688 -0.473 -0.499 -0.458 -0.414 -0.414
0.0073972 0.690 -0.471 -0.498 -0.457 -0.414 -0.414
0.00863006 0.691 -0.470 -0.496 -0.456 -0.413 -0.413
0.00986293 0.693 -0.468 -0.494 -0.454 -0.413 -0.413
0.0110958 0.695 -0.466 -0.493 -0.453 -0.413 -0.413
0.0123287 0.697 -0.464 -0.492 -0.452 -0.412 -0.412
0.0135615 0.699 -0.462 -0.489 -0.451 -0.411 -0.411
0.0147944 0.702 -0.459 -0.488 -0.450 -0.411 -0.411
0.0160273 0.704 -0.458 -0.486 -0.448 -0.410 -0.410
0.0172601 0.706 -0.455 -0.484 -0.447 -0.410 -0.410
0.018493 0.709 -0.452 -0.483 -0.446 -0.409 -0.409
0.0197259 0.711 -0.450 -0.481 -0.444 -0.408 -0.408
0.0209587 0.714 -0.447 -0.479 -0.443 -0.408 -0.408
0.0221916 0.717 -0.445 -0.477 -0.442 -0.407 -0.407
0.0234245 0.719 -0.442 -0.475 -0.440 -0.406 -0.406
0.0246573 0.722 -0.439 -0.474 -0.439 -0.405 -0.405
0.0258902 0.724 -0.436 -0.471 -0.438 -0.405 -0.405
0.0271231 0.727 -0.433 -0.470 -0.436 -0.404 -0.404
0.0283559 0.730 -0.430 -0.467 -0.435 -0.403 -0.403
0.0295888 0.733 -0.427 -0.466 -0.434 -0.402 -0.402
0.0308217 0.737 -0.423 -0.463 -0.432 -0.401 -0.401
0.0320545 0.740 -0.420 -0.461 -0.431 -0.400 -0.400
0.0332874 0.743 -0.416 -0.459 -0.429 -0.399 -0.399
0.0345202 0.746 -0.412 -0.457 -0.428 -0.398 -0.398
0.0357531 0.750 -0.409 -0.454 -0.426 -0.397 -0.397
0.036986 0.753 -0.404 -0.452 -0.425 -0.395 -0.395
0.0382188 0.757 -0.400 -0.449 -0.423 -0.394 -0.394
0.0394517 0.761 -0.396 -0.447 -0.422 -0.393 -0.393
0.0406846 0.765 -0.392 -0.444 -0.420 -0.392 -0.392
0.0419174 0.769 -0.388 -0.442 -0.418 -0.390 -0.390
0.0431503 0.773 -0.383 -0.439 -0.417 -0.389 -0.389
0.0443832 0.777 -0.379 -0.437 -0.415 -0.388 -0.388
0.045616 0.782 -0.374 -0.434 -0.414 -0.386 -0.386
0.0468489 0.785 -0.370 -0.432 -0.412 -0.385 -0.385
0.0480818 0.790 -0.365 -0.429 -0.410 -0.384 -0.384
0.0493146 0.794 -0.360 -0.426 -0.409 -0.382 -0.382
0.0505475 0.799 -0.355 -0.424 -0.407 -0.381 -0.381
0.0517804 0.803 -0.351 -0.421 -0.406 -0.380 -0.380
0.0530132 0.807 -0.347 -0.418 -0.404 -0.378 -0.378
0.0542461 0.812 -0.342 -0.416 -0.402 -0.377 -0.377
0.055479 0.816 -0.337 -0.413 -0.401 -0.376 -0.376
0.0567118 0.820 -0.333 -0.411 -0.399 -0.374 -0.374
0.0579447 0.824 -0.329 -0.408 -0.398 -0.373 -0.373
0.0591776 0.828 -0.325 -0.406 -0.396 -0.372 -0.372
0.0604104 0.833 -0.321 -0.403 -0.394 -0.371 -0.371
0.0616433 0.836 -0.316 -0.401 -0.393 -0.370 -0.370
0.0628762 0.841 -0.312 -0.399 -0.391 -0.368 -0.368
0.064109 0.845 -0.308 -0.396 -0.390 -0.367 -0.367
0.0653419 0.848 -0.304 -0.394 -0.388 -0.366 -0.366
0.0665748 0.852 -0.300 -0.391 -0.386 -0.365 -0.365
0.0678076 0.856 -0.296 -0.389 -0.385 -0.364 -0.364
0.0690405 0.860 -0.292 -0.387 -0.383 -0.362 -0.362
0.0702734 0.863 -0.288 -0.385 -0.382 -0.361 -0.361
0.0715062 0.867 -0.285 -0.382 -0.380 -0.360 -0.360
0.0727391 0.871 -0.281 -0.380 -0.379 -0.359 -0.359
0.073972 0.874 -0.278 -0.378 -0.378 -0.358 -0.358
0.0752048 0.877 -0.274 -0.376 -0.376 -0.357 -0.357
0.0764377 0.880 -0.271 -0.373 -0.375 -0.356 -0.356
0.0776706 0.884 -0.267 -0.371 -0.373 -0.355 -0.355
0.0789034 0.887 -0.264 -0.369 -0.372 -0.354 -0.354
0.0801363 0.890 -0.261 -0.367 -0.370 -0.353 -0.353
