# IsPeriodic    : True
# Period        : 0.582127 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.486 -0.703 -0.622 -0.512 -0.458 -0.458
0.00116425 0.487 -0.703 -0.622 -0.512 -0.458 -0.458
0.00232851 0.487 -0.702 -0.622 -0.512 -0.458 -0.458
0.00349276 0.488 -0.701 -0.622 -0.511 -0.457 -0.457
0.00465702 0.489 -0.699 -0.621 -0.511 -0.457 -0.457
0.00582127 0.490 -0.695 -0.620 -0.510 -0.455 -0.455
0.00698552 0.492 -0.692 -0.619 -0.509 -0.454 -0.454
0.00814978 0.493 -0.687 -0.618 -0.507 -0.452 -0.452
0.00931403 0.495 -0.683 -0.617 -0.506 -0.450 -0.450
0.0104783 0.497 -0.679 -0.615 -0.504 -0.448 -0.448
0.0116425 0.499 -0.673 -0.613 -0.503 -0.446 -0.446
0.0128068 0.502 -0.669 -0.612 -0.501 -0.444 -0.444
0.013971 0.504 -0.663 -0.609 -0.500 -0.441 -0.441
0.0151353 0.506 -0.656 -0.608 -0.498 -0.439 -0.439
0.0162996 0.509 -0.651 -0.605 -0.496 -0.436 -0.436
0.0174638 0.511 -0.645 -0.602 -0.494 -0.434 -0.434
0.0186281 0.514 -0.640 -0.600 -0.492 -0.431 -0.431
0.0197923 0.517 -0.634 -0.596 -0.491 -0.429 -0.429
0.0209566 0.519 -0.628 -0.593 -0.489 -0.426 -0.426
0.0221208 0.523 -0.623 -0.589 -0.487 -0.424 -0.424
0.0232851 0.526 -0.616 -0.586 -0.485 -0.421 -0.421
0.0244493 0.529 -0.611 -0.582 -0.482 -0.419 -0.419
0.0256136 0.532 -0.605 -0.578 -0.481 -0.417 -0.417
0.0267778 0.536 -0.599 -0.573 -0.478 -0.414 -0.414
0.0279421 0.539 -0.594 -0.569 -0.476 -0.412 -0.412
0.0291063 0.542 -0.587 -0.564 -0.473 -0.410 -0.410
0.0302706 0.546 -0.582 -0.560 -0.471 -0.407 -0.407
0.0314349 0.550 -0.576 -0.555 -0.468 -0.405 -0.405
0.0325991 0.554 -0.571 -0.550 -0.466 -0.403 -0.403
0.0337634 0.559 -0.564 -0.545 -0.462 -0.401 -0.401
0.0349276 0.563 -0.558 -0.540 -0.460 -0.398 -0.398
0.0360919 0.567 -0.553 -0.535 -0.457 -0.397 -0.397
0.0372561 0.571 -0.547 -0.530 -0.454 -0.395 -0.395
0.0384204 0.576 -0.540 -0.525 -0.451 -0.393 -0.393
0.0395846 0.580 -0.535 -0.520 -0.447 -0.390 -0.390
0.0407489 0.585 -0.529 -0.515 -0.444 -0.389 -0.389
0.0419131 0.590 -0.523 -0.511 -0.441 -0.387 -0.387
