# IsPeriodic    : True
# Period        : 0.690963 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.600 -0.553 -0.554 -0.508 -0.465 -0.465
0.00138193 0.600 -0.553 -0.554 -0.508 -0.465 -0.465
0.00276385 0.601 -0.552 -0.554 -0.508 -0.465 -0.465
0.00414578 0.602 -0.551 -0.553 -0.507 -0.465 -0.465
0.0055277 0.604 -0.550 -0.552 -0.507 -0.465 -0.465
0.00690963 0.606 -0.549 -0.551 -0.506 -0.464 -0.464
0.00829156 0.608 -0.547 -0.549 -0.505 -0.464 -0.464
0.00967348 0.611 -0.545 -0.548 -0.504 -0.463 -0.463
0.0110554 0.613 -0.543 -0.546 -0.502 -0.463 -0.463
0.0124373 0.617 -0.541 -0.544 -0.501 -0.462 -0.462
0.0138193 0.619 -0.539 -0.542 -0.499 -0.462 -0.462
0.0152012 0.623 -0.536 -0.540 -0.498 -0.461 -0.461
0.0165831 0.626 -0.533 -0.538 -0.496 -0.460 -0.460
0.017965 0.630 -0.531 -0.536 -0.495 -0.460 -0.460
0.019347 0.633 -0.529 -0.534 -0.493 -0.459 -0.459
0.0207289 0.637 -0.525 -0.532 -0.492 -0.458 -0.458
0.0221108 0.639 -0.522 -0.530 -0.490 -0.457 -0.457
0.0234927 0.643 -0.519 -0.528 -0.488 -0.457 -0.457
0.0248747 0.647 -0.517 -0.526 -0.487 -0.456 -0.456
0.0262566 0.650 -0.513 -0.524 -0.485 -0.455 -0.455
0.0276385 0.654 -0.509 -0.522 -0.484 -0.454 -0.454
0.0290204 0.657 -0.507 -0.520 -0.482 -0.453 -0.453
0.0304024 0.661 -0.503 -0.518 -0.480 -0.452 -0.452
0.0317843 0.665 -0.499 -0.516 -0.479 -0.451 -0.451
0.0331662 0.669 -0.496 -0.513 -0.477 -0.450 -0.450
0.0345481 0.673 -0.491 -0.511 -0.476 -0.449 -0.449
0.0359301 0.678 -0.487 -0.508 -0.474 -0.447 -0.447
0.037312 0.682 -0.483 -0.506 -0.472 -0.446 -0.446
0.0386939 0.686 -0.478 -0.504 -0.470 -0.445 -0.445
0.0400759 0.691 -0.475 -0.501 -0.469 -0.443 -0.443
0.0414578 0.696 -0.469 -0.498 -0.467 -0.442 -0.442
0.0428397 0.701 -0.465 -0.495 -0.465 -0.440 -0.440
0.0442216 0.706 -0.460 -0.492 -0.463 -0.439 -0.439
0.0456036 0.710 -0.455 -0.490 -0.461 -0.438 -0.438
0.0469855 0.716 -0.450 -0.487 -0.459 -0.436 -0.436
0.0483674 0.722 -0.444 -0.484 -0.457 -0.434 -0.434
0.0497493 0.727 -0.440 -0.481 -0.455 -0.433 -0.433
0.0511313 0.732 -0.434 -0.478 -0.453 -0.431 -0.431
0.0525132 0.737 -0.429 -0.475 -0.452 -0.429 -0.429
0.0538951 0.742 -0.423 -0.473 -0.450 -0.428 -0.428
0.055277 0.748 -0.418 -0.469 -0.448 -0.426 -0.426
0.056659 0.753 -0.412 -0.467 -0.446 -0.425 -0.425
0.0580409 0.758 -0.407 -0.463 -0.444 -0.423 -0.423
0.0594228 0.764 -0.402 -0.461 -0.442 -0.421 -0.421
0.0608047 0.769 -0.397 -0.457 -0.440 -0.420 -0.420
0.0621867 0.774 -0.391 -0.455 -0.438 -0.418 -0.418
0.0635686 0.779 -0.387 -0.451 -0.436 -0.417 -0.417
0.0649505 0.784 -0.381 -0.449 -0.434 -0.415 -0.415
0.0663324 0.789 -0.377 -0.446 -0.432 -0.414 -0.414
0.0677144 0.794 -0.372 -0.443 -0.430 -0.412 -0.412
0.0690963 0.799 -0.367 -0.440 -0.428 -0.411 -0.411
0.0704782 0.803 -0.362 -0.437 -0.426 -0.409 -0.409
0.0718602 0.808 -0.358 -0.434 -0.425 -0.408 -0.408
0.0732421 0.812 -0.353 -0.431 -0.423 -0.407 -0.407
0.074624 0.817 -0.349 -0.429 -0.421 -0.405 -0.405
0.0760059 0.822 -0.344 -0.426 -0.419 -0.404 -0.404
0.0773879 0.826 -0.339 -0.424 -0.417 -0.402 -0.402
0.0787698 0.831 -0.335 -0.421 -0.416 -0.401 -0.401
0.0801517 0.835 -0.331 -0.418 -0.414 -0.400 -0.400
0.0815336 0.838 -0.327 -0.416 -0.412 -0.398 -0.398
0.0829156 0.843 -0.323 -0.413 -0.410 -0.397 -0.397
0.0842975 0.847 -0.318 -0.410 -0.409 -0.396 -0.396
0.0856794 0.850 -0.315 -0.408 -0.407 -0.395 -0.395
0.0870613 0.855 -0.310 -0.405 -0.405 -0.393 -0.393
0.0884433 0.858 -0.307 -0.402 -0.404 -0.392 -0.392
0.0898252 0.862 -0.303 -0.400 -0.402 -0.391 -0.391
0.0912071 0.866 -0.299 -0.397 -0.400 -0.390 -0.390
0.092589 0.869 -0.296 -0.394 -0.399 -0.388 -0.388
0.093971 0.873 -0.292 -0.392 -0.397 -0.388 -0.388
0.0953529 0.876 -0.288 -0.390 -0.396 -0.386 -0.386
0.0967348 0.879 -0.285 -0.387 -0.394 -0.385 -0.385
0.0981167 0.883 -0.281 -0.385 -0.392 -0.384 -0.384
0.0994987 0.885 -0.277 -0.382 -0.391 -0.383 -0.383
0.100881 0.889 -0.275 -0.380 -0.389 -0.382 -0.382
0.102263 0.892 -0.271 -0.378 -0.388 -0.381 -0.381
0.103644 0.895 -0.267 -0.375 -0.387 -0.379 -0.379
0.105026 0.898 -0.264 -0.373 -0.385 -0.378 -0.378
