# IsPeriodic    : True
# Period        : 0.510390 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.650 -0.526 -0.470 -0.414 -0.369 -0.369
0.00102078 0.650 -0.526 -0.470 -0.414 -0.369 -0.369
0.00204156 0.650 -0.525 -0.470 -0.414 -0.368 -0.368
0.00306234 0.651 -0.525 -0.469 -0.413 -0.368 -0.368
0.00408312 0.652 -0.525 -0.469 -0.413 -0.367 -0.367
0.0051039 0.653 -0.524 -0.468 -0.413 -0.366 -0.366
0.00612468 0.655 -0.523 -0.468 -0.413 -0.365 -0.365
0.00714546 0.656 -0.522 -0.467 -0.412 -0.364 -0.364
0.00816624 0.658 -0.520 -0.467 -0.412 -0.362 -0.362
0.00918702 0.660 -0.518 -0.465 -0.411 -0.361 -0.361
0.0102078 0.663 -0.517 -0.464 -0.410 -0.359 -0.359
0.0112286 0.665 -0.515 -0.464 -0.409 -0.357 -0.357
0.0122494 0.667 -0.513 -0.463 -0.408 -0.355 -0.355
0.0132701 0.670 -0.510 -0.461 -0.407 -0.353 -0.353
0.0142909 0.672 -0.508 -0.460 -0.406 -0.351 -0.351
0.0153117 0.675 -0.505 -0.458 -0.405 -0.349 -0.349
0.0163325 0.677 -0.502 -0.457 -0.404 -0.347 -0.347
0.0173533 0.680 -0.499 -0.455 -0.403 -0.345 -0.345
0.018374 0.683 -0.495 -0.453 -0.401 -0.343 -0.343
0.0193948 0.685 -0.493 -0.451 -0.400 -0.341 -0.341
0.0204156 0.688 -0.488 -0.449 -0.398 -0.340 -0.340
0.0214364 0.690 -0.485 -0.447 -0.397 -0.337 -0.337
0.0224572 0.693 -0.480 -0.445 -0.395 -0.336 -0.336
0.0234779 0.696 -0.476 -0.442 -0.393 -0.334 -0.334
0.0244987 0.700 -0.472 -0.440 -0.392 -0.332 -0.332
0.0255195 0.703 -0.467 -0.437 -0.390 -0.330 -0.330
0.0265403 0.706 -0.463 -0.435 -0.388 -0.328 -0.328
0.0275611 0.710 -0.457 -0.432 -0.387 -0.326 -0.326
0.0285818 0.713 -0.452 -0.429 -0.385 -0.325 -0.325
0.0296026 0.717 -0.448 -0.426 -0.383 -0.323 -0.323
0.0306234 0.720 -0.442 -0.423 -0.382 -0.321 -0.321
0.0316442 0.724 -0.437 -0.419 -0.380 -0.320 -0.320
0.032665 0.728 -0.432 -0.416 -0.378 -0.318 -0.318
0.0336857 0.733 -0.426 -0.413 -0.376 -0.317 -0.317
0.0347065 0.736 -0.422 -0.410 -0.374 -0.315 -0.315
0.0357273 0.740 -0.417 -0.407 -0.373 -0.314 -0.314
0.0367481 0.745 -0.412 -0.404 -0.371 -0.312 -0.312
0.0377689 0.750 -0.407 -0.401 -0.370 -0.311 -0.311
0.0387896 0.753 -0.403 -0.398 -0.368 -0.309 -0.309
0.0398104 0.758 -0.397 -0.396 -0.367 -0.308 -0.308
0.0408312 0.763 -0.393 -0.393 -0.365 -0.306 -0.306
0.041852 0.767 -0.388 -0.390 -0.363 -0.305 -0.305
0.0428728 0.771 -0.383 -0.387 -0.362 -0.303 -0.303
0.0438935 0.776 -0.379 -0.385 -0.361 -0.302 -0.302
0.0449143 0.780 -0.374 -0.382 -0.359 -0.301 -0.301
0.0459351 0.785 -0.369 -0.380 -0.358 -0.299 -0.299
0.0469559 0.789 -0.365 -0.377 -0.356 -0.298 -0.298
0.0479767 0.793 -0.360 -0.375 -0.355 -0.297 -0.297
0.0489974 0.797 -0.356 -0.372 -0.353 -0.295 -0.295
0.0500182 0.802 -0.351 -0.369 -0.352 -0.294 -0.294
0.051039 0.806 -0.347 -0.368 -0.350 -0.293 -0.293
0.0520598 0.810 -0.342 -0.365 -0.349 -0.292 -0.292
0.0530806 0.814 -0.338 -0.363 -0.348 -0.290 -0.290
0.0541013 0.818 -0.334 -0.361 -0.346 -0.289 -0.289
0.0551221 0.822 -0.330 -0.359 -0.345 -0.287 -0.287
0.0561429 0.826 -0.326 -0.356 -0.344 -0.286 -0.286
0.0571637 0.830 -0.321 -0.355 -0.342 -0.285 -0.285
0.0581845 0.833 -0.317 -0.353 -0.341 -0.284 -0.284
0.0592052 0.837 -0.313 -0.350 -0.340 -0.282 -0.282
0.060226 0.841 -0.309 -0.349 -0.339 -0.281 -0.281
0.0612468 0.844 -0.305 -0.347 -0.338 -0.280 -0.280
0.0622676 0.848 -0.301 -0.345 -0.336 -0.278 -0.278
0.0632884 0.851 -0.297 -0.343 -0.335 -0.277 -0.277
0.0643091 0.855 -0.293 -0.342 -0.334 -0.276 -0.276
0.0653299 0.858 -0.289 -0.340 -0.332 -0.274 -0.274
0.0663507 0.861 -0.285 -0.338 -0.331 -0.273 -0.273
0.0673715 0.865 -0.281 -0.337 -0.330 -0.272 -0.272
0.0683923 0.868 -0.278 -0.335 -0.329 -0.270 -0.270
0.069413 0.871 -0.274 -0.333 -0.327 -0.269 -0.269
0.0704338 0.874 -0.270 -0.332 -0.326 -0.268 -0.268
0.0714546 0.877 -0.266 -0.330 -0.325 -0.266 -0.266
0.0724754 0.880 -0.262 -0.329 -0.323 -0.265 -0.265
0.0734962 0.883 -0.258 -0.327 -0.322 -0.263 -0.263
0.0745169 0.886 -0.255 -0.326 -0.320 -0.262 -0.262
0.0755377 0.889 -0.251 -0.324 -0.319 -0.261 -0.261
0.0765585 0.891 -0.247 -0.322 -0.318 -0.259 -0.259
0.0775793 0.894 -0.243 -0.321 -0.317 -0.258 -0.258
0.0786001 0.897 -0.240 -0.319 -0.315 -0.257 -0.257
0.0796208 0.900 -0.236 -0.317 -0.314 -0.255 -0.255
0.0806416 0.902 -0.233 -0.315 -0.312 -0.254 -0.254
0.0816624 0.905 -0.228 -0.314 -0.311 -0.252 -0.252
0.0826832 0.907 -0.225 -0.312 -0.309 -0.251 -0.251
0.083704 0.910 -0.221 -0.310 -0.308 -0.249 -0.249
0.0847247 0.913 -0.218 -0.308 -0.307 -0.248 -0.248
0.0857455 0.915 -0.214 -0.307 -0.305 -0.246 -0.246
0.0867663 0.918 -0.211 -0.305 -0.304 -0.245 -0.245
0.0877871 0.920 -0.207 -0.303 -0.302 -0.244 -0.244
0.0888079 0.924 -0.204 -0.301 -0.301 -0.242 -0.242
0.0898286 0.926 -0.200 -0.299 -0.299 -0.241 -0.241
0.0908494 0.929 -0.196 -0.298 -0.298 -0.240 -0.240
0.0918702 0.931 -0.192 -0.296 -0.296 -0.238 -0.238
0.092891 0.934 -0.189 -0.294 -0.295 -0.237 -0.237
0.0939118 0.937 -0.185 -0.292 -0.293 -0.235 -0.235
0.0949325 0.940 -0.182 -0.290 -0.291 -0.234 -0.234
0.0959533 0.943 -0.178 -0.288 -0.290 -0.233 -0.233
0.0969741 0.945 -0.175 -0.286 -0.288 -0.232 -0.232
0.0979949 0.948 -0.171 -0.284 -0.287 -0.230 -0.230
0.0990157 0.951 -0.168 -0.282 -0.285 -0.229 -0.229
