# IsPeriodic    : True
# Period        : 0.599831 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.685 -0.492 -0.514 -0.495 -0.433 -0.433
0.00119966 0.685 -0.492 -0.514 -0.495 -0.433 -0.433
0.00239932 0.685 -0.492 -0.513 -0.495 -0.433 -0.433
0.00359899 0.686 -0.491 -0.513 -0.494 -0.433 -0.433
0.00479865 0.687 -0.489 -0.513 -0.494 -0.432 -0.432
0.00599831 0.688 -0.487 -0.512 -0.493 -0.432 -0.432
0.00719797 0.689 -0.485 -0.512 -0.492 -0.431 -0.431
0.00839763 0.690 -0.481 -0.511 -0.491 -0.430 -0.430
0.0095973 0.691 -0.478 -0.510 -0.490 -0.429 -0.429
0.010797 0.693 -0.475 -0.510 -0.489 -0.429 -0.429
0.0119966 0.694 -0.471 -0.509 -0.488 -0.427 -0.427
0.0131963 0.696 -0.468 -0.508 -0.486 -0.426 -0.426
0.0143959 0.698 -0.464 -0.507 -0.485 -0.425 -0.425
0.0155956 0.699 -0.460 -0.506 -0.484 -0.424 -0.424
0.0167953 0.702 -0.456 -0.505 -0.483 -0.423 -0.423
0.0179949 0.703 -0.452 -0.504 -0.481 -0.422 -0.422
0.0191946 0.705 -0.448 -0.502 -0.480 -0.421 -0.421
0.0203943 0.707 -0.444 -0.501 -0.479 -0.420 -0.420
0.0215939 0.709 -0.440 -0.499 -0.478 -0.418 -0.418
0.0227936 0.711 -0.436 -0.498 -0.477 -0.417 -0.417
0.0239932 0.713 -0.431 -0.496 -0.476 -0.416 -0.416
0.0251929 0.715 -0.428 -0.494 -0.474 -0.415 -0.415
0.0263926 0.718 -0.424 -0.492 -0.473 -0.414 -0.414
0.0275922 0.721 -0.420 -0.490 -0.472 -0.412 -0.412
0.0287919 0.723 -0.416 -0.488 -0.471 -0.411 -0.411
0.0299916 0.725 -0.411 -0.486 -0.469 -0.410 -0.410
0.0311912 0.728 -0.407 -0.483 -0.468 -0.409 -0.409
0.0323909 0.731 -0.403 -0.481 -0.466 -0.408 -0.408
0.0335905 0.734 -0.400 -0.478 -0.465 -0.407 -0.407
0.0347902 0.737 -0.395 -0.476 -0.464 -0.406 -0.406
0.0359899 0.740 -0.391 -0.473 -0.462 -0.405 -0.405
0.0371895 0.743 -0.387 -0.471 -0.460 -0.404 -0.404
0.0383892 0.745 -0.383 -0.468 -0.459 -0.403 -0.403
0.0395888 0.749 -0.378 -0.465 -0.458 -0.402 -0.402
0.0407885 0.752 -0.375 -0.463 -0.456 -0.400 -0.400
0.0419882 0.756 -0.371 -0.460 -0.455 -0.399 -0.399
0.0431878 0.759 -0.366 -0.458 -0.453 -0.399 -0.399
0.0443875 0.762 -0.362 -0.455 -0.451 -0.397 -0.397
0.0455872 0.766 -0.357 -0.452 -0.450 -0.396 -0.396
0.0467868 0.770 -0.354 -0.449 -0.449 -0.395 -0.395
0.0479865 0.773 -0.350 -0.446 -0.447 -0.394 -0.394
0.0491861 0.777 -0.345 -0.444 -0.445 -0.393 -0.393
0.0503858 0.781 -0.341 -0.441 -0.443 -0.392 -0.392
0.0515855 0.784 -0.336 -0.438 -0.442 -0.391 -0.391
0.0527851 0.787 -0.332 -0.436 -0.440 -0.390 -0.390
0.0539848 0.791 -0.328 -0.433 -0.439 -0.389 -0.389
0.0551845 0.794 -0.324 -0.431 -0.437 -0.388 -0.388
0.0563841 0.798 -0.320 -0.428 -0.436 -0.387 -0.387
0.0575838 0.802 -0.315 -0.426 -0.434 -0.386 -0.386
0.0587834 0.805 -0.311 -0.424 -0.433 -0.385 -0.385
0.0599831 0.809 -0.308 -0.421 -0.431 -0.384 -0.384
0.0611828 0.812 -0.303 -0.419 -0.430 -0.383 -0.383
0.0623824 0.816 -0.299 -0.417 -0.428 -0.382 -0.382
0.0635821 0.819 -0.295 -0.414 -0.426 -0.381 -0.381
0.0647817 0.823 -0.291 -0.412 -0.425 -0.381 -0.381
0.0659814 0.827 -0.287 -0.410 -0.424 -0.379 -0.379
0.0671811 0.830 -0.283 -0.408 -0.422 -0.379 -0.379
0.0683807 0.833 -0.279 -0.406 -0.420 -0.378 -0.378
0.0695804 0.837 -0.276 -0.404 -0.419 -0.377 -0.377
0.0707801 0.841 -0.272 -0.401 -0.418 -0.376 -0.376
0.0719797 0.843 -0.269 -0.400 -0.416 -0.375 -0.375
0.0731794 0.847 -0.265 -0.397 -0.415 -0.374 -0.374
0.074379 0.851 -0.261 -0.395 -0.413 -0.373 -0.373
0.0755787 0.854 -0.258 -0.394 -0.412 -0.372 -0.372
0.0767784 0.857 -0.254 -0.392 -0.410 -0.371 -0.371
0.077978 0.861 -0.250 -0.390 -0.409 -0.370 -0.370
