# IsPeriodic    : True
# Period        : 0.585401 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.601 -0.470 -0.442 -0.413 -0.381 -0.381
0.0011708 0.601 -0.470 -0.442 -0.413 -0.381 -0.381
0.0023416 0.603 -0.469 -0.442 -0.412 -0.381 -0.381
0.00351241 0.604 -0.469 -0.442 -0.412 -0.381 -0.381
0.00468321 0.606 -0.467 -0.441 -0.411 -0.381 -0.381
0.00585401 0.609 -0.465 -0.441 -0.411 -0.380 -0.380
0.00702481 0.612 -0.463 -0.440 -0.410 -0.380 -0.380
0.00819561 0.617 -0.460 -0.439 -0.409 -0.379 -0.379
0.00936642 0.621 -0.457 -0.439 -0.408 -0.378 -0.378
0.0105372 0.626 -0.454 -0.438 -0.408 -0.377 -0.377
0.011708 0.631 -0.450 -0.437 -0.407 -0.376 -0.376
0.0128788 0.636 -0.447 -0.437 -0.406 -0.374 -0.374
0.0140496 0.641 -0.443 -0.436 -0.405 -0.373 -0.373
0.0152204 0.646 -0.439 -0.435 -0.404 -0.372 -0.372
0.0163912 0.651 -0.435 -0.434 -0.403 -0.370 -0.370
0.017562 0.656 -0.431 -0.432 -0.402 -0.369 -0.369
0.0187328 0.661 -0.428 -0.431 -0.401 -0.367 -0.367
0.0199036 0.666 -0.424 -0.430 -0.400 -0.365 -0.365
0.0210744 0.670 -0.420 -0.428 -0.399 -0.363 -0.363
0.0222452 0.675 -0.417 -0.427 -0.398 -0.361 -0.361
0.023416 0.679 -0.412 -0.425 -0.397 -0.359 -0.359
0.0245868 0.685 -0.408 -0.423 -0.396 -0.357 -0.357
0.0257576 0.689 -0.405 -0.421 -0.394 -0.355 -0.355
0.0269284 0.694 -0.401 -0.420 -0.393 -0.353 -0.353
0.0280992 0.698 -0.397 -0.417 -0.392 -0.351 -0.351
0.02927 0.703 -0.393 -0.415 -0.391 -0.350 -0.350
0.0304409 0.708 -0.389 -0.413 -0.390 -0.348 -0.348
0.0316117 0.712 -0.385 -0.411 -0.389 -0.346 -0.346
0.0327825 0.718 -0.382 -0.408 -0.387 -0.345 -0.345
0.0339533 0.722 -0.377 -0.406 -0.387 -0.343 -0.343
0.0351241 0.727 -0.373 -0.403 -0.385 -0.341 -0.341
0.0362949 0.731 -0.370 -0.401 -0.384 -0.340 -0.340
0.0374657 0.736 -0.366 -0.398 -0.383 -0.338 -0.338
0.0386365 0.740 -0.361 -0.396 -0.381 -0.337 -0.337
0.0398073 0.745 -0.358 -0.393 -0.380 -0.336 -0.336
0.0409781 0.750 -0.354 -0.390 -0.379 -0.334 -0.334
0.0421489 0.754 -0.350 -0.388 -0.378 -0.333 -0.333
0.0433197 0.759 -0.346 -0.386 -0.376 -0.332 -0.332
0.0444905 0.763 -0.341 -0.383 -0.375 -0.331 -0.331
0.0456613 0.768 -0.338 -0.380 -0.373 -0.330 -0.330
0.0468321 0.772 -0.334 -0.377 -0.372 -0.328 -0.328
0.0480029 0.776 -0.329 -0.375 -0.371 -0.327 -0.327
0.0491737 0.781 -0.326 -0.372 -0.370 -0.326 -0.326
0.0503445 0.785 -0.321 -0.370 -0.368 -0.325 -0.325
0.0515153 0.790 -0.318 -0.367 -0.367 -0.324 -0.324
0.0526861 0.794 -0.313 -0.365 -0.366 -0.323 -0.323
0.0538569 0.798 -0.309 -0.362 -0.364 -0.323 -0.323
0.0550277 0.803 -0.306 -0.360 -0.363 -0.322 -0.322
0.0561985 0.807 -0.301 -0.358 -0.361 -0.321 -0.321
0.0573693 0.811 -0.297 -0.356 -0.360 -0.320 -0.320
0.0585401 0.815 -0.294 -0.353 -0.359 -0.320 -0.320
0.0597109 0.820 -0.289 -0.351 -0.357 -0.319 -0.319
0.0608817 0.823 -0.285 -0.349 -0.356 -0.319 -0.319
0.0620525 0.827 -0.282 -0.347 -0.354 -0.318 -0.318
0.0632233 0.832 -0.278 -0.345 -0.353 -0.318 -0.318
0.0643941 0.836 -0.274 -0.342 -0.352 -0.317 -0.317
0.0655649 0.839 -0.271 -0.341 -0.350 -0.316 -0.316
0.0667357 0.843 -0.267 -0.339 -0.349 -0.316 -0.316
0.0679065 0.847 -0.263 -0.336 -0.347 -0.315 -0.315
0.0690773 0.851 -0.259 -0.334 -0.346 -0.315 -0.315
0.0702481 0.855 -0.256 -0.333 -0.345 -0.314 -0.314
0.0714189 0.858 -0.253 -0.330 -0.344 -0.314 -0.314
0.0725897 0.862 -0.249 -0.328 -0.342 -0.313 -0.313
0.0737605 0.865 -0.246 -0.327 -0.341 -0.312 -0.312
0.0749313 0.869 -0.242 -0.325 -0.340 -0.312 -0.312
0.0761021 0.872 -0.239 -0.323 -0.338 -0.311 -0.311
0.0772729 0.876 -0.236 -0.321 -0.337 -0.310 -0.310
0.0784437 0.879 -0.232 -0.320 -0.335 -0.310 -0.310
0.0796145 0.883 -0.229 -0.318 -0.334 -0.309 -0.309
0.0807853 0.886 -0.225 -0.316 -0.333 -0.308 -0.308
0.0819561 0.890 -0.222 -0.314 -0.332 -0.307 -0.307
0.0831269 0.893 -0.219 -0.313 -0.330 -0.306 -0.306
0.0842977 0.896 -0.216 -0.311 -0.329 -0.306 -0.306
0.0854685 0.899 -0.213 -0.309 -0.328 -0.304 -0.304
0.0866393 0.902 -0.210 -0.308 -0.326 -0.304 -0.304
0.0878101 0.905 -0.207 -0.306 -0.325 -0.303 -0.303
0.088981 0.908 -0.204 -0.304 -0.324 -0.302 -0.302
0.0901518 0.911 -0.201 -0.302 -0.322 -0.301 -0.301
0.0913226 0.914 -0.198 -0.301 -0.321 -0.300 -0.300
0.0924934 0.917 -0.195 -0.299 -0.320 -0.299 -0.299
0.0936642 0.920 -0.192 -0.298 -0.318 -0.298 -0.298
0.094835 0.922 -0.189 -0.295 -0.317 -0.297 -0.297
0.0960058 0.926 -0.186 -0.294 -0.316 -0.296 -0.296
0.0971766 0.929 -0.183 -0.292 -0.315 -0.295 -0.295
0.0983474 0.932 -0.180 -0.291 -0.314 -0.293 -0.293
0.0995182 0.934 -0.178 -0.289 -0.312 -0.292 -0.292
0.100689 0.937 -0.175 -0.287 -0.311 -0.291 -0.291
0.10186 0.940 -0.172 -0.285 -0.310 -0.290 -0.290
0.103031 0.943 -0.169 -0.284 -0.309 -0.289 -0.289
0.104201 0.945 -0.166 -0.282 -0.307 -0.288 -0.288
0.105372 0.948 -0.163 -0.280 -0.306 -0.286 -0.286
0.106543 0.951 -0.160 -0.279 -0.305 -0.285 -0.285
0.107714 0.954 -0.157 -0.277 -0.304 -0.284 -0.284
0.108885 0.957 -0.155 -0.275 -0.302 -0.283 -0.283
0.110055 0.960 -0.152 -0.273 -0.301 -0.281 -0.281
0.111226 0.962 -0.149 -0.272 -0.300 -0.280 -0.280
0.112397 0.965 -0.146 -0.270 -0.299 -0.279 -0.279
0.113568 0.967 -0.143 -0.268 -0.297 -0.278 -0.278
0.114739 0.970 -0.140 -0.266 -0.296 -0.277 -0.277
0.115909 0.973 -0.137 -0.265 -0.295 -0.276 -0.276
0.11708 0.976 -0.134 -0.263 -0.294 -0.275 -0.275
0.118251 0.979 -0.131 -0.261 -0.292 -0.274 -0.274
