# IsPeriodic    : True
# Period        : 0.602961 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.722 -0.575 -0.603 -0.588 -0.588 -0.588
0.00120592 0.722 -0.575 -0.603 -0.588 -0.588 -0.588
0.00241184 0.723 -0.574 -0.603 -0.588 -0.588 -0.588
0.00361777 0.723 -0.573 -0.602 -0.587 -0.587 -0.587
0.00482369 0.724 -0.572 -0.602 -0.587 -0.587 -0.587
0.00602961 0.726 -0.570 -0.600 -0.586 -0.586 -0.586
0.00723553 0.727 -0.568 -0.599 -0.585 -0.584 -0.584
0.00844145 0.729 -0.565 -0.598 -0.584 -0.583 -0.583
0.00964738 0.731 -0.561 -0.596 -0.583 -0.582 -0.582
0.0108533 0.734 -0.559 -0.594 -0.581 -0.580 -0.580
0.0120592 0.736 -0.555 -0.592 -0.580 -0.578 -0.578
0.0132651 0.738 -0.551 -0.590 -0.578 -0.576 -0.576
0.0144711 0.742 -0.548 -0.588 -0.577 -0.575 -0.575
0.015677 0.744 -0.544 -0.586 -0.575 -0.573 -0.573
0.0168829 0.746 -0.540 -0.584 -0.574 -0.572 -0.572
0.0180888 0.749 -0.537 -0.582 -0.573 -0.570 -0.570
0.0192948 0.753 -0.533 -0.581 -0.572 -0.569 -0.569
0.0205007 0.755 -0.529 -0.579 -0.570 -0.567 -0.567
0.0217066 0.758 -0.526 -0.577 -0.569 -0.565 -0.565
0.0229125 0.761 -0.522 -0.575 -0.568 -0.564 -0.564
0.0241184 0.765 -0.517 -0.573 -0.566 -0.563 -0.563
0.0253244 0.768 -0.514 -0.571 -0.565 -0.561 -0.561
0.0265303 0.771 -0.509 -0.568 -0.563 -0.560 -0.560
0.0277362 0.774 -0.506 -0.566 -0.562 -0.558 -0.558
0.0289421 0.777 -0.501 -0.564 -0.561 -0.557 -0.557
0.030148 0.780 -0.496 -0.562 -0.559 -0.555 -0.555
0.031354 0.784 -0.492 -0.559 -0.558 -0.553 -0.553
0.0325599 0.787 -0.487 -0.557 -0.556 -0.552 -0.552
0.0337658 0.791 -0.483 -0.555 -0.554 -0.551 -0.551
0.0349717 0.795 -0.477 -0.552 -0.553 -0.549 -0.549
0.0361777 0.798 -0.473 -0.549 -0.551 -0.547 -0.547
0.0373836 0.802 -0.467 -0.547 -0.549 -0.546 -0.546
0.0385895 0.806 -0.462 -0.544 -0.548 -0.544 -0.544
0.0397954 0.810 -0.456 -0.542 -0.546 -0.543 -0.543
0.0410013 0.814 -0.451 -0.539 -0.544 -0.541 -0.541
0.0422073 0.818 -0.445 -0.536 -0.543 -0.540 -0.540
0.0434132 0.821 -0.440 -0.533 -0.541 -0.538 -0.538
0.0446191 0.825 -0.434 -0.530 -0.539 -0.537 -0.537
0.045825 0.830 -0.429 -0.528 -0.537 -0.535 -0.535
0.047031 0.834 -0.422 -0.525 -0.536 -0.533 -0.533
0.0482369 0.838 -0.417 -0.522 -0.534 -0.532 -0.532
0.0494428 0.843 -0.411 -0.519 -0.532 -0.530 -0.530
0.0506487 0.847 -0.405 -0.516 -0.530 -0.529 -0.529
0.0518546 0.852 -0.399 -0.514 -0.528 -0.527 -0.527
0.0530606 0.856 -0.394 -0.510 -0.526 -0.526 -0.526
0.0542665 0.860 -0.388 -0.508 -0.525 -0.524 -0.524
0.0554724 0.864 -0.383 -0.505 -0.523 -0.523 -0.523
0.0566783 0.869 -0.377 -0.502 -0.521 -0.521 -0.521
0.0578843 0.873 -0.372 -0.499 -0.520 -0.519 -0.519
0.0590902 0.878 -0.366 -0.496 -0.518 -0.518 -0.518
0.0602961 0.882 -0.361 -0.494 -0.516 -0.516 -0.516
0.061502 0.886 -0.356 -0.491 -0.514 -0.515 -0.515
0.0627079 0.890 -0.351 -0.488 -0.513 -0.514 -0.514
0.0639139 0.895 -0.346 -0.485 -0.511 -0.512 -0.512
0.0651198 0.899 -0.341 -0.483 -0.509 -0.511 -0.511
0.0663257 0.903 -0.336 -0.480 -0.508 -0.509 -0.509
0.0675316 0.907 -0.331 -0.478 -0.505 -0.507 -0.507
0.0687376 0.911 -0.327 -0.475 -0.504 -0.506 -0.506
0.0699435 0.915 -0.322 -0.473 -0.502 -0.505 -0.505
0.0711494 0.919 -0.318 -0.470 -0.501 -0.503 -0.503
0.0723553 0.923 -0.314 -0.468 -0.499 -0.502 -0.502
0.0735612 0.927 -0.309 -0.465 -0.498 -0.500 -0.500
0.0747672 0.930 -0.306 -0.462 -0.496 -0.499 -0.499
0.0759731 0.934 -0.301 -0.460 -0.494 -0.497 -0.497
0.077179 0.938 -0.298 -0.457 -0.492 -0.496 -0.496
0.0783849 0.941 -0.294 -0.455 -0.491 -0.494 -0.494
0.0795909 0.945 -0.290 -0.452 -0.489 -0.493 -0.493
0.0807968 0.949 -0.287 -0.450 -0.488 -0.492 -0.492
