# IsPeriodic    : True
# Period        : 0.607068 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.601 -0.520 -0.573 -0.485 -0.453 -0.453
0.00121414 0.601 -0.520 -0.573 -0.485 -0.453 -0.453
0.00242827 0.601 -0.519 -0.573 -0.484 -0.453 -0.453
0.00364241 0.602 -0.518 -0.572 -0.484 -0.452 -0.452
0.00485654 0.603 -0.516 -0.571 -0.483 -0.452 -0.452
0.00607068 0.604 -0.514 -0.570 -0.482 -0.452 -0.452
0.00728482 0.605 -0.512 -0.568 -0.481 -0.451 -0.451
0.00849895 0.607 -0.508 -0.567 -0.480 -0.451 -0.451
0.00971309 0.608 -0.505 -0.565 -0.479 -0.450 -0.450
0.0109272 0.611 -0.502 -0.562 -0.478 -0.450 -0.450
0.0121414 0.613 -0.498 -0.560 -0.477 -0.450 -0.450
0.0133555 0.615 -0.494 -0.558 -0.476 -0.449 -0.449
0.0145696 0.618 -0.490 -0.556 -0.474 -0.448 -0.448
0.0157838 0.621 -0.485 -0.554 -0.473 -0.447 -0.447
0.0169979 0.623 -0.481 -0.551 -0.472 -0.447 -0.447
0.018212 0.626 -0.477 -0.549 -0.470 -0.446 -0.446
0.0194262 0.629 -0.473 -0.547 -0.469 -0.445 -0.445
0.0206403 0.632 -0.469 -0.544 -0.468 -0.444 -0.444
0.0218544 0.636 -0.465 -0.542 -0.467 -0.444 -0.444
0.0230686 0.639 -0.461 -0.540 -0.465 -0.443 -0.443
0.0242827 0.642 -0.456 -0.537 -0.464 -0.442 -0.442
0.0254969 0.646 -0.451 -0.535 -0.463 -0.441 -0.441
0.026711 0.651 -0.447 -0.532 -0.461 -0.440 -0.440
0.0279251 0.655 -0.443 -0.530 -0.460 -0.439 -0.439
0.0291393 0.659 -0.439 -0.527 -0.459 -0.437 -0.437
0.0303534 0.663 -0.434 -0.524 -0.458 -0.437 -0.437
0.0315675 0.668 -0.430 -0.521 -0.456 -0.435 -0.435
0.0327817 0.673 -0.426 -0.519 -0.455 -0.434 -0.434
0.0339958 0.678 -0.422 -0.515 -0.453 -0.433 -0.433
0.0352099 0.683 -0.417 -0.512 -0.452 -0.431 -0.431
0.0364241 0.688 -0.413 -0.509 -0.450 -0.430 -0.430
0.0376382 0.694 -0.409 -0.506 -0.448 -0.429 -0.429
0.0388524 0.699 -0.405 -0.502 -0.447 -0.427 -0.427
0.0400665 0.704 -0.400 -0.499 -0.445 -0.426 -0.426
0.0412806 0.711 -0.395 -0.496 -0.443 -0.424 -0.424
0.0424948 0.717 -0.391 -0.492 -0.442 -0.423 -0.423
0.0437089 0.723 -0.386 -0.489 -0.441 -0.421 -0.421
0.044923 0.729 -0.382 -0.486 -0.439 -0.419 -0.419
0.0461372 0.735 -0.377 -0.482 -0.437 -0.418 -0.418
0.0473513 0.742 -0.373 -0.479 -0.436 -0.417 -0.417
0.0485654 0.747 -0.369 -0.475 -0.434 -0.415 -0.415
0.0497796 0.754 -0.364 -0.471 -0.432 -0.413 -0.413
0.0509937 0.760 -0.360 -0.468 -0.430 -0.412 -0.412
0.0522078 0.766 -0.355 -0.464 -0.429 -0.410 -0.410
0.053422 0.771 -0.351 -0.461 -0.427 -0.409 -0.409
0.0546361 0.777 -0.346 -0.457 -0.425 -0.407 -0.407
0.0558503 0.783 -0.342 -0.454 -0.424 -0.405 -0.405
0.0570644 0.789 -0.338 -0.451 -0.422 -0.404 -0.404
0.0582785 0.794 -0.333 -0.448 -0.421 -0.403 -0.403
0.0594927 0.799 -0.329 -0.444 -0.419 -0.401 -0.401
0.0607068 0.804 -0.325 -0.441 -0.417 -0.400 -0.400
0.0619209 0.809 -0.320 -0.438 -0.416 -0.399 -0.399
0.0631351 0.814 -0.316 -0.435 -0.414 -0.397 -0.397
0.0643492 0.819 -0.311 -0.432 -0.412 -0.396 -0.396
0.0655633 0.824 -0.307 -0.429 -0.411 -0.394 -0.394
0.0667775 0.829 -0.303 -0.426 -0.409 -0.393 -0.393
0.0679916 0.834 -0.299 -0.423 -0.407 -0.392 -0.392
0.0692058 0.838 -0.295 -0.419 -0.406 -0.390 -0.390
0.0704199 0.843 -0.291 -0.417 -0.405 -0.389 -0.389
0.071634 0.847 -0.287 -0.414 -0.403 -0.388 -0.388
0.0728482 0.852 -0.284 -0.411 -0.402 -0.386 -0.386
0.0740623 0.856 -0.279 -0.408 -0.400 -0.385 -0.385
0.0752764 0.861 -0.275 -0.406 -0.398 -0.384 -0.384
0.0764906 0.865 -0.272 -0.403 -0.397 -0.383 -0.383
0.0777047 0.869 -0.268 -0.400 -0.395 -0.382 -0.382
0.0789188 0.873 -0.264 -0.398 -0.394 -0.380 -0.380
0.080133 0.876 -0.260 -0.395 -0.392 -0.379 -0.379
0.0813471 0.880 -0.256 -0.393 -0.391 -0.378 -0.378
0.0825612 0.884 -0.253 -0.390 -0.389 -0.377 -0.377
0.0837754 0.888 -0.249 -0.388 -0.388 -0.376 -0.376
0.0849895 0.891 -0.246 -0.385 -0.387 -0.375 -0.375
0.0862037 0.894 -0.242 -0.383 -0.385 -0.374 -0.374
0.0874178 0.898 -0.239 -0.381 -0.384 -0.373 -0.373
0.0886319 0.901 -0.235 -0.378 -0.382 -0.372 -0.372
0.0898461 0.904 -0.232 -0.376 -0.381 -0.371 -0.371
0.0910602 0.908 -0.228 -0.374 -0.379 -0.369 -0.369
0.0922743 0.911 -0.225 -0.371 -0.378 -0.368 -0.368
