# IsPeriodic    : True
# Period        : 0.500316 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.289 -0.968 -0.803 -0.621 -0.511 -0.511
0.00100063 0.289 -0.968 -0.803 -0.621 -0.511 -0.511
0.00200126 0.289 -0.968 -0.803 -0.621 -0.510 -0.510
0.0030019 0.290 -0.966 -0.802 -0.620 -0.509 -0.509
0.00400253 0.292 -0.965 -0.801 -0.620 -0.509 -0.509
0.00500316 0.293 -0.963 -0.799 -0.619 -0.507 -0.507
0.00600379 0.295 -0.962 -0.796 -0.618 -0.506 -0.506
0.00700442 0.297 -0.960 -0.794 -0.616 -0.504 -0.504
0.00800506 0.300 -0.957 -0.792 -0.614 -0.502 -0.502
0.00900569 0.303 -0.954 -0.789 -0.612 -0.501 -0.501
0.0100063 0.306 -0.951 -0.786 -0.611 -0.498 -0.498
0.011007 0.310 -0.948 -0.784 -0.609 -0.496 -0.496
0.0120076 0.314 -0.944 -0.780 -0.606 -0.494 -0.494
0.0130082 0.320 -0.941 -0.777 -0.604 -0.492 -0.492
0.0140088 0.324 -0.936 -0.773 -0.601 -0.489 -0.489
0.0150095 0.329 -0.931 -0.770 -0.599 -0.486 -0.486
0.0160101 0.336 -0.926 -0.765 -0.596 -0.484 -0.484
0.0170107 0.342 -0.920 -0.762 -0.593 -0.482 -0.482
0.0180114 0.349 -0.914 -0.757 -0.591 -0.480 -0.480
0.019012 0.356 -0.908 -0.753 -0.587 -0.477 -0.477
0.0200126 0.364 -0.902 -0.749 -0.584 -0.475 -0.475
0.0210133 0.371 -0.895 -0.744 -0.581 -0.472 -0.472
0.0220139 0.379 -0.888 -0.739 -0.577 -0.469 -0.469
0.0230145 0.387 -0.880 -0.734 -0.573 -0.467 -0.467
0.0240152 0.396 -0.873 -0.729 -0.570 -0.464 -0.464
0.0250158 0.405 -0.864 -0.723 -0.566 -0.461 -0.461
0.0260164 0.414 -0.855 -0.717 -0.561 -0.457 -0.457
0.0270171 0.423 -0.846 -0.711 -0.557 -0.454 -0.454
0.0280177 0.432 -0.836 -0.704 -0.552 -0.450 -0.450
0.0290183 0.441 -0.827 -0.699 -0.548 -0.447 -0.447
0.030019 0.450 -0.817 -0.692 -0.543 -0.444 -0.444
0.0310196 0.460 -0.806 -0.685 -0.538 -0.440 -0.440
0.0320202 0.468 -0.796 -0.678 -0.533 -0.436 -0.436
0.0330209 0.478 -0.785 -0.671 -0.528 -0.433 -0.433
0.0340215 0.486 -0.774 -0.664 -0.522 -0.429 -0.429
0.0350221 0.494 -0.763 -0.656 -0.517 -0.425 -0.425
0.0360228 0.502 -0.751 -0.649 -0.511 -0.421 -0.421
0.0370234 0.511 -0.741 -0.641 -0.506 -0.417 -0.417
0.038024 0.519 -0.729 -0.635 -0.501 -0.413 -0.413
0.0390246 0.526 -0.717 -0.626 -0.495 -0.409 -0.409
0.0400253 0.534 -0.707 -0.620 -0.490 -0.405 -0.405
0.0410259 0.541 -0.695 -0.612 -0.484 -0.401 -0.401
0.0420265 0.550 -0.685 -0.604 -0.479 -0.397 -0.397
0.0430272 0.557 -0.674 -0.597 -0.473 -0.393 -0.393
0.0440278 0.563 -0.664 -0.590 -0.468 -0.390 -0.390
0.0450284 0.570 -0.654 -0.583 -0.462 -0.386 -0.386
0.0460291 0.579 -0.645 -0.576 -0.458 -0.382 -0.382
0.0470297 0.586 -0.634 -0.569 -0.452 -0.379 -0.379
0.0480303 0.593 -0.626 -0.562 -0.448 -0.375 -0.375
0.049031 0.599 -0.617 -0.555 -0.443 -0.371 -0.371
0.0500316 0.606 -0.608 -0.548 -0.438 -0.368 -0.368
0.0510322 0.613 -0.599 -0.543 -0.433 -0.364 -0.364
0.0520329 0.619 -0.590 -0.536 -0.429 -0.362 -0.362
0.0530335 0.626 -0.581 -0.530 -0.425 -0.358 -0.358
0.0540341 0.633 -0.574 -0.524 -0.421 -0.355 -0.355
0.0550348 0.638 -0.565 -0.517 -0.416 -0.351 -0.351
0.0560354 0.644 -0.557 -0.512 -0.412 -0.348 -0.348
0.057036 0.651 -0.550 -0.506 -0.408 -0.345 -0.345
0.0580367 0.656 -0.541 -0.500 -0.403 -0.342 -0.342
0.0590373 0.662 -0.534 -0.495 -0.400 -0.339 -0.339
0.0600379 0.667 -0.526 -0.489 -0.395 -0.336 -0.336
0.0610386 0.673 -0.519 -0.483 -0.392 -0.333 -0.333
0.0620392 0.678 -0.513 -0.477 -0.388 -0.330 -0.330
0.0630398 0.684 -0.506 -0.473 -0.384 -0.328 -0.328
0.0640404 0.690 -0.500 -0.467 -0.381 -0.325 -0.325
0.0650411 0.695 -0.494 -0.462 -0.377 -0.322 -0.322
0.0660417 0.701 -0.488 -0.458 -0.374 -0.319 -0.319
0.0670423 0.706 -0.482 -0.453 -0.371 -0.317 -0.317
0.068043 0.713 -0.476 -0.447 -0.367 -0.315 -0.315
0.0690436 0.719 -0.470 -0.443 -0.364 -0.312 -0.312
0.0700442 0.724 -0.466 -0.438 -0.362 -0.310 -0.310
0.0710449 0.730 -0.460 -0.435 -0.358 -0.308 -0.308
0.0720455 0.735 -0.454 -0.430 -0.355 -0.305 -0.305
0.0730461 0.741 -0.449 -0.426 -0.352 -0.303 -0.303
0.0740468 0.746 -0.444 -0.421 -0.350 -0.301 -0.301
0.0750474 0.752 -0.439 -0.417 -0.346 -0.299 -0.299
0.076048 0.757 -0.433 -0.413 -0.343 -0.296 -0.296
0.0770487 0.763 -0.429 -0.408 -0.341 -0.294 -0.294
0.0780493 0.769 -0.423 -0.404 -0.338 -0.292 -0.292
0.0790499 0.774 -0.417 -0.400 -0.335 -0.290 -0.290
0.0800506 0.780 -0.412 -0.396 -0.332 -0.288 -0.288
0.0810512 0.785 -0.407 -0.391 -0.330 -0.285 -0.285
0.0820518 0.791 -0.401 -0.388 -0.327 -0.283 -0.283
0.0830525 0.796 -0.396 -0.383 -0.324 -0.281 -0.281
0.0840531 0.803 -0.390 -0.380 -0.322 -0.279 -0.279
0.0850537 0.809 -0.384 -0.375 -0.319 -0.277 -0.277
0.0860544 0.814 -0.378 -0.371 -0.316 -0.274 -0.274
0.087055 0.820 -0.372 -0.367 -0.313 -0.272 -0.272
0.0880556 0.825 -0.368 -0.363 -0.311 -0.270 -0.270
0.0890562 0.831 -0.362 -0.359 -0.308 -0.268 -0.268
0.0900569 0.836 -0.356 -0.355 -0.305 -0.265 -0.265
0.0910575 0.842 -0.350 -0.350 -0.303 -0.263 -0.263
0.0920581 0.848 -0.344 -0.347 -0.300 -0.261 -0.261
0.0930588 0.853 -0.338 -0.342 -0.297 -0.259 -0.259
0.0940594 0.860 -0.332 -0.338 -0.295 -0.257 -0.257
0.09506 0.866 -0.327 -0.334 -0.293 -0.254 -0.254
0.0960607 0.871 -0.321 -0.330 -0.290 -0.253 -0.253
0.0970613 0.877 -0.315 -0.326 -0.287 -0.251 -0.251
0.0980619 0.882 -0.309 -0.322 -0.284 -0.248 -0.248
0.0990626 0.888 -0.303 -0.319 -0.282 -0.246 -0.246
0.100063 0.893 -0.297 -0.314 -0.279 -0.244 -0.244
0.101064 0.899 -0.291 -0.311 -0.277 -0.242 -0.242
0.102064 0.904 -0.285 -0.306 -0.274 -0.240 -0.240
0.103065 0.910 -0.279 -0.303 -0.272 -0.237 -0.237
0.104066 0.915 -0.273 -0.299 -0.269 -0.235 -0.235
0.105066 0.921 -0.267 -0.295 -0.266 -0.233 -0.233
0.106067 0.926 -0.261 -0.291 -0.264 -0.231 -0.231
0.107068 0.932 -0.254 -0.287 -0.262 -0.228 -0.228
0.108068 0.938 -0.248 -0.283 -0.259 -0.226 -0.226
0.109069 0.942 -0.242 -0.280 -0.256 -0.224 -0.224
0.11007 0.947 -0.236 -0.275 -0.253 -0.222 -0.222
0.11107 0.953 -0.230 -0.272 -0.252 -0.220 -0.220
0.112071 0.958 -0.224 -0.269 -0.249 -0.217 -0.217
0.113071 0.963 -0.219 -0.265 -0.246 -0.215 -0.215
0.114072 0.968 -0.213 -0.260 -0.244 -0.214 -0.214
0.115073 0.974 -0.207 -0.257 -0.242 -0.211 -0.211
0.116073 0.978 -0.201 -0.254 -0.239 -0.209 -0.209
0.117074 0.983 -0.195 -0.250 -0.237 -0.207 -0.207
0.118075 0.989 -0.189 -0.247 -0.234 -0.205 -0.205
0.119075 0.993 -0.184 -0.243 -0.232 -0.203 -0.203
0.120076 0.999 -0.179 -0.240 -0.230 -0.201 -0.201
0.121076 1.003 -0.173 -0.235 -0.227 -0.199 -0.199
0.122077 1.008 -0.168 -0.232 -0.224 -0.197 -0.197
0.123078 1.012 -0.162 -0.228 -0.223 -0.194 -0.194
0.124078 1.018 -0.156 -0.225 -0.220 -0.193 -0.193
0.125079 1.022 -0.152 -0.221 -0.218 -0.191 -0.191
0.12608 1.026 -0.146 -0.218 -0.215 -0.189 -0.189
0.12708 1.032 -0.142 -0.215 -0.213 -0.187 -0.187
0.128081 1.036 -0.136 -0.212 -0.211 -0.185 -0.185
0.129082 1.040 -0.131 -0.209 -0.208 -0.183 -0.183
0.130082 1.046 -0.125 -0.205 -0.206 -0.181 -0.181
0.131083 1.050 -0.121 -0.202 -0.203 -0.179 -0.179
0.132083 1.054 -0.115 -0.199 -0.202 -0.177 -0.177
0.133084 1.058 -0.110 -0.195 -0.199 -0.175 -0.175
0.134085 1.064 -0.106 -0.192 -0.197 -0.174 -0.174
0.135085 1.068 -0.102 -0.189 -0.194 -0.172 -0.172
0.136086 1.072 -0.096 -0.186 -0.193 -0.170 -0.170
0.137087 1.076 -0.091 -0.182 -0.191 -0.168 -0.168
0.138087 1.082 -0.087 -0.179 -0.188 -0.166 -0.166
0.139088 1.086 -0.082 -0.177 -0.186 -0.164 -0.164
0.140088 1.090 -0.078 -0.173 -0.183 -0.163 -0.163
0.141089 1.094 -0.073 -0.170 -0.182 -0.160 -0.160
0.14209 1.098 -0.069 -0.168 -0.179 -0.159 -0.159
0.14309 1.104 -0.065 -0.164 -0.177 -0.157 -0.157
0.144091 1.108 -0.060 -0.161 -0.175 -0.155 -0.155
0.145092 1.112 -0.056 -0.158 -0.173 -0.154 -0.154
0.146092 1.116 -0.051 -0.155 -0.171 -0.152 -0.152
0.147093 1.120 -0.045 -0.153 -0.168 -0.150 -0.150
0.148094 1.126 -0.041 -0.149 -0.166 -0.149 -0.149
0.149094 1.130 -0.036 -0.147 -0.164 -0.146 -0.146
0.150095 1.134 -0.032 -0.143 -0.162 -0.145 -0.145
0.151095 1.138 -0.028 -0.140 -0.160 -0.143 -0.143
0.152096 1.143 -0.023 -0.138 -0.157 -0.141 -0.141
0.153097 1.148 -0.019 -0.134 -0.155 -0.140 -0.140
0.154097 1.152 -0.014 -0.132 -0.154 -0.138 -0.138
0.155098 1.157 -0.010 -0.129 -0.151 -0.136 -0.136
0.156099 1.161 -0.005 -0.126 -0.149 -0.135 -0.135
0.157099 1.165 -0.001 -0.123 -0.146 -0.133 -0.133
0.1581 1.169 0.004 -0.119 -0.144 -0.131 -0.131
0.1591 1.175 0.008 -0.117 -0.142 -0.129 -0.129
0.160101 1.179 0.012 -0.114 -0.140 -0.128 -0.128
0.161102 1.183 0.017 -0.111 -0.137 -0.126 -0.126
0.162102 1.187 0.021 -0.108 -0.135 -0.124 -0.124
0.163103 1.191 0.026 -0.104 -0.133 -0.123 -0.123
