# IsPeriodic    : True
# Period        : 0.610574 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.387 -0.831 -0.696 -0.617 -0.530 -0.530
0.00122115 0.387 -0.831 -0.696 -0.617 -0.530 -0.530
0.0024423 0.387 -0.830 -0.695 -0.617 -0.529 -0.529
0.00366344 0.388 -0.827 -0.694 -0.616 -0.529 -0.529
0.00488459 0.389 -0.823 -0.693 -0.615 -0.528 -0.528
0.00610574 0.391 -0.819 -0.691 -0.613 -0.527 -0.527
0.00732689 0.392 -0.814 -0.689 -0.612 -0.526 -0.526
0.00854804 0.394 -0.809 -0.686 -0.610 -0.525 -0.525
0.00976918 0.397 -0.804 -0.683 -0.608 -0.523 -0.523
0.0109903 0.399 -0.798 -0.680 -0.606 -0.522 -0.522
0.0122115 0.401 -0.791 -0.677 -0.603 -0.520 -0.520
0.0134326 0.405 -0.785 -0.673 -0.601 -0.519 -0.519
0.0146538 0.409 -0.778 -0.671 -0.598 -0.517 -0.517
0.0158749 0.413 -0.772 -0.667 -0.596 -0.515 -0.515
0.0170961 0.417 -0.767 -0.663 -0.593 -0.514 -0.514
0.0183172 0.422 -0.760 -0.661 -0.590 -0.512 -0.512
0.0195384 0.428 -0.754 -0.657 -0.588 -0.510 -0.510
0.0207595 0.433 -0.747 -0.653 -0.586 -0.508 -0.508
0.0219807 0.439 -0.742 -0.651 -0.583 -0.507 -0.507
0.0232018 0.445 -0.736 -0.647 -0.580 -0.505 -0.505
0.024423 0.452 -0.729 -0.643 -0.577 -0.503 -0.503
0.0256441 0.458 -0.723 -0.640 -0.574 -0.500 -0.500
0.0268653 0.465 -0.718 -0.636 -0.571 -0.498 -0.498
0.0280864 0.472 -0.711 -0.632 -0.568 -0.496 -0.496
0.0293076 0.479 -0.705 -0.628 -0.565 -0.494 -0.494
0.0305287 0.488 -0.697 -0.624 -0.562 -0.492 -0.492
0.0317498 0.495 -0.691 -0.619 -0.558 -0.489 -0.489
0.032971 0.503 -0.684 -0.616 -0.555 -0.487 -0.487
0.0341921 0.511 -0.678 -0.611 -0.551 -0.484 -0.484
0.0354133 0.519 -0.670 -0.607 -0.547 -0.481 -0.481
0.0366344 0.526 -0.664 -0.602 -0.543 -0.478 -0.478
0.0378556 0.535 -0.656 -0.598 -0.539 -0.475 -0.475
0.0390767 0.542 -0.648 -0.592 -0.535 -0.473 -0.473
0.0402979 0.550 -0.642 -0.588 -0.532 -0.470 -0.470
0.041519 0.557 -0.634 -0.583 -0.527 -0.466 -0.466
0.0427402 0.565 -0.626 -0.577 -0.523 -0.464 -0.464
0.0439613 0.572 -0.619 -0.572 -0.518 -0.460 -0.460
0.0451825 0.579 -0.612 -0.567 -0.515 -0.457 -0.457
0.0464036 0.586 -0.604 -0.562 -0.510 -0.454 -0.454
0.0476248 0.592 -0.597 -0.557 -0.505 -0.451 -0.451
0.0488459 0.599 -0.589 -0.552 -0.501 -0.448 -0.448
0.0500671 0.605 -0.583 -0.546 -0.497 -0.445 -0.445
0.0512882 0.613 -0.575 -0.542 -0.493 -0.441 -0.441
0.0525094 0.619 -0.567 -0.536 -0.488 -0.439 -0.439
0.0537305 0.625 -0.559 -0.532 -0.484 -0.435 -0.435
0.0549517 0.631 -0.553 -0.526 -0.481 -0.433 -0.433
0.0561728 0.638 -0.545 -0.522 -0.477 -0.429 -0.429
0.057394 0.644 -0.538 -0.516 -0.473 -0.427 -0.427
0.0586151 0.650 -0.531 -0.512 -0.469 -0.424 -0.424
0.0598363 0.656 -0.523 -0.507 -0.465 -0.422 -0.422
0.0610574 0.662 -0.516 -0.503 -0.462 -0.419 -0.419
0.0622785 0.668 -0.509 -0.498 -0.458 -0.416 -0.416
0.0634997 0.673 -0.503 -0.493 -0.455 -0.414 -0.414
0.0647208 0.679 -0.495 -0.489 -0.451 -0.411 -0.411
0.065942 0.685 -0.489 -0.484 -0.448 -0.408 -0.408
0.0671631 0.689 -0.482 -0.480 -0.445 -0.406 -0.406
0.0683843 0.694 -0.474 -0.475 -0.441 -0.404 -0.404
0.0696054 0.700 -0.468 -0.471 -0.438 -0.401 -0.401
0.0708266 0.705 -0.462 -0.467 -0.435 -0.399 -0.399
0.0720477 0.710 -0.455 -0.462 -0.433 -0.397 -0.397
0.0732689 0.715 -0.450 -0.459 -0.430 -0.395 -0.395
0.07449 0.719 -0.444 -0.454 -0.426 -0.393 -0.393
0.0757112 0.724 -0.437 -0.451 -0.424 -0.391 -0.391
0.0769323 0.729 -0.431 -0.447 -0.421 -0.388 -0.388
0.0781535 0.734 -0.424 -0.442 -0.419 -0.386 -0.386
0.0793746 0.739 -0.419 -0.439 -0.416 -0.384 -0.384
0.0805958 0.743 -0.413 -0.435 -0.414 -0.383 -0.383
0.0818169 0.748 -0.408 -0.431 -0.412 -0.381 -0.381
0.0830381 0.754 -0.401 -0.428 -0.409 -0.379 -0.379
