# IsPeriodic    : True
# Period        : 0.595182 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.647 -0.521 -0.473 -0.417 -0.398 -0.398
0.00119036 0.647 -0.521 -0.473 -0.417 -0.398 -0.398
0.00238073 0.648 -0.520 -0.473 -0.417 -0.398 -0.398
0.00357109 0.649 -0.519 -0.473 -0.417 -0.398 -0.398
0.00476146 0.650 -0.518 -0.472 -0.416 -0.397 -0.397
0.00595182 0.651 -0.517 -0.471 -0.416 -0.396 -0.396
0.00714218 0.652 -0.517 -0.471 -0.415 -0.396 -0.396
0.00833255 0.654 -0.515 -0.470 -0.413 -0.395 -0.395
0.00952291 0.656 -0.513 -0.469 -0.412 -0.394 -0.394
0.0107133 0.658 -0.512 -0.468 -0.411 -0.393 -0.393
0.0119036 0.660 -0.510 -0.466 -0.409 -0.392 -0.392
0.013094 0.663 -0.508 -0.465 -0.407 -0.391 -0.391
0.0142844 0.666 -0.506 -0.463 -0.405 -0.390 -0.390
0.0154747 0.668 -0.503 -0.462 -0.403 -0.389 -0.389
0.0166651 0.670 -0.501 -0.460 -0.402 -0.388 -0.388
0.0178555 0.673 -0.498 -0.458 -0.400 -0.387 -0.387
0.0190458 0.676 -0.495 -0.456 -0.398 -0.385 -0.385
0.0202362 0.678 -0.492 -0.454 -0.396 -0.384 -0.384
0.0214266 0.681 -0.488 -0.451 -0.394 -0.383 -0.383
0.0226169 0.684 -0.485 -0.448 -0.392 -0.382 -0.382
0.0238073 0.687 -0.481 -0.446 -0.390 -0.381 -0.381
0.0249976 0.689 -0.477 -0.442 -0.388 -0.379 -0.379
0.026188 0.692 -0.473 -0.439 -0.386 -0.378 -0.378
0.0273784 0.695 -0.468 -0.436 -0.384 -0.376 -0.376
0.0285687 0.698 -0.463 -0.433 -0.382 -0.375 -0.375
0.0297591 0.701 -0.458 -0.430 -0.380 -0.373 -0.373
0.0309495 0.704 -0.453 -0.426 -0.378 -0.371 -0.371
0.0321398 0.708 -0.448 -0.422 -0.376 -0.370 -0.370
0.0333302 0.711 -0.442 -0.418 -0.375 -0.368 -0.368
0.0345206 0.714 -0.437 -0.415 -0.373 -0.366 -0.366
0.0357109 0.717 -0.431 -0.411 -0.371 -0.364 -0.364
0.0369013 0.721 -0.425 -0.407 -0.369 -0.362 -0.362
0.0380916 0.724 -0.420 -0.404 -0.367 -0.361 -0.361
0.039282 0.728 -0.414 -0.400 -0.365 -0.358 -0.358
0.0404724 0.732 -0.409 -0.396 -0.363 -0.356 -0.356
0.0416627 0.735 -0.403 -0.393 -0.362 -0.355 -0.355
0.0428531 0.739 -0.397 -0.390 -0.360 -0.352 -0.352
0.0440435 0.743 -0.392 -0.386 -0.358 -0.350 -0.350
0.0452338 0.747 -0.386 -0.383 -0.356 -0.348 -0.348
0.0464242 0.751 -0.381 -0.380 -0.355 -0.346 -0.346
0.0476146 0.754 -0.376 -0.377 -0.353 -0.344 -0.344
0.0488049 0.758 -0.371 -0.373 -0.351 -0.342 -0.342
0.0499953 0.762 -0.366 -0.370 -0.349 -0.340 -0.340
0.0511857 0.766 -0.361 -0.367 -0.347 -0.338 -0.338
0.052376 0.770 -0.357 -0.364 -0.346 -0.336 -0.336
0.0535664 0.774 -0.352 -0.361 -0.344 -0.334 -0.334
0.0547567 0.778 -0.347 -0.358 -0.343 -0.332 -0.332
0.0559471 0.782 -0.342 -0.355 -0.341 -0.330 -0.330
0.0571375 0.786 -0.337 -0.352 -0.339 -0.329 -0.329
0.0583278 0.790 -0.333 -0.349 -0.337 -0.327 -0.327
0.0595182 0.794 -0.328 -0.346 -0.336 -0.325 -0.325
0.0607086 0.798 -0.324 -0.343 -0.334 -0.323 -0.323
0.0618989 0.802 -0.320 -0.341 -0.332 -0.322 -0.322
0.0630893 0.806 -0.316 -0.338 -0.331 -0.320 -0.320
0.0642797 0.810 -0.312 -0.336 -0.329 -0.318 -0.318
0.06547 0.814 -0.308 -0.333 -0.328 -0.317 -0.317
0.0666604 0.817 -0.304 -0.330 -0.326 -0.315 -0.315
