# IsPeriodic    : True
# Period        : 0.659162 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.705 -0.408 -0.421 -0.439 -0.412 -0.412
0.00131832 0.705 -0.408 -0.421 -0.439 -0.412 -0.412
0.00263665 0.705 -0.408 -0.421 -0.439 -0.412 -0.412
0.00395497 0.706 -0.407 -0.421 -0.439 -0.411 -0.411
0.0052733 0.706 -0.407 -0.421 -0.439 -0.411 -0.411
0.00659162 0.708 -0.406 -0.421 -0.439 -0.410 -0.410
0.00790994 0.709 -0.405 -0.420 -0.438 -0.409 -0.409
0.00922827 0.711 -0.404 -0.420 -0.438 -0.409 -0.409
0.0105466 0.712 -0.402 -0.419 -0.438 -0.408 -0.408
0.0118649 0.714 -0.401 -0.419 -0.437 -0.407 -0.407
0.0131832 0.716 -0.400 -0.418 -0.437 -0.406 -0.406
0.0145016 0.718 -0.398 -0.418 -0.436 -0.405 -0.405
0.0158199 0.720 -0.397 -0.417 -0.436 -0.404 -0.404
0.0171382 0.722 -0.395 -0.416 -0.435 -0.403 -0.403
0.0184565 0.724 -0.394 -0.416 -0.435 -0.401 -0.401
0.0197749 0.727 -0.392 -0.415 -0.434 -0.400 -0.400
0.0210932 0.729 -0.390 -0.414 -0.433 -0.399 -0.399
0.0224115 0.731 -0.388 -0.413 -0.432 -0.398 -0.398
0.0237298 0.734 -0.385 -0.412 -0.431 -0.397 -0.397
0.0250482 0.736 -0.383 -0.411 -0.431 -0.396 -0.396
0.0263665 0.739 -0.381 -0.410 -0.429 -0.394 -0.394
0.0276848 0.741 -0.379 -0.409 -0.429 -0.393 -0.393
0.0290031 0.744 -0.376 -0.407 -0.427 -0.392 -0.392
0.0303215 0.746 -0.373 -0.406 -0.426 -0.391 -0.391
0.0316398 0.749 -0.371 -0.405 -0.425 -0.390 -0.390
0.0329581 0.753 -0.368 -0.404 -0.424 -0.389 -0.389
0.0342764 0.755 -0.366 -0.402 -0.423 -0.388 -0.388
0.0355947 0.758 -0.362 -0.400 -0.421 -0.386 -0.386
0.0369131 0.762 -0.360 -0.399 -0.420 -0.385 -0.385
0.0382314 0.765 -0.356 -0.397 -0.419 -0.384 -0.384
0.0395497 0.768 -0.353 -0.396 -0.417 -0.383 -0.383
0.040868 0.771 -0.350 -0.394 -0.415 -0.382 -0.382
0.0421864 0.775 -0.347 -0.392 -0.414 -0.381 -0.381
0.0435047 0.779 -0.343 -0.390 -0.413 -0.380 -0.380
0.044823 0.782 -0.339 -0.388 -0.411 -0.379 -0.379
0.0461413 0.786 -0.336 -0.386 -0.409 -0.378 -0.378
0.0474597 0.790 -0.332 -0.384 -0.408 -0.377 -0.377
0.048778 0.794 -0.328 -0.382 -0.406 -0.376 -0.376
0.0500963 0.797 -0.324 -0.380 -0.404 -0.375 -0.375
0.0514146 0.801 -0.320 -0.378 -0.402 -0.374 -0.374
0.052733 0.806 -0.316 -0.376 -0.401 -0.373 -0.373
0.0540513 0.810 -0.312 -0.374 -0.399 -0.372 -0.372
0.0553696 0.813 -0.308 -0.372 -0.398 -0.371 -0.371
0.0566879 0.817 -0.304 -0.369 -0.396 -0.370 -0.370
0.0580063 0.821 -0.300 -0.368 -0.394 -0.369 -0.369
0.0593246 0.826 -0.296 -0.366 -0.393 -0.368 -0.368
0.0606429 0.829 -0.291 -0.363 -0.391 -0.367 -0.367
0.0619612 0.833 -0.287 -0.362 -0.390 -0.366 -0.366
0.0632796 0.837 -0.284 -0.360 -0.388 -0.365 -0.365
0.0645979 0.841 -0.280 -0.358 -0.387 -0.364 -0.364
