# IsPeriodic    : True
# Period        : 0.594217 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.712 -0.484 -0.504 -0.468 -0.450 -0.450
0.00118843 0.712 -0.483 -0.504 -0.468 -0.450 -0.450
0.00237687 0.712 -0.482 -0.504 -0.467 -0.450 -0.450
0.0035653 0.714 -0.481 -0.504 -0.467 -0.449 -0.449
0.00475374 0.715 -0.480 -0.503 -0.466 -0.449 -0.449
0.00594217 0.718 -0.478 -0.503 -0.465 -0.448 -0.448
0.0071306 0.721 -0.476 -0.502 -0.465 -0.448 -0.448
0.00831904 0.723 -0.474 -0.502 -0.464 -0.447 -0.447
0.00950747 0.726 -0.472 -0.501 -0.462 -0.446 -0.446
0.0106959 0.730 -0.468 -0.500 -0.461 -0.446 -0.446
0.0118843 0.734 -0.466 -0.499 -0.460 -0.445 -0.445
0.0130728 0.738 -0.463 -0.498 -0.459 -0.444 -0.444
0.0142612 0.741 -0.460 -0.497 -0.457 -0.443 -0.443
0.0154496 0.745 -0.457 -0.496 -0.456 -0.442 -0.442
0.0166381 0.749 -0.454 -0.495 -0.455 -0.441 -0.441
0.0178265 0.752 -0.451 -0.493 -0.453 -0.440 -0.440
0.0190149 0.756 -0.449 -0.492 -0.452 -0.439 -0.439
0.0202034 0.759 -0.445 -0.490 -0.450 -0.438 -0.438
0.0213918 0.763 -0.442 -0.489 -0.449 -0.437 -0.437
0.0225802 0.766 -0.440 -0.487 -0.448 -0.436 -0.436
0.0237687 0.770 -0.437 -0.485 -0.446 -0.435 -0.435
0.0249571 0.773 -0.433 -0.483 -0.445 -0.433 -0.433
0.0261455 0.776 -0.431 -0.481 -0.444 -0.432 -0.432
0.027334 0.780 -0.428 -0.478 -0.442 -0.431 -0.431
0.0285224 0.784 -0.424 -0.476 -0.441 -0.429 -0.429
0.0297109 0.787 -0.421 -0.474 -0.440 -0.428 -0.428
0.0308993 0.791 -0.418 -0.471 -0.438 -0.427 -0.427
0.0320877 0.795 -0.414 -0.469 -0.436 -0.425 -0.425
0.0332762 0.799 -0.410 -0.466 -0.435 -0.424 -0.424
0.0344646 0.802 -0.407 -0.463 -0.434 -0.422 -0.422
0.035653 0.806 -0.403 -0.460 -0.432 -0.420 -0.420
0.0368415 0.810 -0.399 -0.457 -0.431 -0.419 -0.419
0.0380299 0.814 -0.395 -0.454 -0.429 -0.417 -0.417
0.0392183 0.818 -0.391 -0.451 -0.427 -0.416 -0.416
0.0404068 0.822 -0.388 -0.447 -0.426 -0.414 -0.414
0.0415952 0.825 -0.384 -0.444 -0.424 -0.412 -0.412
0.0427836 0.829 -0.380 -0.441 -0.422 -0.410 -0.410
0.0439721 0.833 -0.376 -0.438 -0.421 -0.408 -0.408
0.0451605 0.837 -0.371 -0.434 -0.419 -0.406 -0.406
0.0463489 0.841 -0.367 -0.431 -0.417 -0.405 -0.405
0.0475374 0.845 -0.363 -0.427 -0.416 -0.403 -0.403
0.0487258 0.849 -0.359 -0.424 -0.414 -0.401 -0.401
0.0499142 0.853 -0.355 -0.420 -0.412 -0.399 -0.399
0.0511027 0.856 -0.351 -0.417 -0.411 -0.398 -0.398
0.0522911 0.860 -0.348 -0.414 -0.409 -0.396 -0.396
0.0534795 0.865 -0.344 -0.411 -0.407 -0.394 -0.394
0.054668 0.868 -0.340 -0.408 -0.406 -0.393 -0.393
0.0558564 0.872 -0.335 -0.405 -0.404 -0.391 -0.391
0.0570448 0.876 -0.331 -0.402 -0.403 -0.389 -0.389
0.0582333 0.880 -0.327 -0.399 -0.401 -0.388 -0.388
0.0594217 0.883 -0.323 -0.397 -0.399 -0.386 -0.386
0.0606101 0.888 -0.319 -0.394 -0.398 -0.385 -0.385
