# IsPeriodic    : True
# Period        : 0.487099 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.182  0.715 -0.384 -0.372 -0.312 -0.251 -0.251
 0.184  0.720 -0.377 -0.368 -0.309 -0.248 -0.248
 0.186  0.727 -0.370 -0.363 -0.306 -0.246 -0.246
 0.188  0.734 -0.364 -0.359 -0.302 -0.243 -0.243
 0.190  0.741 -0.357 -0.354 -0.299 -0.240 -0.240
 0.192  0.746 -0.350 -0.350 -0.296 -0.238 -0.238
 0.194  0.753 -0.344 -0.345 -0.293 -0.236 -0.236
 0.196  0.760 -0.337 -0.341 -0.290 -0.233 -0.233
 0.198  0.767 -0.331 -0.337 -0.287 -0.230 -0.230
 0.200  0.772 -0.324 -0.332 -0.284 -0.227 -0.227
 0.202  0.779 -0.317 -0.328 -0.281 -0.225 -0.225
 0.204  0.786 -0.311 -0.323 -0.278 -0.222 -0.222
 0.206  0.793 -0.304 -0.320 -0.275 -0.219 -0.219
 0.208  0.799 -0.298 -0.316 -0.272 -0.216 -0.216
 0.210  0.805 -0.291 -0.311 -0.269 -0.214 -0.214
 0.212  0.812 -0.284 -0.307 -0.267 -0.211 -0.211
 0.214  0.818 -0.279 -0.302 -0.264 -0.208 -0.208
 0.216  0.825 -0.273 -0.298 -0.261 -0.206 -0.206
 0.218  0.832 -0.266 -0.294 -0.258 -0.203 -0.203
 0.220  0.839 -0.259 -0.289 -0.255 -0.200 -0.200
 0.222  0.846 -0.253 -0.285 -0.253 -0.197 -0.197
 0.224  0.851 -0.246 -0.281 -0.250 -0.195 -0.195
 0.226  0.858 -0.240 -0.278 -0.247 -0.192 -0.192
 0.228  0.865 -0.233 -0.273 -0.245 -0.190 -0.190
 0.230  0.872 -0.228 -0.269 -0.242 -0.187 -0.187
 0.232  0.877 -0.221 -0.265 -0.239 -0.185 -0.185
 0.234  0.884 -0.215 -0.261 -0.237 -0.182 -0.182
 0.236  0.889 -0.208 -0.257 -0.234 -0.179 -0.179
 0.238  0.896 -0.203 -0.253 -0.231 -0.176 -0.176
 0.240  0.903 -0.197 -0.250 -0.228 -0.175 -0.175
 0.242  0.908 -0.190 -0.245 -0.225 -0.172 -0.172
 0.244  0.915 -0.185 -0.241 -0.222 -0.169 -0.169
 0.246  0.920 -0.178 -0.237 -0.220 -0.166 -0.166
 0.248  0.925 -0.174 -0.233 -0.217 -0.165 -0.165
 0.250  0.932 -0.167 -0.229 -0.214 -0.162 -0.162
 0.252  0.937 -0.160 -0.225 -0.212 -0.159 -0.159
 0.254  0.944 -0.155 -0.222 -0.209 -0.157 -0.157
 0.256  0.949 -0.150 -0.219 -0.207 -0.154 -0.154
 0.258  0.954 -0.144 -0.215 -0.204 -0.152 -0.152
 0.260  0.960 -0.139 -0.211 -0.201 -0.150 -0.150
 0.262  0.966 -0.132 -0.208 -0.199 -0.147 -0.147
 0.264  0.972 -0.127 -0.204 -0.196 -0.145 -0.145
 0.266  0.977 -0.122 -0.200 -0.193 -0.143 -0.143
 0.268  0.982 -0.117 -0.196 -0.191 -0.141 -0.141
 0.270  0.987 -0.111 -0.194 -0.188 -0.138 -0.138
 0.272  0.992 -0.106 -0.190 -0.186 -0.136 -0.136
 0.274  0.997 -0.101 -0.186 -0.183 -0.134 -0.134
 0.276  1.003 -0.096 -0.182 -0.181 -0.132 -0.132
 0.278  1.008 -0.091 -0.180 -0.178 -0.129 -0.129
 0.280  1.013 -0.086 -0.176 -0.175 -0.127 -0.127
 0.282  1.018 -0.079 -0.172 -0.173 -0.124 -0.124
 0.284  1.023 -0.074 -0.170 -0.170 -0.123 -0.123
 0.286  1.028 -0.069 -0.166 -0.168 -0.121 -0.121
 0.288  1.034 -0.064 -0.162 -0.165 -0.118 -0.118
 0.290  1.039 -0.059 -0.159 -0.163 -0.116 -0.116
 0.292  1.042 -0.056 -0.156 -0.160 -0.113 -0.113
 0.294  1.047 -0.051 -0.153 -0.158 -0.112 -0.112
 0.296  1.053 -0.046 -0.149 -0.155 -0.110 -0.110
 0.298  1.058 -0.041 -0.147 -0.152 -0.107 -0.107
 0.300  1.063 -0.036 -0.143 -0.150 -0.105 -0.105
 0.302  1.066 -0.031 -0.139 -0.147 -0.103 -0.103
 0.304  1.072 -0.026 -0.136 -0.145 -0.101 -0.101
 0.306  1.077 -0.021 -0.133 -0.142 -0.099 -0.099
 0.308  1.082 -0.018 -0.130 -0.140 -0.097 -0.097
 0.310  1.087 -0.013 -0.126 -0.137 -0.094 -0.094
 0.312  1.090 -0.008 -0.124 -0.135 -0.093 -0.093
 0.314  1.096 -0.003 -0.120 -0.132 -0.091 -0.091
 0.316  1.101  0.002 -0.116 -0.129 -0.088 -0.088
 0.318  1.106  0.007 -0.114 -0.127 -0.086 -0.086
 0.320  1.111  0.010 -0.110 -0.124 -0.084 -0.084
 0.322  1.115  0.015 -0.107 -0.122 -0.082 -0.082
 0.324  1.120  0.020 -0.103 -0.119 -0.080 -0.080
 0.326  1.125  0.025 -0.100 -0.116 -0.078 -0.078
 0.328  1.130  0.030 -0.097 -0.114 -0.075 -0.075
 0.330  1.133  0.033 -0.093 -0.111 -0.073 -0.073
 0.332  1.139  0.038 -0.091 -0.109 -0.072 -0.072
 0.334  1.144  0.043 -0.087 -0.106 -0.070 -0.070
 0.336  1.149  0.048 -0.084 -0.103 -0.067 -0.067
 0.338  1.152  0.053 -0.081 -0.101 -0.065 -0.065
 0.340  1.158  0.056 -0.078 -0.098 -0.063 -0.063
 0.342  1.163  0.061 -0.074 -0.096 -0.061 -0.061
