# IsPeriodic    : True
# Period        : 0.470048 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.111 -0.988 -0.784 -0.615 -0.516 -0.516
0.000940096 0.111 -0.988 -0.784 -0.615 -0.516 -0.516
0.00188019 0.114 -0.986 -0.784 -0.615 -0.515 -0.515
0.00282029 0.118 -0.985 -0.783 -0.614 -0.514 -0.514
0.00376038 0.122 -0.982 -0.781 -0.613 -0.514 -0.514
0.00470048 0.128 -0.979 -0.779 -0.612 -0.512 -0.512
0.00564058 0.135 -0.975 -0.777 -0.611 -0.511 -0.511
0.00658067 0.144 -0.970 -0.775 -0.609 -0.509 -0.509
0.00752077 0.152 -0.966 -0.773 -0.608 -0.507 -0.507
0.00846086 0.162 -0.960 -0.770 -0.606 -0.505 -0.505
0.00940096 0.172 -0.954 -0.767 -0.604 -0.503 -0.503
0.0103411 0.183 -0.949 -0.765 -0.602 -0.500 -0.500
0.0112812 0.192 -0.943 -0.761 -0.599 -0.498 -0.498
0.0122212 0.203 -0.937 -0.758 -0.598 -0.496 -0.496
0.0131613 0.214 -0.931 -0.755 -0.595 -0.493 -0.493
0.0141014 0.223 -0.924 -0.751 -0.592 -0.490 -0.490
0.0150415 0.234 -0.918 -0.747 -0.590 -0.488 -0.488
0.0159816 0.243 -0.912 -0.744 -0.587 -0.486 -0.486
0.0169217 0.252 -0.905 -0.739 -0.584 -0.483 -0.483
0.0178618 0.262 -0.899 -0.735 -0.581 -0.480 -0.480
0.0188019 0.271 -0.892 -0.731 -0.578 -0.478 -0.478
0.019742 0.282 -0.885 -0.726 -0.574 -0.475 -0.475
0.0206821 0.291 -0.878 -0.721 -0.571 -0.472 -0.472
0.0216222 0.300 -0.870 -0.717 -0.567 -0.470 -0.470
0.0225623 0.310 -0.863 -0.711 -0.564 -0.466 -0.466
0.0235024 0.319 -0.856 -0.706 -0.560 -0.463 -0.463
0.0244425 0.328 -0.847 -0.700 -0.556 -0.459 -0.459
0.0253826 0.337 -0.838 -0.695 -0.551 -0.456 -0.456
0.0263227 0.348 -0.830 -0.688 -0.547 -0.452 -0.452
0.0272628 0.358 -0.821 -0.683 -0.542 -0.449 -0.449
0.0282029 0.367 -0.812 -0.676 -0.538 -0.446 -0.446
0.029143 0.376 -0.802 -0.669 -0.532 -0.442 -0.442
0.0300831 0.385 -0.793 -0.663 -0.528 -0.438 -0.438
0.0310232 0.395 -0.783 -0.656 -0.523 -0.434 -0.434
0.0319633 0.404 -0.773 -0.649 -0.517 -0.430 -0.430
0.0329034 0.413 -0.763 -0.641 -0.512 -0.426 -0.426
0.0338435 0.423 -0.753 -0.635 -0.506 -0.422 -0.422
0.0347836 0.432 -0.743 -0.627 -0.501 -0.418 -0.418
0.0357236 0.441 -0.733 -0.620 -0.496 -0.414 -0.414
0.0366637 0.450 -0.722 -0.613 -0.490 -0.409 -0.409
0.0376038 0.460 -0.712 -0.606 -0.485 -0.405 -0.405
0.0385439 0.467 -0.702 -0.598 -0.480 -0.401 -0.401
0.039484 0.477 -0.692 -0.590 -0.474 -0.397 -0.397
0.0404241 0.486 -0.682 -0.584 -0.469 -0.393 -0.393
0.0413642 0.495 -0.672 -0.577 -0.463 -0.389 -0.389
0.0423043 0.503 -0.662 -0.570 -0.458 -0.385 -0.385
0.0432444 0.512 -0.651 -0.564 -0.454 -0.381 -0.381
0.0441845 0.522 -0.641 -0.557 -0.448 -0.377 -0.377
0.0451246 0.529 -0.633 -0.550 -0.444 -0.374 -0.374
0.0460647 0.539 -0.623 -0.544 -0.439 -0.370 -0.370
0.0470048 0.546 -0.614 -0.537 -0.434 -0.367 -0.367
0.0479449 0.556 -0.604 -0.531 -0.430 -0.363 -0.363
