# IsPeriodic    : True
# Period        : 0.559286 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.388 -0.752 -0.641 -0.503 -0.435 -0.435
0.00111857 0.388 -0.752 -0.641 -0.503 -0.435 -0.435
0.00223714 0.389 -0.752 -0.641 -0.503 -0.434 -0.434
0.00335572 0.390 -0.751 -0.640 -0.502 -0.434 -0.434
0.00447429 0.391 -0.750 -0.639 -0.501 -0.433 -0.433
0.00559286 0.393 -0.748 -0.637 -0.500 -0.432 -0.432
0.00671143 0.395 -0.746 -0.636 -0.499 -0.431 -0.431
0.00783 0.398 -0.744 -0.634 -0.498 -0.429 -0.429
0.00894858 0.401 -0.742 -0.633 -0.496 -0.428 -0.428
0.0100671 0.404 -0.739 -0.631 -0.494 -0.427 -0.427
0.0111857 0.407 -0.736 -0.629 -0.493 -0.425 -0.425
0.0123043 0.410 -0.733 -0.627 -0.491 -0.423 -0.423
0.0134229 0.415 -0.730 -0.625 -0.489 -0.422 -0.422
0.0145414 0.418 -0.726 -0.622 -0.487 -0.420 -0.420
0.01566 0.421 -0.723 -0.620 -0.486 -0.419 -0.419
0.0167786 0.425 -0.719 -0.617 -0.484 -0.417 -0.417
0.0178972 0.429 -0.715 -0.614 -0.482 -0.416 -0.416
0.0190157 0.433 -0.712 -0.612 -0.480 -0.414 -0.414
0.0201343 0.437 -0.708 -0.609 -0.479 -0.413 -0.413
0.0212529 0.441 -0.703 -0.605 -0.477 -0.412 -0.412
0.0223714 0.445 -0.700 -0.603 -0.476 -0.410 -0.410
0.02349 0.450 -0.695 -0.599 -0.474 -0.409 -0.409
0.0246086 0.454 -0.690 -0.596 -0.472 -0.408 -0.408
0.0257272 0.458 -0.685 -0.593 -0.471 -0.407 -0.407
0.0268457 0.462 -0.681 -0.589 -0.469 -0.405 -0.405
0.0279643 0.467 -0.675 -0.585 -0.467 -0.404 -0.404
0.0290829 0.471 -0.670 -0.581 -0.465 -0.403 -0.403
0.0302014 0.476 -0.664 -0.577 -0.463 -0.401 -0.401
0.03132 0.480 -0.658 -0.572 -0.461 -0.400 -0.400
0.0324386 0.486 -0.652 -0.568 -0.459 -0.399 -0.399
0.0335572 0.490 -0.645 -0.563 -0.457 -0.397 -0.397
0.0346757 0.495 -0.639 -0.558 -0.454 -0.396 -0.396
0.0357943 0.501 -0.633 -0.553 -0.452 -0.395 -0.395
0.0369129 0.506 -0.626 -0.549 -0.450 -0.393 -0.393
0.0380314 0.511 -0.618 -0.544 -0.448 -0.392 -0.392
0.03915 0.517 -0.611 -0.538 -0.446 -0.391 -0.391
0.0402686 0.522 -0.604 -0.533 -0.444 -0.390 -0.390
0.0413872 0.527 -0.597 -0.528 -0.441 -0.389 -0.389
0.0425057 0.534 -0.590 -0.523 -0.439 -0.388 -0.388
0.0436243 0.539 -0.583 -0.517 -0.437 -0.386 -0.386
0.0447429 0.544 -0.575 -0.512 -0.435 -0.385 -0.385
0.0458615 0.551 -0.568 -0.507 -0.433 -0.384 -0.384
0.04698 0.556 -0.561 -0.501 -0.430 -0.383 -0.383
0.0480986 0.562 -0.554 -0.496 -0.428 -0.382 -0.382
0.0492172 0.568 -0.547 -0.492 -0.425 -0.380 -0.380
0.0503357 0.574 -0.539 -0.487 -0.423 -0.379 -0.379
0.0514543 0.579 -0.532 -0.482 -0.421 -0.378 -0.378
0.0525729 0.586 -0.525 -0.477 -0.419 -0.377 -0.377
