# IsPeriodic    : True
# Period        : 0.269456 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.000  1.040 -0.204 -0.098 -0.013  0.069  0.069
 0.002  1.040 -0.204 -0.098 -0.013  0.069  0.069
 0.004  1.040 -0.204 -0.098 -0.013  0.069  0.069
 0.006  1.040 -0.204 -0.098 -0.013  0.069  0.069
 0.008  1.040 -0.204 -0.098 -0.013  0.070  0.070
 0.010  1.040 -0.204 -0.098 -0.013  0.070  0.070
 0.012  1.040 -0.204 -0.098 -0.013  0.070  0.070
 0.014  1.040 -0.204 -0.097 -0.012  0.070  0.070
 0.016  1.041 -0.203 -0.097 -0.012  0.070  0.070
 0.018  1.041 -0.203 -0.097 -0.012  0.070  0.070
 0.020  1.041 -0.203 -0.097 -0.011  0.070  0.070
 0.022  1.042 -0.202 -0.097 -0.011  0.070  0.070
 0.024  1.042 -0.202 -0.096 -0.010  0.071  0.071
 0.026  1.043 -0.202 -0.096 -0.010  0.071  0.071
 0.028  1.043 -0.201 -0.096 -0.009  0.071  0.071
 0.030  1.043 -0.201 -0.096 -0.009  0.071  0.071
 0.032  1.044 -0.200 -0.095 -0.008  0.071  0.071
 0.034  1.044 -0.200 -0.095 -0.008  0.072  0.072
 0.036  1.045 -0.200 -0.095 -0.007  0.072  0.072
 0.038  1.046 -0.199 -0.094 -0.006  0.072  0.072
 0.040  1.047 -0.198 -0.094 -0.006  0.073  0.073
 0.042  1.047 -0.198 -0.093 -0.005  0.073  0.073
 0.044  1.048 -0.197 -0.093 -0.005  0.073  0.073
 0.046  1.049 -0.197 -0.093 -0.004  0.074  0.074
 0.048  1.049 -0.196 -0.092 -0.003  0.074  0.074
 0.050  1.050 -0.195 -0.092 -0.003  0.074  0.074
 0.052  1.051 -0.195 -0.091 -0.002  0.075  0.075
 0.054  1.052 -0.194 -0.091 -0.002  0.075  0.075
 0.056  1.053 -0.193 -0.090 -0.001  0.076  0.076
 0.058  1.054 -0.192 -0.089 -0.000  0.076  0.076
 0.060  1.055 -0.191 -0.089 -0.000  0.077  0.077
 0.062  1.056 -0.191 -0.088  0.001  0.077  0.077
 0.064  1.057 -0.190 -0.088  0.001  0.078  0.078
 0.066  1.058 -0.189 -0.087  0.002  0.078  0.078
 0.068  1.059 -0.188 -0.086  0.003  0.078  0.078
 0.070  1.060 -0.187 -0.086  0.003  0.079  0.079
 0.072  1.062 -0.186 -0.085  0.004  0.079  0.079
 0.074  1.063 -0.186 -0.084  0.004  0.080  0.080
 0.076  1.064 -0.184 -0.084  0.005  0.080  0.080
 0.078  1.065 -0.184 -0.083  0.006  0.081  0.081
 0.080  1.066 -0.182 -0.082  0.006  0.082  0.082
 0.082  1.068 -0.182 -0.082  0.007  0.082  0.082
 0.084  1.069 -0.181 -0.081  0.007  0.083  0.083
 0.086  1.070 -0.180 -0.080  0.008  0.083  0.083
 0.088  1.072 -0.178 -0.079  0.009  0.084  0.084
 0.090  1.073 -0.177 -0.078  0.009  0.084  0.084
 0.092  1.074 -0.176 -0.077  0.010  0.085  0.085
 0.094  1.076 -0.175 -0.077  0.010  0.085  0.085
 0.096  1.077 -0.174 -0.076  0.011  0.086  0.086
 0.098  1.078 -0.173 -0.075  0.012  0.087  0.087
 0.100  1.080 -0.172 -0.074  0.012  0.087  0.087
 0.102  1.081 -0.171 -0.073  0.013  0.088  0.088
 0.104  1.082 -0.169 -0.072  0.013  0.088  0.088
 0.106  1.084 -0.168 -0.071  0.014  0.089  0.089
 0.108  1.085 -0.167 -0.070  0.015  0.089  0.089
 0.110  1.086 -0.166 -0.069  0.015  0.090  0.090
 0.112  1.088 -0.164 -0.068  0.016  0.091  0.091
 0.114  1.089 -0.163 -0.067  0.017  0.091  0.091
 0.116  1.090 -0.162 -0.066  0.017  0.092  0.092
 0.118  1.092 -0.160 -0.065  0.018  0.092  0.092
 0.120  1.093 -0.159 -0.064  0.018  0.093  0.093
 0.122  1.094 -0.157 -0.063  0.019  0.094  0.094
 0.124  1.095 -0.156 -0.062  0.020  0.094  0.094
 0.126  1.097 -0.155 -0.061  0.021  0.095  0.095
 0.128  1.098 -0.153 -0.060  0.021  0.095  0.095
 0.130  1.099 -0.152 -0.059  0.022  0.096  0.096
 0.132  1.101 -0.151 -0.058  0.023  0.097  0.097
 0.134  1.102 -0.149 -0.057  0.023  0.097  0.097
 0.136  1.103 -0.147 -0.055  0.024  0.098  0.098
 0.138  1.105 -0.146 -0.054  0.025  0.099  0.099
 0.140  1.106 -0.144 -0.053  0.026  0.099  0.099
 0.142  1.107 -0.143 -0.052  0.026  0.100  0.100
 0.144  1.109 -0.142 -0.051  0.027  0.101  0.101
 0.146  1.110 -0.140 -0.050  0.028  0.101  0.101
 0.148  1.112 -0.138 -0.049  0.029  0.102  0.102
 0.150  1.113 -0.137 -0.048  0.029  0.103  0.103
 0.152  1.115 -0.135 -0.046  0.030  0.104  0.104
 0.154  1.116 -0.134 -0.045  0.031  0.104  0.104
 0.156  1.118 -0.132 -0.044  0.032  0.105  0.105
 0.158  1.119 -0.131 -0.043  0.032  0.106  0.106
 0.160  1.121 -0.129 -0.042  0.033  0.107  0.107
 0.162  1.122 -0.127 -0.041  0.034  0.108  0.108
 0.164  1.123 -0.126 -0.040  0.035  0.109  0.109
 0.166  1.125 -0.124 -0.039  0.036  0.110  0.110
 0.168  1.127 -0.122 -0.038  0.036  0.111  0.111
 0.170  1.128 -0.121 -0.036  0.037  0.111  0.111
 0.172  1.130 -0.119 -0.035  0.038  0.113  0.113
 0.174  1.131 -0.117 -0.034  0.039  0.114  0.114
 0.176  1.133 -0.116 -0.033  0.040  0.115  0.115
 0.178  1.134 -0.114 -0.032  0.040  0.116  0.116
 0.180  1.136 -0.112 -0.030  0.041  0.117  0.117
 0.182  1.138 -0.111 -0.029  0.042  0.118  0.118
 0.184  1.139 -0.109 -0.028  0.043  0.119  0.119
 0.186  1.141 -0.107 -0.027  0.044  0.120  0.120
 0.188  1.143 -0.105 -0.025  0.045  0.121  0.121
 0.190  1.144 -0.104 -0.024  0.046  0.122  0.122
 0.192  1.146 -0.102 -0.023  0.046  0.123  0.123
 0.194  1.148 -0.100 -0.022  0.047  0.124  0.124
 0.196  1.150 -0.098 -0.021  0.048  0.125  0.125
 0.198  1.151 -0.096 -0.020  0.049  0.126  0.126
 0.200  1.153 -0.095 -0.018  0.050  0.128  0.128
 0.202  1.155 -0.093 -0.017  0.051  0.129  0.129
 0.204  1.157 -0.090 -0.016  0.052  0.130  0.130
 0.206  1.159 -0.089 -0.014  0.053  0.131  0.131
 0.208  1.160 -0.087 -0.013  0.054  0.132  0.132
 0.210  1.162 -0.085 -0.012  0.055  0.133  0.133
 0.212  1.164 -0.083 -0.011  0.055  0.135  0.135
 0.214  1.166 -0.081 -0.009  0.056  0.136  0.136
 0.216  1.168 -0.079 -0.008  0.057  0.137  0.137
 0.218  1.170 -0.077 -0.007  0.058  0.138  0.138
 0.220  1.171 -0.075 -0.006  0.059  0.139  0.139
 0.222  1.174 -0.073 -0.004  0.060  0.140  0.140
 0.224  1.175 -0.071 -0.003  0.061  0.141  0.141
 0.226  1.177 -0.069 -0.002  0.062  0.142  0.142
 0.228  1.179 -0.067 -0.000  0.063  0.143  0.143
 0.230  1.181 -0.065  0.001  0.064  0.144  0.144
 0.232  1.183 -0.062  0.002  0.064  0.146  0.146
 0.234  1.185 -0.060  0.003  0.066  0.147  0.147
 0.236  1.187 -0.058  0.005  0.067  0.148  0.148
 0.238  1.189 -0.056  0.006  0.067  0.149  0.149
 0.240  1.191 -0.054  0.007  0.068  0.150  0.150
 0.242  1.192 -0.052  0.009  0.069  0.151  0.151
 0.244  1.195 -0.050  0.010  0.070  0.152  0.152
 0.246  1.196 -0.047  0.011  0.071  0.153  0.153
 0.248  1.198 -0.045  0.013  0.072  0.154  0.154
 0.250  1.200 -0.043  0.014  0.073  0.155  0.155
 0.252  1.202 -0.041  0.015  0.074  0.156  0.156
 0.254  1.204 -0.038  0.017  0.075  0.157  0.157
 0.256  1.206 -0.036  0.018  0.076  0.158  0.158
 0.258  1.208 -0.034  0.019  0.077  0.159  0.159
 0.260  1.210 -0.032  0.021  0.078  0.160  0.160
 0.262  1.212 -0.029  0.022  0.080  0.161  0.161
 0.264  1.214 -0.027  0.024  0.080  0.162  0.162
 0.266  1.216 -0.025  0.025  0.082  0.162  0.162
 0.268  1.218 -0.023  0.027  0.083  0.163  0.163
 0.270  1.220 -0.020  0.028  0.084  0.164  0.164
 0.272  1.222 -0.018  0.029  0.085  0.165  0.165
 0.274  1.224 -0.016  0.031  0.086  0.166  0.166
 0.276  1.226 -0.013  0.032  0.087  0.167  0.167
 0.278  1.228 -0.011  0.034  0.088  0.168  0.168
 0.280  1.230 -0.009  0.035  0.089  0.169  0.169
