# IsPeriodic    : True
# Period        : 0.350861 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 0.929 -0.253 -0.243 -0.182 -0.147 -0.147
0.000701722 0.929 -0.253 -0.243 -0.182 -0.147 -0.147
0.00140344 0.929 -0.253 -0.243 -0.182 -0.147 -0.147
0.00210517 0.929 -0.253 -0.243 -0.182 -0.147 -0.147
0.00280689 0.930 -0.253 -0.243 -0.181 -0.147 -0.147
0.00350861 0.930 -0.253 -0.243 -0.181 -0.147 -0.147
0.00421033 0.930 -0.252 -0.243 -0.181 -0.147 -0.147
0.00491205 0.930 -0.252 -0.243 -0.181 -0.147 -0.147
0.00561378 0.931 -0.252 -0.243 -0.181 -0.146 -0.146
0.0063155 0.931 -0.251 -0.243 -0.181 -0.146 -0.146
0.00701722 0.932 -0.251 -0.243 -0.181 -0.146 -0.146
0.00771894 0.932 -0.251 -0.243 -0.181 -0.146 -0.146
0.00842066 0.932 -0.250 -0.243 -0.180 -0.146 -0.146
0.00912239 0.933 -0.250 -0.243 -0.180 -0.145 -0.145
0.00982411 0.933 -0.249 -0.242 -0.180 -0.145 -0.145
0.0105258 0.934 -0.249 -0.242 -0.179 -0.145 -0.145
0.0112276 0.935 -0.248 -0.242 -0.179 -0.145 -0.145
0.0119293 0.935 -0.248 -0.242 -0.179 -0.144 -0.144
0.012631 0.936 -0.247 -0.242 -0.178 -0.144 -0.144
0.0133327 0.937 -0.246 -0.241 -0.178 -0.143 -0.143
0.0140344 0.938 -0.246 -0.241 -0.178 -0.143 -0.143
0.0147362 0.938 -0.245 -0.241 -0.177 -0.142 -0.142
0.0154379 0.940 -0.244 -0.241 -0.176 -0.142 -0.142
0.0161396 0.941 -0.244 -0.241 -0.176 -0.142 -0.142
0.0168413 0.942 -0.243 -0.240 -0.176 -0.141 -0.141
0.0175431 0.943 -0.242 -0.240 -0.175 -0.141 -0.141
0.0182448 0.944 -0.241 -0.240 -0.175 -0.140 -0.140
0.0189465 0.945 -0.240 -0.239 -0.174 -0.139 -0.139
0.0196482 0.946 -0.239 -0.239 -0.173 -0.139 -0.139
0.0203499 0.947 -0.238 -0.238 -0.173 -0.138 -0.138
0.0210517 0.949 -0.237 -0.238 -0.172 -0.138 -0.138
0.0217534 0.950 -0.236 -0.238 -0.171 -0.137 -0.137
0.0224551 0.951 -0.235 -0.237 -0.171 -0.136 -0.136
0.0231568 0.953 -0.234 -0.237 -0.170 -0.136 -0.136
0.0238585 0.954 -0.233 -0.236 -0.169 -0.135 -0.135
0.0245603 0.956 -0.232 -0.235 -0.169 -0.134 -0.134
0.025262 0.958 -0.231 -0.234 -0.168 -0.134 -0.134
0.0259637 0.959 -0.230 -0.234 -0.167 -0.133 -0.133
0.0266654 0.960 -0.228 -0.233 -0.166 -0.133 -0.133
0.0273672 0.962 -0.227 -0.232 -0.165 -0.132 -0.132
0.0280689 0.964 -0.226 -0.231 -0.164 -0.131 -0.131
0.0287706 0.965 -0.225 -0.230 -0.163 -0.131 -0.131
0.0294723 0.967 -0.224 -0.229 -0.163 -0.130 -0.130
0.030174 0.969 -0.222 -0.228 -0.162 -0.129 -0.129
0.0308758 0.971 -0.221 -0.227 -0.161 -0.128 -0.128
0.0315775 0.972 -0.220 -0.226 -0.160 -0.128 -0.128
0.0322792 0.974 -0.218 -0.225 -0.159 -0.127 -0.127
0.0329809 0.975 -0.217 -0.224 -0.158 -0.126 -0.126
0.0336827 0.977 -0.216 -0.223 -0.157 -0.125 -0.125
0.0343844 0.978 -0.214 -0.222 -0.157 -0.124 -0.124
0.0350861 0.980 -0.213 -0.220 -0.156 -0.124 -0.124
0.0357878 0.982 -0.211 -0.219 -0.155 -0.123 -0.123
0.0364895 0.984 -0.210 -0.218 -0.154 -0.122 -0.122
0.0371913 0.985 -0.208 -0.217 -0.153 -0.122 -0.122
0.037893 0.987 -0.207 -0.215 -0.152 -0.121 -0.121
0.0385947 0.989 -0.205 -0.214 -0.151 -0.120 -0.120
0.0392964 0.991 -0.204 -0.212 -0.150 -0.119 -0.119
0.0399982 0.992 -0.202 -0.211 -0.149 -0.118 -0.118
0.0406999 0.994 -0.200 -0.209 -0.149 -0.118 -0.118
0.0414016 0.996 -0.199 -0.208 -0.148 -0.117 -0.117
0.0421033 0.997 -0.197 -0.206 -0.147 -0.116 -0.116
0.042805 0.999 -0.195 -0.205 -0.146 -0.115 -0.115
0.0435068 1.001 -0.193 -0.203 -0.145 -0.114 -0.114
0.0442085 1.002 -0.191 -0.202 -0.144 -0.114 -0.114
0.0449102 1.004 -0.190 -0.200 -0.143 -0.113 -0.113
0.0456119 1.006 -0.188 -0.198 -0.142 -0.112 -0.112
0.0463137 1.008 -0.186 -0.197 -0.141 -0.111 -0.111
0.0470154 1.009 -0.184 -0.195 -0.140 -0.110 -0.110
0.0477171 1.011 -0.182 -0.194 -0.139 -0.110 -0.110
0.0484188 1.013 -0.181 -0.192 -0.139 -0.109 -0.109
0.0491205 1.015 -0.179 -0.191 -0.138 -0.108 -0.108
0.0498223 1.016 -0.177 -0.189 -0.137 -0.107 -0.107
0.050524 1.018 -0.175 -0.187 -0.136 -0.106 -0.106
0.0512257 1.020 -0.173 -0.185 -0.135 -0.105 -0.105
0.0519274 1.022 -0.171 -0.184 -0.134 -0.104 -0.104
0.0526291 1.024 -0.170 -0.182 -0.133 -0.103 -0.103
0.0533309 1.025 -0.168 -0.180 -0.132 -0.102 -0.102
0.0540326 1.027 -0.166 -0.179 -0.131 -0.101 -0.101
0.0547343 1.029 -0.164 -0.177 -0.130 -0.100 -0.100
0.055436 1.031 -0.162 -0.175 -0.129 -0.099 -0.099
