# IsPeriodic    : True
# Period        : 0.297828 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
0 1.022 -0.153 -0.085 -0.001 0.060 0.060
0.000595656 1.022 -0.153 -0.085 -0.001 0.060 0.060
0.00119131 1.022 -0.153 -0.085 -0.001 0.060 0.060
0.00178697 1.022 -0.153 -0.085 -0.001 0.060 0.060
0.00238262 1.022 -0.153 -0.085 -0.001 0.060 0.060
0.00297828 1.022 -0.153 -0.085 -0.001 0.060 0.060
0.00357394 1.022 -0.153 -0.085 -0.001 0.060 0.060
0.00416959 1.022 -0.153 -0.085 -0.000 0.060 0.060
0.00476525 1.022 -0.152 -0.085 -0.000 0.061 0.061
0.0053609 1.023 -0.152 -0.085 0.000 0.061 0.061
0.00595656 1.023 -0.152 -0.085 0.000 0.061 0.061
0.00655222 1.023 -0.152 -0.085 0.001 0.061 0.061
0.00714787 1.024 -0.151 -0.085 0.001 0.061 0.061
0.00774353 1.024 -0.151 -0.085 0.001 0.061 0.061
0.00833918 1.024 -0.151 -0.085 0.002 0.061 0.061
0.00893484 1.025 -0.150 -0.085 0.002 0.062 0.062
0.0095305 1.025 -0.150 -0.085 0.002 0.062 0.062
0.0101262 1.026 -0.150 -0.085 0.003 0.062 0.062
0.0107218 1.026 -0.150 -0.085 0.003 0.062 0.062
0.0113175 1.027 -0.149 -0.084 0.004 0.063 0.063
0.0119131 1.028 -0.149 -0.084 0.004 0.063 0.063
0.0125088 1.028 -0.148 -0.084 0.005 0.063 0.063
0.0131044 1.029 -0.148 -0.084 0.005 0.063 0.063
0.0137001 1.029 -0.147 -0.084 0.005 0.064 0.064
0.0142957 1.030 -0.147 -0.084 0.006 0.064 0.064
0.0148914 1.031 -0.147 -0.083 0.006 0.064 0.064
0.0154871 1.032 -0.146 -0.083 0.007 0.065 0.065
0.0160827 1.032 -0.145 -0.083 0.007 0.065 0.065
0.0166784 1.033 -0.145 -0.083 0.008 0.065 0.065
0.017274 1.034 -0.144 -0.083 0.008 0.066 0.066
0.0178697 1.035 -0.143 -0.082 0.008 0.066 0.066
0.0184653 1.036 -0.143 -0.082 0.009 0.066 0.066
0.019061 1.037 -0.142 -0.082 0.009 0.067 0.067
0.0196566 1.038 -0.142 -0.081 0.010 0.067 0.067
0.0202523 1.039 -0.141 -0.081 0.010 0.067 0.067
0.020848 1.040 -0.140 -0.080 0.011 0.068 0.068
0.0214436 1.041 -0.140 -0.080 0.011 0.068 0.068
0.0220393 1.042 -0.139 -0.080 0.011 0.069 0.069
0.0226349 1.043 -0.138 -0.079 0.012 0.069 0.069
0.0232306 1.044 -0.138 -0.079 0.012 0.070 0.070
0.0238262 1.045 -0.137 -0.078 0.013 0.070 0.070
0.0244219 1.046 -0.136 -0.078 0.013 0.070 0.070
0.0250176 1.047 -0.135 -0.077 0.014 0.071 0.071
0.0256132 1.048 -0.135 -0.076 0.014 0.071 0.071
0.0262089 1.050 -0.134 -0.076 0.014 0.072 0.072
0.0268045 1.051 -0.133 -0.075 0.015 0.072 0.072
0.0274002 1.052 -0.132 -0.075 0.015 0.073 0.073
0.0279958 1.053 -0.131 -0.074 0.016 0.073 0.073
0.0285915 1.054 -0.131 -0.073 0.016 0.074 0.074
0.0291871 1.055 -0.130 -0.072 0.017 0.074 0.074
0.0297828 1.056 -0.129 -0.072 0.017 0.075 0.075
0.0303785 1.057 -0.128 -0.071 0.017 0.075 0.075
0.0309741 1.058 -0.127 -0.070 0.018 0.075 0.075
0.0315698 1.060 -0.126 -0.069 0.018 0.076 0.076
0.0321654 1.061 -0.125 -0.069 0.019 0.076 0.076
0.0327611 1.062 -0.124 -0.068 0.019 0.077 0.077
0.0333567 1.063 -0.123 -0.067 0.020 0.077 0.077
0.0339524 1.064 -0.122 -0.066 0.020 0.078 0.078
0.034548 1.065 -0.121 -0.065 0.021 0.078 0.078
0.0351437 1.067 -0.120 -0.064 0.021 0.079 0.079
0.0357394 1.068 -0.119 -0.063 0.022 0.079 0.079
0.036335 1.069 -0.118 -0.062 0.022 0.080 0.080
0.0369307 1.070 -0.117 -0.061 0.023 0.080 0.080
0.0375263 1.071 -0.116 -0.061 0.023 0.081 0.081
0.038122 1.072 -0.115 -0.059 0.024 0.081 0.081
0.0387176 1.074 -0.114 -0.058 0.024 0.082 0.082
0.0393133 1.075 -0.113 -0.058 0.025 0.082 0.082
0.039909 1.076 -0.112 -0.057 0.025 0.083 0.083
0.0405046 1.077 -0.110 -0.056 0.026 0.083 0.083
0.0411003 1.078 -0.109 -0.055 0.026 0.084 0.084
0.0416959 1.080 -0.108 -0.054 0.027 0.084 0.084
0.0422916 1.080 -0.107 -0.053 0.027 0.085 0.085
0.0428872 1.082 -0.106 -0.052 0.028 0.085 0.085
0.0434829 1.083 -0.105 -0.051 0.028 0.086 0.086
0.0440785 1.084 -0.104 -0.050 0.029 0.087 0.087
0.0446742 1.086 -0.103 -0.049 0.029 0.087 0.087
