X0             Y0             Theta          X              Y              
35.0000        35.0000        2.6411         29.9894        37.7402        
35.0000        35.0000        2.6887         29.9895        37.4384        
35.0000        35.0000        2.7362         29.9895        37.1502        
35.0000        35.0000        2.7838         29.9896        36.8735        
35.0000        35.0000        2.8313         29.9896        36.6066        
35.0000        35.0000        2.8788         29.9896        36.3476        
35.0000        35.0000        2.9264         29.9897        36.0952        
35.0000        35.0000        2.9739         29.9898        35.8480        
35.0000        35.0000        3.0215         29.9897        35.6048        
35.0000        35.0000        3.0690         29.9897        35.3644        
35.0000        35.0000        3.1165         29.9897        35.1256        
35.0000        45.0000        3.1640         29.9903        44.8876        
35.0000        45.0000        3.2116         29.9902        44.6489        
35.0000        45.0000        3.2591         29.9902        44.4086        
35.0000        45.0000        3.3066         29.9901        44.1656        
35.0000        45.0000        3.3542         29.9901        43.9186        
35.0000        45.0000        3.4017         29.9901        43.6666        
35.0000        45.0000        3.4493         29.9900        43.4081        
35.0000        45.0000        3.4968         29.9899        43.1416        
35.0000        45.0000        3.5443         29.9899        42.8656        
35.0000        45.0000        3.5919         29.9898        42.5781        
35.0000        45.0000        3.6394         29.9896        42.2770        
35.0000        45.0000        3.6870         29.9895        41.9600        
35.0000        45.0000        3.7345         29.9893        41.6240        
35.0000        45.0000        3.7820         29.9891        41.2658        
35.0000        45.0000        3.8296         29.9890        40.8812        
35.0000        45.0000        3.8771         29.9888        40.4654        
35.0000        45.0000        3.9246         29.9892        40.0136        
35.0000        45.0000        3.9723         30.4413        40.0080        
35.0000        45.0000        4.0200         30.8595        40.0075        
35.0000        45.0000        4.0677         31.2460        40.0072        
35.0000        45.0000        4.1154         31.6059        40.0070        
35.0000        45.0000        4.1630         31.9432        40.0069        
35.0000        45.0000        4.2107         32.2614        40.0068        
35.0000        45.0000        4.2584         32.5634        40.0068        
35.0000        45.0000        4.3061         32.8517        40.0067        
35.0000        45.0000        4.3538         33.1283        40.0066        
35.0000        45.0000        4.4014         33.3953        40.0066        
35.0000        45.0000        4.4491         33.6542        40.0067        
35.0000        45.0000        4.4968         33.9065        40.0066        
35.0000        45.0000        4.5445         34.1536        40.0067        
35.0000        45.0000        4.5922         34.3968        40.0067        
35.0000        45.0000        4.6398         34.6371        40.0068        
35.0000        45.0000        4.6875         34.8758        40.0067        
35.0000        45.0000        4.7352         35.1139        40.0068        
35.0000        45.0000        4.7829         35.3526        40.0068        
35.0000        45.0000        4.8306         35.5928        40.0067        
35.0000        45.0000        4.8782         35.8358        40.0068        
35.0000        45.0000        4.9259         36.0827        40.0068        
35.0000        45.0000        4.9736         36.3348        40.0069        
35.0000        45.0000        5.0213         36.5934        40.0068        
35.0000        45.0000        5.0690         36.8599        40.0069        
35.0000        45.0000        5.1166         37.1361        40.0070        
35.0000        45.0000        5.1643         37.4238        40.0070        
35.0000        45.0000        5.2120         37.7251        40.0071        
35.0000        45.0000        5.2597         38.0425        40.0073        
35.0000        45.0000        5.3074         38.3789        40.0073        
35.0000        45.0000        5.3550         38.7377        40.0076        
35.0000        45.0000        5.4027         39.1229        40.0080        
35.0000        45.0000        5.4504         39.5394        40.0086        
35.0000        45.0000        5.4981         39.9884        40.0141        
35.0000        45.0000        -0.7374        39.9892        40.4678        
35.0000        45.0000        -0.6898        39.9894        40.8840        
35.0000        45.0000        -0.6421        39.9896        41.2687        
35.0000        45.0000        -0.5944        39.9898        41.6269        
35.0000        45.0000        -0.5468        39.9899        41.9628        
35.0000        45.0000        -0.4991        39.9900        42.2798        
35.0000        45.0000        -0.4514        39.9901        42.5807        
35.0000        45.0000        -0.4038        39.9903        42.8680        
35.0000        45.0000        -0.3561        39.9904        43.1438        
35.0000        45.0000        -0.3084        39.9904        43.4101        
35.0000        45.0000        -0.2608        39.9905        43.6684        
35.0000        45.0000        -0.2131        39.9906        43.9202        
35.0000        45.0000        -0.1654        39.9906        44.1669        
35.0000        45.0000        -0.1177        39.9907        44.4096        
35.0000        45.0000        -0.0701        39.9906        44.6497        
35.0000        45.0000        -0.0224        39.9907        44.8881        
35.0000        45.0000        0.0253         39.9908        45.1261        
35.0000        45.0000        0.0729         39.9908        45.3646        
35.0000        45.0000        0.1206         39.9907        45.6048        
35.0000        45.0000        0.1683         39.9908        45.8478        
35.0000        45.0000        0.2159         39.9908        46.0947        
35.0000        45.0000        0.2636         39.9907        46.3469        
35.0000        45.0000        0.3113         39.9907        46.6056        
35.0000        45.0000        0.3589         39.9907        46.8724        
35.0000        45.0000        0.4066         39.9906        47.1490        
35.0000        45.0000        0.4543         39.9906        47.4371        
35.0000        45.0000        0.5019         39.9906        47.7389        
35.0000        45.0000        0.5496         39.9905        48.0570        
35.0000        45.0000        0.5973         39.9904        48.3942        
35.0000        45.0000        0.6449         39.9903        48.7540        
35.0000        45.0000        0.6926         39.9902        49.1406        
35.0000        45.0000        0.7403         39.9902        49.5590        
35.0000        45.0000        0.7879         39.9902        50.0156        
35.0000        45.0000        0.8355         39.5309        50.0089        
35.0000        45.0000        0.8830         39.1151        50.0081        
35.0000        45.0000        0.9305         38.7309        50.0078        
35.0000        45.0000        0.9780         38.3731        50.0075        
35.0000        45.0000        1.0255         38.0376        50.0073        
35.0000        45.0000        1.0730         37.7210        50.0071        
35.0000        45.0000        1.1205         37.4203        50.0071        
35.0000        45.0000        1.1680         37.1332        50.0070        
35.0000        45.0000        1.2156         36.8575        50.0070        
35.0000        45.0000        1.2631         36.5913        50.0070        
35.0000        45.0000        1.3106         36.3331        50.0068        
35.0000        45.0000        1.3581         36.0813        50.0068        
35.0000        45.0000        1.4056         35.8347        50.0067        
35.0000        45.0000        1.4531         35.5919        50.0068        
