u g r i z y
0.25 0.25 0.25 0.25 0.27479777271934575 1.0973219663851526
0.25 0.25 0.25 0.25 0.2793688615884322 1.1088759908830457
0.25 0.25 0.25 0.25 0.2839399504575188 1.1204300153809388
0.25 0.25 0.25 0.25 0.28851103932660527 1.1319840398788317
0.25 0.25 0.25 0.25 0.29308212819569174 1.1435380643767246
0.25 0.25 0.25 0.25 0.2976532170647783 1.1550920888746177
0.25 0.25 0.25 0.25 0.3022243059338648 1.1666461133725108
0.25 0.25 0.25 0.25 0.30679539480295126 1.1782001378704037
0.25 0.25 0.25 0.25 0.3113664836720378 1.1897541623682968
0.25 0.25 0.25 0.25 0.31593757254112426 1.2013081868661897
0.25 0.25 0.25 0.25 0.3205086614102107 1.2128622113640828
0.25 0.25 0.25 0.25 0.3250797502792973 1.224416235861976
0.25 0.25 0.25 0.25 0.3296508391483838 1.2359702603598688
0.25 0.25 0.25 0.25 0.3342219280174703 1.2475242848577621
0.25 0.25 0.25 0.25 0.33879301688655683 1.2591402542190917
0.25 0.25 0.25 0.25 0.3433641057556433 1.270773116355319
0.25 0.25 0.25 0.25 0.3479351946247298 1.2824059784915465
0.25 0.25 0.25 0.25 0.3525062834938163 1.2940388406277739
0.25 0.25 0.25 0.25 0.35707737236290277 1.305671702764001
0.25 0.25 0.25 0.25 0.36164846123198935 1.3173045649002286
0.25 0.25 0.25 0.25 0.3662195501010758 1.3289374270364558
0.25 0.25 0.25 0.25 0.3707906389701623 1.340570289172683
0.25 0.25 0.25 0.25 0.3753617278392488 1.3522031513089106
0.25 0.25 0.25 0.25 0.37993281670833534 1.3638360134451377
0.25 0.25 0.25 0.25 0.38450390557742176 1.375468875581365
0.25 0.25 0.25 0.25 0.38907499444650834 1.3871017377175925
0.25 0.25 0.25 0.25 0.3936460833155948 1.3987345998538196
0.25 0.25 0.25 0.25 0.39821717218468133 1.410367461990047
0.25 0.25 0.25 0.25 0.40278826105376786 1.4220003241262744
0.25 0.25 0.25 0.25 0.40735934992285433 1.4336331862625018
0.25 0.25 0.25 0.25 0.4119304387919408 1.445266048398729
0.25 0.25 0.25 0.25 0.4165015276610273 1.4568989105349566
0.25 0.25 0.25 0.25 0.42107261653011385 1.4685317726711837
0.25 0.25 0.25 0.25 0.42564370539920027 1.480164634807411
0.25 0.25 0.25 0.25 0.43021479426828685 1.4917974969436385
0.25 0.25 0.25 0.25 0.4347858831373733 1.5034303590798657
0.25 0.25 0.25 0.25 0.4393569720064599 1.5150632212160933
0.25 0.25 0.25 0.25 0.44392806087554637 1.5266960833523204
0.25 0.25 0.25 0.25 0.44849914974463284 1.5383289454885478
0.25 0.25 0.25 0.25 0.4530702386137194 1.5499618076247752
0.25 0.25 0.25 0.25 0.45764132748280584 1.5615946697610026
0.25 0.25 0.25 0.25 0.46221241635189236 1.5732275318972297
0.25 0.25 0.25 0.25 0.4667835052209788 1.584860394033457
0.25 0.25 0.25 0.25 0.4713545940900653 1.5964932561696843
0.25 0.25 0.25 0.25 0.47592568295915194 1.608126118305912
0.25 0.25 0.25 0.25 0.4804967718282384 1.619758980442139
0.25 0.25 0.25 0.25 0.4850678606973249 1.6313918425783664
0.25 0.25 0.25 0.25 0.48963894956641135 1.6430247047145938
0.25 0.25 0.25 0.25 0.4942100384354978 1.654657566850821
0.25 0.25 0.25 0.25 0.49878112730458446 1.6662904289870486
0.25 0.25 0.25 0.25 0.503352216173671 1.677923291123276
0.25 0.25 0.25 0.25 0.5079233050427574 1.6895561532595031
0.25 0.25 0.25 0.25 0.5124943939118438 1.7011890153957303
0.25 0.25 0.25 0.25 0.5170654827809303 1.7128218775319577
0.25 0.25 0.25 0.25 0.5216365716500169 1.724454739668185
0.25 0.25 0.25 0.25 0.5262076605191035 1.7360876018044127
0.25 0.25 0.25 0.25 0.5307787493881899 1.7477204639406398
0.25 0.25 0.25 0.25 0.5353498382572764 1.7594170658337178
0.25 0.25 0.25 0.25 0.539920927126363 1.7711292019948155
0.25 0.25 0.25 0.25 0.5444920159954494 1.7828413381559132
0.25 0.25 0.25 0.25 0.5490631048645358 1.794553474317011
0.25 0.25 0.25 0.25 0.5536341937336224 1.8062656104781092
0.25 0.25 0.25 0.25 0.558205282602709 1.8179777466392069
0.25 0.25 0.25 0.25 0.5627763714717955 1.8296898828003045
0.25 0.25 0.25 0.25 0.5673474603408819 1.8414020189614022
0.25 0.25 0.25 0.25 0.5719185492099683 1.8531141551225
